# setPoint, prevTorque, Torque
100.000,1.250,123.385
80.000,123.385,102.076
83.000,102.076,104.276
86.000,104.276,107.444
89.000,107.444,112.106
92.000,112.106,116.494
95.000,116.494,118.344
98.000,118.344,120.740
100.000,120.740,124.454
65.000,124.454,83.633
68.000,83.633,86.987
71.000,86.987,90.746
74.000,90.746,92.817
77.000,92.817,97.420
80.000,97.420,100.742
83.000,100.742,105.510
86.000,105.510,109.536
89.000,109.536,112.552
92.000,112.552,116.457
95.000,116.457,120.762
15.000,120.762,8.197
12.000,8.197,4.733
9.000,4.733,3.049
6.000,3.049,3.654
3.000,3.654,2.404
0.000,2.404,1.279
100.000,1.279,126.981
70.000,126.981,92.041
73.000,92.041,94.925
76.000,94.925,97.785
79.000,97.785,100.731
82.000,100.731,104.101
85.000,104.101,108.221
88.000,108.221,112.104
91.000,112.104,116.338
94.000,116.338,119.284
97.000,119.284,124.615
100.000,124.615,128.821
10.000,128.821,3.919
7.000,3.919,2.983
4.000,2.983,2.873
1.000,2.873,2.237
60.000,2.237,68.388
57.000,68.388,66.652
54.000,66.652,62.207
51.000,62.207,58.267
48.000,58.267,54.731
45.000,54.731,52.554
42.000,52.554,48.012
39.000,48.012,43.002
36.000,43.002,38.206
33.000,38.206,33.164
30.000,33.164,28.080
100.000,28.080,127.374
20.000,127.374,14.588
23.000,14.588,17.556
26.000,17.556,19.560
29.000,19.560,22.828
32.000,22.828,26.481
35.000,26.481,28.471
38.000,28.471,34.782
41.000,34.782,39.032
44.000,39.032,44.168
47.000,44.168,50.303
50.000,50.303,54.533
80.000,54.533,99.766
77.000,99.766,96.607
74.000,96.607,94.053
71.000,94.053,90.120
68.000,90.120,87.684
65.000,87.684,84.482
62.000,84.482,79.963
59.000,79.963,75.958
56.000,75.958,70.472
53.000,70.472,66.286
50.000,66.286,62.398
20.000,62.398,15.544
17.000,15.544,10.048
14.000,10.048,6.518
11.000,6.518,4.606
8.000,4.606,3.979
5.000,3.979,2.800
2.000,2.800,1.821
65.000,1.821,76.628
62.000,76.628,72.621
59.000,72.621,70.233
56.000,70.233,68.029
53.000,68.029,64.200
50.000,64.200,59.254
47.000,59.254,54.255
44.000,54.255,51.823
41.000,51.823,47.651
38.000,47.651,43.090
35.000,43.090,38.728
100.000,38.728,126.610
90.000,126.610,116.009
93.000,116.009,119.480
96.000,119.480,121.619
99.000,121.619,125.755
30.000,125.755,28.573
27.000,28.573,22.562
24.000,22.562,21.656
21.000,21.656,16.260
18.000,16.260,11.182
15.000,11.182,7.758
12.000,7.758,5.929
9.000,5.929,3.898
6.000,3.898,3.844
3.000,3.844,2.590
0.000,2.590,2.409
100.000,2.409,123.619
50.000,123.619,56.820
53.000,56.820,62.489
56.000,62.489,66.455
59.000,66.455,70.879
62.000,70.879,74.714
65.000,74.714,78.203
68.000,78.203,82.539
71.000,82.539,86.986
74.000,86.986,91.076
77.000,91.076,94.013
80.000,94.013,99.673
100.000,99.673,127.340
15.000,127.340,6.245
18.000,6.245,10.435
21.000,10.435,12.566
24.000,12.566,16.915
27.000,16.915,20.511
30.000,20.511,23.741
33.000,23.741,24.673
36.000,24.673,31.965
39.000,31.965,38.352
42.000,38.352,40.844
45.000,40.844,46.293
100.000,46.293,125.079
55.000,125.079,68.834
58.000,68.834,71.949
61.000,71.949,75.302
64.000,75.302,78.606
67.000,78.606,83.603
70.000,83.603,87.366
73.000,87.366,91.510
76.000,91.510,94.461
79.000,94.461,98.213
82.000,98.213,103.541
85.000,103.541,108.073
100.000,108.073,127.242
35.000,127.242,38.031
38.000,38.031,39.239
41.000,39.239,44.320
44.000,44.320,48.958
47.000,48.958,53.696
50.000,53.696,56.202
53.000,56.202,60.211
56.000,60.211,65.004
59.000,65.004,69.493
62.000,69.493,75.484
65.000,75.484,79.583
100.000,79.583,125.778
30.000,125.778,28.875
33.000,28.875,32.419
36.000,32.419,37.594
39.000,37.594,39.551
42.000,39.551,45.021
45.000,45.021,49.511
48.000,49.511,53.712
51.000,53.712,59.068
54.000,59.068,62.533
57.000,62.533,67.816
60.000,67.816,70.688
100.000,70.688,126.303
75.000,126.303,99.599
78.000,99.599,102.603
81.000,102.603,105.795
84.000,105.795,108.175
87.000,108.175,111.155
90.000,111.155,115.657
93.000,115.657,119.063
96.000,119.063,122.437
99.000,122.437,126.453
100.000,126.453,127.265
40.000,127.265,44.600
43.000,44.600,49.128
46.000,49.128,53.797
49.000,53.797,56.449
52.000,56.449,60.664
55.000,60.664,64.655
58.000,64.655,70.514
61.000,70.514,75.638
64.000,75.638,80.373
67.000,80.373,83.090
70.000,83.090,87.143
75.000,87.143,94.429
72.000,94.429,92.390
69.000,92.390,89.346
66.000,89.346,86.724
63.000,86.724,81.953
60.000,81.953,77.745
57.000,77.745,73.494
54.000,73.494,68.838
51.000,68.838,65.769
48.000,65.769,59.659
45.000,59.659,54.949
55.000,54.949,67.044
52.000,67.044,65.187
49.000,65.187,61.262
46.000,61.262,58.618
43.000,58.618,54.088
40.000,54.088,49.120
37.000,49.120,43.338
34.000,43.338,39.254
31.000,39.254,34.364
28.000,34.364,28.946
25.000,28.946,23.883
100.000,23.883,126.946
45.000,126.946,54.311
48.000,54.311,57.122
51.000,57.122,60.577
54.000,60.577,64.968
57.000,64.968,68.300
60.000,68.300,73.698
63.000,73.698,77.959
66.000,77.959,82.134
69.000,82.134,87.370
72.000,87.370,90.021
75.000,90.021,93.115
70.000,93.115,89.574
67.000,89.574,86.557
64.000,86.557,82.971
61.000,82.971,79.496
58.000,79.496,75.046
55.000,75.046,71.646
52.000,71.646,67.908
49.000,67.908,62.864
46.000,62.864,57.478
43.000,57.478,54.005
40.000,54.005,48.497
35.000,48.497,40.625
32.000,40.625,37.758
29.000,37.758,30.090
26.000,30.090,24.323
23.000,24.323,22.578
20.000,22.578,18.208
17.000,18.208,14.084
14.000,14.084,10.156
11.000,10.156,7.202
8.000,7.202,4.101
5.000,4.101,3.233
50.000,3.233,57.298
47.000,57.298,55.136
44.000,55.136,52.889
41.000,52.889,46.892
38.000,46.892,43.452
35.000,43.452,39.025
32.000,39.025,35.243
29.000,35.243,30.421
26.000,30.421,23.915
23.000,23.915,21.505
20.000,21.505,17.436
40.000,17.436,40.818
37.000,40.818,39.047
34.000,39.047,36.128
31.000,36.128,31.956
28.000,31.956,26.748
25.000,26.748,23.842
22.000,23.842,21.319
19.000,21.319,18.324
16.000,18.324,12.071
13.000,12.071,9.468
10.000,9.468,6.577
45.000,6.577,50.174
42.000,50.174,46.221
39.000,46.221,41.667
36.000,41.667,38.389
33.000,38.389,35.904
30.000,35.904,31.225
27.000,31.225,26.490
24.000,26.490,22.844
21.000,22.844,18.815
18.000,18.815,15.394
15.000,15.394,10.953
100.000,10.953,129.362
60.000,129.362,79.667
63.000,79.667,82.996
66.000,82.996,83.981
69.000,83.981,88.892
72.000,88.892,93.753
75.000,93.753,96.970
78.000,96.970,100.235
81.000,100.235,104.227
84.000,104.227,107.518
87.000,107.518,112.245
90.000,112.245,116.329
100.000,116.329,129.398
85.000,129.398,113.472
88.000,113.472,115.951
91.000,115.951,118.909
94.000,118.909,123.285
97.000,123.285,127.231
100.000,127.231,130.211
85.000,130.211,114.235
82.000,114.235,111.584
79.000,111.584,108.303
76.000,108.303,104.821
73.000,104.821,101.259
70.000,101.259,95.860
67.000,95.860,92.654
64.000,92.654,88.225
61.000,88.225,85.404
58.000,85.404,81.517
55.000,81.517,73.674
90.000,73.674,118.852
87.000,118.852,116.021
84.000,116.021,113.568
81.000,113.568,110.616
78.000,110.616,106.484
75.000,106.484,101.740
72.000,101.740,98.435
69.000,98.435,95.396
66.000,95.396,92.226
63.000,92.226,88.288
60.000,88.288,83.411
100.000,83.411,132.724
10.000,132.724,4.113
13.000,4.113,5.215
16.000,5.215,8.759
19.000,8.759,10.696
22.000,10.696,13.307
25.000,13.307,18.799
28.000,18.799,22.823
31.000,22.823,24.556
34.000,24.556,29.972
37.000,29.972,35.133
40.000,35.133,41.108
100.000,41.108,130.144
25.000,130.144,22.267
28.000,22.267,26.310
31.000,26.310,28.471
34.000,28.471,32.652
37.000,32.652,37.521
40.000,37.521,42.244
43.000,42.244,48.075
46.000,48.075,52.855
49.000,52.855,58.104
52.000,58.104,61.619
55.000,61.619,67.015
25.000,67.015,23.114
22.000,23.114,22.257
19.000,22.257,20.276
16.000,20.276,14.748
13.000,14.748,10.126
10.000,10.126,7.080
7.000,7.080,3.531
4.000,3.531,1.975
1.000,1.975,1.886
