# setPoint, prevCurrent, Current
0.000,0.000,0.849
6.800,0.849,0.919
13.600,0.919,1.061
20.400,1.061,1.332
27.200,1.332,1.613
34.000,1.613,2.011
40.800,2.011,2.449
47.600,2.449,2.960
54.400,2.960,3.349
62.100,3.349,3.922
69.900,3.922,4.584
77.700,4.584,5.176
85.400,5.176,5.960
92.200,5.960,6.510
99.400,6.510,7.064
100.000,7.064,7.199
99.400,7.199,7.216
92.200,7.216,6.829
85.400,6.829,6.494
77.700,6.494,5.802
69.900,5.802,5.300
62.100,5.300,4.547
54.400,4.547,3.841
47.600,3.841,3.345
40.800,3.345,2.845
34.000,2.845,2.242
27.200,2.242,1.795
20.400,1.795,1.454
13.600,1.454,1.173
6.800,1.173,0.918
0.000,0.918,0.799
