# setPoint, prevTorque, Torque
54.900,1.250,59.004
46.200,59.004,50.338
64.800,50.338,72.920
62.500,72.920,70.543
12.600,70.543,8.016
47.500,8.016,49.318
85.200,49.318,99.243
9.600,99.243,5.882
76.200,5.882,88.427
51.200,88.427,60.788
79.700,60.788,93.248
52.300,93.248,62.993
41.900,62.993,48.791
26.300,48.791,25.304
17.300,25.304,13.583
79.500,13.583,92.610
55.200,92.610,66.181
57.900,66.181,68.256
4.600,68.256,4.045
60.700,4.045,67.939
70.800,67.939,81.169
32.500,81.169,34.047
19.700,34.047,15.893
73.400,15.893,84.304
19.100,84.304,15.246
80.100,15.246,93.384
38.300,93.384,43.586
63.500,43.586,72.478
93.500,72.478,109.713
75.700,109.713,93.998
84.900,93.998,100.374
99.100,100.374,114.700
83.900,114.700,103.150
26.300,103.150,25.027
28.900,25.027,27.569
21.900,27.569,20.789
17.700,20.789,13.897
18.500,13.897,13.810
94.800,13.810,111.062
26.300,111.062,24.719
0.400,24.719,3.186
40.400,3.186,38.417
79.900,38.417,91.702
15.600,91.702,8.736
44.900,8.736,45.942
15.300,45.942,10.424
95.300,10.424,110.737
71.000,110.737,87.340
33.900,87.340,36.591
23.700,36.591,23.278
0.000,23.278,3.042
11.800,3.042,4.536
8.400,4.536,4.696
16.800,4.696,6.849
13.100,6.849,6.293
18.300,6.293,8.626
16.500,8.626,8.886
25.700,8.886,17.995
22.000,17.995,14.506
26.000,14.506,17.981
24.100,17.981,17.477
29.900,17.477,24.335
28.600,24.335,23.846
37.000,23.846,33.407
36.000,33.407,32.757
40.800,32.757,40.731
38.500,40.731,38.627
39.800,38.627,39.610
37.200,39.610,37.378
50.400,37.378,53.847
49.000,53.847,53.771
55.000,53.771,59.980
54.800,59.980,59.948
68.000,59.948,76.988
64.300,76.988,73.847
75.800,73.847,87.250
73.500,87.250,85.980
85.900,85.980,99.153
83.000,99.153,96.619
95.000,96.619,109.453
91.000,109.453,106.764
95.000,106.764,110.369
92.600,110.369,108.000
95.000,108.000,110.269
90.400,110.269,106.568
95.000,106.568,110.649
94.700,110.649,109.966
95.000,109.966,110.703
94.000,110.703,110.052
94.000,110.052,109.994
92.300,109.994,109.535
93.500,109.535,110.386
93.300,110.386,109.706
94.300,109.706,112.083
91.700,112.083,110.429
95.000,110.429,111.753
92.500,111.753,110.624
95.000,110.624,112.079
94.300,112.079,112.496
95.000,112.496,113.117
100.000,113.117,120.416
97.000,120.416,117.816
100.000,117.816,120.029
89.400,120.029,111.151
91.900,111.151,112.552
84.900,112.552,106.463
90.000,106.463,110.937
81.800,110.937,103.856
86.400,103.856,106.972
77.000,106.972,99.327
80.200,99.327,102.023
80.200,102.023,101.945
80.800,101.945,101.494
76.600,101.494,98.822
77.600,98.822,98.219
73.000,98.219,94.886
76.900,94.886,97.603
72.700,97.603,93.494
75.000,93.494,96.001
75.000,96.001,95.333
77.000,95.333,97.631
69.600,97.631,90.741
73.600,90.741,93.651
66.200,93.651,86.524
70.900,86.524,90.540
57.500,90.540,73.189
61.200,73.189,75.482
59.600,75.482,74.790
60.500,74.790,75.569
58.400,75.569,73.471
62.500,73.471,75.957
57.000,75.957,72.697
58.500,72.697,73.401
52.600,73.401,66.039
53.100,66.039,66.910
46.300,66.910,57.954
46.400,57.954,57.975
36.600,57.975,42.872
41.500,42.872,46.041
35.500,46.041,41.236
39.100,41.236,43.554
29.500,43.554,28.221
30.400,28.221,30.496
25.600,30.496,25.862
27.100,25.862,26.086
16.200,26.086,14.379
16.400,14.379,15.234
5.400,15.234,4.092
9.000,4.092,4.856
5.000,4.856,4.307
