# setPoint, prevTorque, Torque
28.400,1.250,16.479
43.300,16.479,34.411
87.700,34.411,101.571
38.700,101.571,35.128
71.500,35.128,77.435
40.900,77.435,39.127
95.100,39.127,114.559
6.600,114.559,2.663
33.900,2.663,24.430
38.000,24.430,29.905
23.400,29.905,15.381
22.600,15.381,15.263
1.100,15.263,2.959
42.100,2.959,34.136
66.300,34.136,65.659
16.800,65.659,13.059
53.200,13.059,49.941
14.200,49.941,10.605
89.100,10.605,103.841
15.700,103.841,11.121
3.700,11.121,4.037
25.600,4.037,15.740
51.000,15.740,45.968
93.800,45.968,111.198
37.700,111.198,32.334
72.600,32.334,77.949
22.000,77.949,15.986
93.900,15.986,115.106
32.900,115.106,29.199
81.600,29.199,91.530
95.100,91.530,113.617
18.300,113.617,12.459
53.200,12.459,50.150
23.600,50.150,16.916
29.200,16.916,21.708
71.900,21.708,75.888
55.000,75.888,56.543
22.600,56.543,18.329
10.200,18.329,8.137
5.700,8.137,4.849
23.500,4.849,14.447
93.600,14.447,110.913
9.400,110.913,8.011
48.100,8.011,44.013
48.400,44.013,43.557
58.000,43.557,57.305
41.500,57.305,37.080
69.100,37.080,72.210
34.500,72.210,30.780
25.900,30.780,19.713
19.100,19.713,15.074
98.900,15.074,121.842
93.800,121.842,115.809
63.100,115.809,70.437
91.700,70.437,109.427
18.400,109.427,13.377
37.900,13.377,30.585
45.200,30.585,38.048
74.700,38.048,80.681
72.600,80.681,79.083
70.900,79.083,80.399
69.600,80.399,78.532
59.400,78.532,63.138
85.300,63.138,99.657
61.100,99.657,69.820
11.300,69.820,5.998
61.000,5.998,61.190
8.200,61.190,4.957
94.600,4.957,110.944
5.300,110.944,5.124
39.700,5.124,30.323
13.800,30.323,9.119
22.100,9.119,11.198
79.800,11.198,88.275
13.800,88.275,9.287
0.000,9.287,3.249
0.800,3.249,1.828
0.000,1.828,1.919
4.600,1.919,3.119
1.700,3.119,2.056
5.100,2.056,3.021
4.000,3.021,1.671
12.600,1.671,5.383
11.100,5.383,6.805
18.100,6.805,9.105
17.800,9.105,10.258
25.400,10.258,13.147
23.600,13.147,13.550
23.800,13.550,14.031
21.000,14.031,11.069
27.800,11.069,16.359
25.100,16.359,16.606
28.400,16.606,17.923
25.200,17.923,15.248
28.800,15.248,18.860
25.600,18.860,16.815
26.900,16.815,17.892
25.600,17.892,18.508
30.600,18.508,20.191
28.400,20.191,18.599
34.400,18.599,24.052
34.000,24.052,24.715
35.000,24.715,25.909
34.600,25.909,25.569
38.200,25.569,29.944
35.600,29.944,29.688
38.400,29.688,30.238
36.100,30.238,28.685
38.500,28.685,29.876
37.800,29.876,28.354
47.000,28.354,42.076
44.400,42.076,40.352
45.400,40.352,39.936
42.400,39.936,37.928
48.000,37.928,42.289
46.600,42.289,42.424
54.500,42.424,51.163
51.300,51.163,49.033
56.700,49.033,52.943
55.100,52.943,53.116
61.500,53.116,63.047
61.500,63.047,60.476
67.500,60.476,70.039
66.200,70.039,69.205
67.700,69.205,69.549
65.100,69.549,67.758
66.900,67.758,69.098
64.200,69.098,67.164
65.800,67.164,66.901
64.200,66.901,67.452
69.600,67.452,72.572
68.700,72.572,71.561
77.200,71.561,86.476
75.200,86.476,83.138
80.000,83.138,90.375
78.500,90.375,87.307
84.500,87.307,96.522
82.200,96.522,94.629
82.400,94.629,98.376
81.500,98.376,96.442
87.100,96.442,101.733
83.700,101.733,98.331
87.500,98.331,103.472
86.000,103.472,102.183
88.000,102.183,102.938
85.700,102.938,101.525
93.900,101.525,113.913
92.400,113.913,112.927
95.000,112.927,116.880
92.800,116.880,116.257
100.000,116.257,125.299
99.600,125.299,124.875
100.000,124.875,124.826
99.800,124.826,124.903
100.000,124.903,125.504
97.200,125.504,124.540
98.200,124.540,123.826
91.800,123.826,115.816
92.200,115.816,118.851
91.800,118.851,117.421
94.400,117.421,122.436
85.400,122.436,109.243
87.000,109.243,109.880
81.000,109.880,105.270
84.200,105.270,106.868
82.200,106.868,105.930
85.500,105.930,107.961
78.900,107.961,98.938
80.000,98.938,102.752
73.200,102.752,91.585
74.500,91.585,92.275
69.800,92.275,87.176
72.500,87.176,87.916
71.700,87.916,89.368
73.800,89.368,88.007
67.800,88.007,81.337
69.700,81.337,82.618
69.100,82.618,84.589
71.000,84.589,85.383
69.800,85.383,84.876
70.000,84.876,84.208
68.400,84.208,84.050
69.100,84.050,83.768
61.500,83.768,72.547
63.400,72.547,74.230
62.100,74.230,73.455
65.500,73.455,76.190
65.500,76.190,77.342
68.300,77.342,80.251
67.700,80.251,78.861
68.000,78.861,79.955
59.600,79.955,69.913
60.300,69.913,70.791
58.100,70.791,68.729
58.700,68.729,68.459
52.900,68.459,59.781
55.400,59.781,62.738
54.800,62.738,59.256
56.200,59.256,62.980
51.900,62.980,57.637
54.000,57.637,58.494
52.100,58.494,56.257
53.000,56.257,57.958
51.900,57.958,55.950
53.100,55.950,57.330
46.300,57.330,47.463
47.100,47.463,48.954
43.800,48.954,44.718
46.100,44.718,46.580
42.100,46.580,44.102
42.800,44.102,43.728
34.000,43.728,30.634
36.400,30.634,33.489
36.400,33.489,33.654
38.800,33.654,36.682
30.800,36.682,28.845
31.100,28.845,28.660
21.900,28.660,18.481
24.000,18.481,19.205
17.000,19.205,12.942
19.400,12.942,14.693
18.400,14.693,14.895
21.300,14.895,15.323
14.700,15.323,11.491
5.500,11.491,3.919
