# setPoint, prevTorque, Torque
36.400,1.250,30.630
31.100,30.630,25.626
28.800,25.626,22.585
26.400,22.585,20.671
23.900,20.671,19.134
21.300,19.134,15.874
29.000,15.874,20.896
30.900,20.896,24.195
32.800,24.195,27.140
34.600,27.140,28.410
36.400,28.410,33.087
31.700,33.087,28.136
29.500,28.136,25.606
27.100,25.606,22.045
24.700,22.045,19.837
22.100,19.837,18.273
19.300,18.273,15.221
27.500,15.221,20.630
29.600,20.630,23.202
31.500,23.202,26.609
33.300,26.609,29.032
35.100,29.032,30.434
12.800,30.434,6.217
11.800,6.217,6.090
10.700,6.090,7.932
9.500,7.932,5.397
8.400,5.397,4.775
7.200,4.775,4.694
11.600,4.694,4.744
13.400,4.744,6.685
15.100,6.685,8.366
16.700,8.366,6.896
18.100,6.896,9.783
42.100,9.783,40.923
37.100,40.923,36.381
35.000,36.381,34.367
32.900,34.367,33.343
30.800,33.343,29.752
28.500,29.752,27.307
26.100,27.307,24.816
23.600,24.816,21.516
30.700,21.516,27.443
32.500,27.443,29.355
34.300,29.355,32.121
36.200,32.121,33.040
38.100,33.040,34.914
40.100,34.914,37.368
42.100,37.368,40.754
2.700,40.754,3.598
1.400,3.598,2.451
1.000,2.451,3.250
33.800,3.250,29.423
27.800,29.423,24.230
25.400,24.230,21.194
22.800,21.194,19.712
20.100,19.712,17.488
28.100,17.488,22.064
30.100,22.064,25.360
32.000,25.360,27.269
33.800,27.269,29.806
39.200,29.806,36.785
34.100,36.785,32.156
32.000,32.156,31.497
29.800,31.497,27.914
27.500,27.914,25.578
25.000,25.578,22.913
22.400,22.913,19.955
29.800,19.955,26.331
31.700,26.331,28.282
33.500,28.282,29.837
35.400,29.837,32.391
37.300,32.391,33.981
39.200,33.981,36.808
26.800,36.808,23.890
25.100,23.890,21.221
23.400,21.221,19.709
21.700,19.709,18.982
19.900,18.982,17.231
18.000,17.231,14.829
16.000,14.829,11.930
23.800,11.930,18.880
25.600,18.880,19.823
27.200,19.823,21.014
28.600,21.014,22.791
29.900,22.791,24.258
31.200,24.258,26.604
8.000,26.604,4.648
6.800,4.648,4.375
5.600,4.375,4.185
4.400,4.185,4.774
6.800,4.774,4.118
9.000,4.118,6.333
11.100,6.333,6.400
23.100,6.400,16.541
15.200,16.541,10.859
13.200,10.859,6.871
11.000,6.871,8.539
18.500,8.539,13.049
21.000,13.049,15.946
23.100,15.946,16.950
28.400,16.950,20.910
21.400,20.910,17.101
19.600,17.101,14.764
17.700,14.764,14.245
15.700,14.245,12.912
13.600,12.912,9.629
21.500,9.629,15.121
23.500,15.121,17.641
25.300,17.641,19.562
26.900,19.562,20.673
28.400,20.673,22.817
