# setPoint, prevTorque, Torque
36.800,1.250,31.403
32.100,31.403,26.503
29.900,26.503,25.269
27.400,25.269,21.996
24.900,21.996,20.917
22.200,20.917,19.302
28.100,19.302,22.466
30.400,22.466,24.340
32.600,24.340,26.994
34.700,26.994,29.636
36.800,29.636,32.305
32.800,32.305,28.847
30.500,28.847,26.564
28.100,26.564,24.592
25.600,24.592,22.609
23.000,22.609,19.876
20.100,19.876,17.301
26.400,17.301,20.742
28.800,20.742,22.815
31.100,22.815,25.280
33.200,25.280,27.745
35.300,27.745,31.087
13.400,31.087,10.168
12.300,10.168,9.148
11.100,9.148,8.139
9.900,8.139,7.895
8.700,7.895,7.295
7.500,7.295,5.899
10.800,5.899,7.445
12.400,7.445,8.830
13.900,8.830,9.030
15.300,9.030,8.978
16.600,8.978,11.939
42.800,11.939,41.549
38.100,41.549,37.074
36.100,37.074,34.933
34.000,34.933,32.348
31.800,32.348,30.102
29.500,30.102,28.373
27.100,28.373,25.837
24.500,25.837,22.466
30.100,22.466,26.949
32.300,26.949,29.587
34.400,29.587,32.270
36.500,32.270,33.281
38.600,33.281,36.591
40.700,36.591,38.755
42.800,38.755,41.846
2.800,41.846,3.758
1.400,3.758,2.845
2.200,2.845,3.895
33.800,3.895,29.901
28.800,29.901,24.603
26.400,24.603,23.259
23.700,23.259,19.787
21.000,19.787,19.264
27.100,19.264,21.171
29.500,21.171,22.814
31.700,22.814,27.414
33.800,27.414,29.291
39.800,29.291,37.037
35.200,37.037,33.192
33.100,33.192,31.111
30.800,31.111,29.032
28.500,29.032,25.437
26.000,25.437,23.950
23.400,23.950,20.406
29.100,20.406,24.977
31.400,24.977,28.338
33.500,28.338,29.552
35.600,29.552,32.480
37.700,32.480,34.059
39.800,34.059,37.154
27.800,37.154,25.294
26.100,25.294,22.057
24.400,22.057,21.444
22.600,21.444,21.011
20.700,21.011,19.212
18.700,19.212,16.374
16.700,16.374,14.311
22.300,14.311,18.208
24.200,18.208,19.012
26.000,19.012,20.445
27.700,20.445,20.859
29.200,20.859,24.296
30.700,24.296,25.671
8.400,25.671,6.125
7.100,6.125,6.239
5.800,6.239,5.866
4.500,5.866,5.279
6.800,5.279,4.843
8.700,4.843,5.960
10.400,5.960,7.791
21.600,7.791,16.106
15.900,16.106,12.530
13.700,12.530,9.568
11.500,9.568,8.472
17.000,8.472,13.115
19.400,13.115,15.297
21.600,15.297,16.776
27.400,16.776,20.068
22.300,20.068,19.199
20.400,19.199,17.190
18.400,17.190,15.820
16.400,15.820,15.581
14.200,15.581,10.972
19.900,10.972,15.363
22.000,15.363,16.957
24.000,16.957,17.788
25.800,17.788,19.239
27.400,19.239,21.006
