# setPoint, prevTorque, Torque
36.400,1.250,31.281
33.000,31.281,28.499
29.500,28.499,23.718
26.400,23.718,20.601
23.900,20.601,18.732
21.300,18.732,16.433
23.700,16.433,17.882
26.100,17.882,19.569
28.500,19.569,21.268
30.900,21.268,24.496
33.400,24.496,28.039
31.600,28.039,26.551
29.200,26.551,24.827
26.800,24.827,21.655
24.400,21.655,19.967
22.000,19.967,19.307
19.300,19.307,15.640
27.500,15.640,20.610
29.600,20.610,24.448
31.500,24.448,26.818
33.300,26.818,28.285
35.100,28.285,30.914
12.800,30.914,7.522
11.800,7.522,5.912
10.700,5.912,5.459
9.500,5.459,5.918
8.400,5.918,4.840
7.200,4.840,4.631
11.600,4.631,5.483
13.400,5.483,8.062
15.100,8.062,5.810
16.700,5.810,8.496
18.100,8.496,9.904
42.100,9.904,40.444
39.000,40.444,38.107
35.900,38.107,34.958
32.900,34.958,33.326
30.800,33.326,30.135
28.500,30.135,27.330
26.100,27.330,24.529
23.600,24.529,21.104
26.000,21.104,24.132
28.400,24.132,25.821
30.800,25.821,28.310
33.300,28.310,31.205
35.700,31.205,33.341
38.100,33.341,36.248
40.500,36.248,37.986
2.700,37.986,2.934
1.400,2.934,1.807
2.200,1.807,2.126
33.800,2.126,30.046
30.100,30.046,26.801
26.300,26.801,23.151
22.800,23.151,19.841
20.100,19.841,18.279
28.100,18.279,23.033
30.100,23.033,25.785
32.000,25.785,28.111
33.800,28.111,31.356
39.200,31.356,36.376
35.900,36.376,34.151
32.600,34.151,31.512
29.800,31.512,28.197
27.500,28.197,25.653
25.000,25.653,23.164
22.400,23.164,19.942
24.900,19.942,21.275
27.300,21.275,24.188
29.700,24.188,26.830
32.100,26.830,29.014
34.500,29.014,32.249
36.900,32.249,33.906
26.600,33.906,24.347
25.000,24.347,23.014
23.400,23.014,21.605
21.700,21.605,19.538
19.900,19.538,18.898
18.000,18.898,15.397
16.000,15.397,13.424
23.800,13.424,19.765
25.600,19.765,20.851
27.200,20.851,21.850
28.600,21.850,24.608
29.900,24.608,25.497
31.200,25.497,26.676
8.000,26.676,5.231
6.800,5.231,4.687
5.600,4.687,5.044
4.400,5.044,4.671
6.800,4.671,5.096
9.000,5.096,4.937
11.100,4.937,5.278
23.100,5.278,16.306
21.000,16.306,15.970
18.500,15.970,14.384
15.600,14.384,11.273
18.500,11.273,13.942
21.000,13.942,16.118
23.100,16.118,18.662
28.400,18.662,23.089
26.900,23.089,21.164
25.300,21.164,20.958
23.500,20.958,19.790
21.500,19.790,18.889
19.000,18.889,15.552
21.500,15.552,18.444
23.500,18.444,19.254
25.300,19.254,20.631
26.900,20.631,20.540
28.400,20.540,21.839
