# setPoint, prevTorque, Torque
36.800,1.250,53.643
33.500,53.643,51.678
30.200,51.678,53.311
27.400,53.311,51.991
24.900,51.991,71.892
22.200,71.892,55.595
26.200,55.595,50.737
30.200,50.737,56.652
32.600,56.652,56.796
34.700,56.796,51.747
36.800,51.747,50.484
34.400,50.484,54.091
31.100,54.091,50.688
28.100,50.688,52.482
25.600,52.482,57.447
23.000,57.447,65.922
20.100,65.922,50.850
24.700,50.850,56.526
28.800,56.526,55.727
31.100,55.727,56.724
33.200,56.724,51.325
35.300,51.325,57.050
13.400,57.050,50.190
12.300,50.190,57.193
11.100,57.193,60.506
9.900,60.506,62.342
8.700,62.342,53.894
7.500,53.894,52.359
10.800,52.359,56.367
12.400,56.367,55.615
13.900,55.615,52.421
15.300,52.421,53.182
16.600,53.182,54.223
42.800,54.223,55.092
39.800,55.092,55.873
36.900,55.873,52.807
34.000,52.807,56.724
31.800,56.724,52.359
29.500,52.359,53.311
27.100,53.311,54.275
24.500,54.275,nan
28.100,nan,65.128
31.600,65.128,52.485
34.400,52.485,60.167
36.500,60.167,57.086
38.600,57.086,54.621
40.700,54.621,58.243
42.800,58.243,57.771
2.800,57.771,61.568
1.400,61.568,51.078
2.200,51.078,63.536
33.800,63.536,53.883
30.200,53.883,57.087
26.600,57.087,54.437
23.700,54.437,61.474
21.000,61.474,66.242
25.300,66.242,56.763
29.500,56.763,56.509
31.700,56.509,52.931
33.800,52.931,57.158
39.800,57.158,61.294
36.600,61.294,62.242
33.500,62.242,58.424
30.800,58.424,58.366
28.500,58.366,64.750
26.000,64.750,56.763
23.400,56.763,67.123
27.100,67.123,55.523
30.900,55.523,64.161
33.500,64.161,45.676
35.600,45.676,56.056
37.700,56.056,66.739
39.800,66.739,52.543
27.800,52.543,56.469
26.100,56.469,69.369
24.400,69.369,59.273
22.600,59.273,50.307
20.700,50.307,48.902
18.700,48.902,59.117
16.700,59.117,54.091
20.700,54.091,52.931
24.200,52.931,65.750
26.000,65.750,60.541
27.700,60.541,55.072
29.200,55.072,59.847
30.700,59.847,55.228
8.400,55.228,59.610
7.100,59.610,58.348
5.800,58.348,58.989
4.500,58.989,59.907
6.800,59.907,54.170
8.700,54.170,53.883
10.400,53.883,54.236
21.600,54.236,75.229
19.400,75.229,56.337
17.000,56.337,53.753
14.300,53.753,78.689
17.000,78.689,51.872
19.400,51.872,55.684
21.600,55.684,60.995
27.400,60.995,55.847
24.400,55.847,58.885
21.400,58.885,65.729
18.500,65.729,66.217
16.400,66.217,53.240
14.200,53.240,64.352
19.600,64.352,53.569
22.000,53.569,60.623
24.000,60.623,57.340
25.800,57.340,53.311
27.400,53.311,54.391
