# Torque, Command, State
0.00,0.00,1.00
34.28,36.79,1.00
31.28,33.47,0.00
28.28,30.16,0.00
25.28,27.44,-1.00
22.28,24.89,-1.00
19.28,22.18,-1.00
22.28,26.19,0.00
25.28,30.20,0.00
28.28,32.61,1.00
31.28,34.72,1.00
34.28,36.79,1.00
32.14,34.43,0.00
29.14,31.11,0.00
26.14,28.15,-1.00
23.14,25.64,-1.00
20.14,22.98,-1.00
17.14,20.14,-1.00
20.14,24.71,0.00
23.14,28.80,1.00
26.14,31.06,1.00
29.14,33.22,1.00
32.14,35.31,1.00
10.71,13.42,-1.00
9.71,12.28,-1.00
8.71,11.12,-1.00
7.71,9.94,-1.00
6.71,8.72,-1.00
5.71,7.48,-1.00
6.71,10.82,1.00
7.71,12.40,1.00
8.71,13.89,1.00
9.71,15.30,1.00
10.71,16.62,1.00
42.85,42.76,1.00
39.85,39.81,0.00
36.85,36.87,0.00
33.85,34.01,-1.00
30.85,31.82,-1.00
27.85,29.52,-1.00
24.85,27.09,-1.00
21.85,24.51,-1.00
24.85,28.05,0.00
27.85,31.60,0.00
30.85,34.42,1.00
33.85,36.50,1.00
36.85,38.57,1.00
39.85,40.65,1.00
42.85,42.76,1.00
2.14,2.80,-1.00
1.14,1.42,-1.00
2.14,2.23,1.00
