# setPoint, prevTorque, Torque
36.400,1.250,31.620
33.300,31.620,28.892
30.200,28.892,24.917
27.100,24.917,22.848
23.900,22.848,19.182
21.300,19.182,16.599
23.800,16.599,18.344
26.300,18.344,21.284
28.700,21.284,23.313
31.200,23.313,25.666
33.700,25.666,29.148
31.900,29.148,27.581
29.500,27.581,25.727
27.000,25.727,23.034
24.500,23.034,22.067
22.000,22.067,20.366
19.300,20.366,15.407
22.000,15.407,18.002
24.700,18.002,21.735
27.300,21.735,22.479
30.000,22.479,24.988
32.700,24.988,27.820
12.800,27.820,5.203
11.800,5.203,7.639
10.700,7.639,5.192
9.500,5.192,4.945
8.400,4.945,4.527
7.200,4.527,4.711
9.500,4.711,4.853
11.800,4.853,5.211
14.100,5.211,6.729
16.400,6.729,9.133
18.100,9.133,10.229
42.100,10.229,42.136
39.100,42.136,40.108
36.200,40.108,36.475
33.200,36.475,34.679
30.800,34.679,30.933
28.500,30.933,28.020
26.100,28.020,24.154
23.600,24.154,22.133
25.900,22.133,22.832
28.200,22.832,26.152
30.500,26.152,28.613
32.800,28.613,30.634
35.200,30.634,34.643
37.500,34.643,36.903
39.800,36.903,38.419
2.700,38.419,3.032
1.400,3.032,2.566
1.000,2.566,1.750
33.800,1.750,31.211
30.500,31.211,27.672
27.300,27.672,25.385
24.000,25.385,21.956
20.700,21.956,18.787
24.000,18.787,21.924
27.300,21.924,24.543
30.500,24.543,27.936
33.800,27.936,31.599
39.200,31.599,39.701
36.200,39.701,37.797
33.100,37.797,33.349
30.100,33.349,29.299
27.500,29.299,27.370
25.000,27.370,23.450
22.400,23.450,21.941
24.800,21.941,22.423
27.200,22.423,25.414
29.600,25.414,28.169
32.000,28.169,30.813
34.400,30.813,33.058
36.800,33.058,36.146
26.600,36.146,26.373
25.000,26.373,25.414
23.400,25.414,22.656
21.700,22.656,22.552
19.900,22.552,18.424
18.000,18.424,16.472
16.000,16.472,14.563
23.800,14.563,20.150
25.600,20.150,22.198
27.200,22.198,24.489
28.600,24.489,26.492
29.900,26.492,27.527
31.200,27.527,28.973
8.000,28.973,4.739
6.800,4.739,4.085
5.600,4.085,4.364
4.400,4.364,3.798
6.800,3.798,3.926
9.000,3.926,5.735
11.100,5.735,6.282
23.100,6.282,19.541
19.900,19.541,16.230
16.600,16.230,13.455
13.400,13.455,10.988
16.600,10.988,12.485
19.900,12.485,14.787
23.100,14.787,20.689
28.400,20.689,23.421
25.100,23.421,22.047
22.500,22.047,21.414
19.900,21.414,17.402
17.300,17.402,15.741
14.700,15.741,13.096
17.300,13.096,14.301
19.900,14.301,16.252
22.500,16.252,19.776
25.100,19.776,21.513
27.700,21.513,23.519
