# setPoint, prevTorque, Torque
36.400,1.250,32.034
33.300,32.034,28.443
30.200,28.443,26.253
27.100,26.253,21.189
23.900,21.189,20.142
21.300,20.142,16.790
23.800,16.790,18.784
26.300,18.784,20.030
28.700,20.030,21.889
31.200,21.889,24.826
33.700,24.826,27.958
31.900,27.958,27.029
29.500,27.029,24.471
27.000,24.471,21.826
24.500,21.826,20.417
22.000,20.417,17.583
19.300,17.583,14.657
22.000,14.657,18.419
24.700,18.419,18.732
27.300,18.732,20.840
30.000,20.840,24.687
32.700,24.687,28.905
12.800,28.905,5.655
11.800,5.655,5.834
10.700,5.834,5.131
9.500,5.131,4.470
8.400,4.470,4.694
7.200,4.694,4.554
11.600,4.554,4.666
13.400,4.666,5.172
15.100,5.172,8.492
16.700,8.492,8.726
18.100,8.726,10.138
42.100,10.138,41.094
39.100,41.094,38.542
36.200,38.542,35.508
33.200,35.508,33.863
30.800,33.863,30.499
28.500,30.499,28.539
26.100,28.539,24.937
23.600,24.937,21.903
25.900,21.903,24.231
28.200,24.231,26.200
30.500,26.200,28.740
32.800,28.740,31.624
35.200,31.624,32.865
37.500,32.865,35.152
39.800,35.152,38.438
2.700,38.438,3.054
1.400,3.054,3.039
1.000,3.039,1.914
33.800,1.914,30.820
30.500,30.820,28.029
27.300,28.029,25.155
24.000,25.155,20.805
20.700,20.805,17.908
24.000,17.908,20.382
27.300,20.382,23.228
30.500,23.228,26.655
33.800,26.655,31.918
39.200,31.918,37.686
36.200,37.686,35.572
33.100,35.572,33.145
30.100,33.145,29.019
27.500,29.019,26.764
25.000,26.764,23.078
22.400,23.078,20.127
24.800,20.127,20.972
27.200,20.972,23.429
29.600,23.429,26.260
32.000,26.260,29.098
34.400,29.098,31.405
36.800,31.405,33.854
26.600,33.854,24.472
25.000,24.472,23.370
23.400,23.370,20.929
21.700,20.929,20.360
19.900,20.360,19.102
18.000,19.102,15.781
16.000,15.781,13.231
23.800,13.231,19.991
25.600,19.991,20.696
27.200,20.696,23.038
28.600,23.038,24.693
29.900,24.693,25.636
31.200,25.636,27.683
8.000,27.683,4.044
6.800,4.044,4.038
5.600,4.038,3.537
4.400,3.537,4.173
6.800,4.173,3.925
9.000,3.925,4.447
11.100,4.447,4.401
23.100,4.401,19.478
19.900,19.478,15.269
16.600,15.269,11.829
13.400,11.829,9.260
16.600,9.260,12.223
19.900,12.223,14.531
23.100,14.531,17.175
28.400,17.175,22.948
25.100,22.948,20.203
22.500,20.203,19.554
19.900,19.554,16.155
17.300,16.155,13.819
14.700,13.819,10.034
17.300,10.034,12.181
19.900,12.181,15.607
22.500,15.607,19.035
25.100,19.035,20.082
27.700,20.082,22.040
