# Torque, Command, State
0.00,0.00,1.00
34.28,36.45,1.00
31.28,33.32,0.00
28.28,30.19,0.00
25.28,27.07,0.00
22.28,23.94,0.00
19.28,21.30,-1.00
22.28,23.78,0.00
25.28,26.26,0.00
28.28,28.75,0.00
31.28,31.23,0.00
34.28,33.71,0.00
32.14,31.94,0.00
29.14,29.46,0.00
26.14,26.97,0.00
23.14,24.49,0.00
20.14,22.01,0.00
17.14,19.32,-1.00
20.14,21.99,0.00
23.14,24.66,0.00
26.14,27.33,0.00
29.14,30.00,0.00
32.14,32.68,0.00
10.71,12.85,-1.00
9.71,11.76,-1.00
8.71,10.65,-1.00
7.71,9.52,-1.00
6.71,8.36,-1.00
5.71,7.18,-1.00
6.71,11.61,1.00
7.71,13.44,1.00
8.71,15.12,1.00
9.71,16.67,1.00
10.71,18.10,1.00
42.85,42.13,1.00
39.85,39.15,0.00
36.85,36.17,0.00
33.85,33.19,0.00
30.85,30.76,-1.00
27.85,28.48,-1.00
24.85,26.09,-1.00
21.85,23.57,-1.00
24.85,25.88,0.00
27.85,28.20,0.00
30.85,30.52,0.00
33.85,32.84,0.00
36.85,35.16,0.00
39.85,37.48,0.00
42.85,39.79,0.00
2.14,2.75,-1.00
1.14,1.44,-1.00
2.14,0.99,1.00
29.99,33.81,1.00
26.99,30.53,0.00
23.99,27.25,0.00
20.99,23.97,0.00
17.99,20.69,0.00
20.99,23.97,0.00
23.99,27.25,0.00
26.99,30.53,0.00
29.99,33.81,0.00
38.56,39.20,1.00
35.56,36.17,0.00
32.56,33.14,0.00
29.56,30.11,0.00
26.56,27.46,-1.00
23.56,25.02,-1.00
20.56,22.44,-1.00
23.56,24.83,0.00
26.56,27.23,0.00
29.56,29.62,0.00
32.56,32.02,0.00
35.56,34.41,0.00
38.56,36.81,0.00
25.71,26.55,0.00
23.71,24.95,0.00
21.71,23.36,0.00
19.71,21.68,-1.00
17.71,19.85,-1.00
15.71,17.95,-1.00
13.71,15.97,-1.00
15.71,23.80,1.00
17.71,25.58,1.00
19.71,27.16,1.00
21.71,28.60,1.00
23.71,29.93,1.00
25.71,31.20,1.00
6.43,8.03,-1.00
5.43,6.84,-1.00
4.43,5.63,-1.00
3.43,4.39,-1.00
4.43,6.81,1.00
5.43,9.03,1.00
6.43,11.07,1.00
15.00,23.11,1.00
13.00,19.86,0.00
11.00,16.62,0.00
9.00,13.37,0.00
11.00,16.62,0.00
13.00,19.86,0.00
15.00,23.11,0.00
21.42,28.39,1.00
19.42,25.08,0.00
17.42,22.50,0.00
15.42,19.91,0.00
13.42,17.33,0.00
11.42,14.74,0.00
13.42,17.33,0.00
15.42,19.91,0.00
17.42,22.50,0.00
19.42,25.08,0.00
21.42,27.67,0.00
