# setPoint, prevTorque, Torque
36.400,1.250,31.768
32.900,31.768,27.301
29.400,27.301,22.704
26.400,22.704,20.319
23.900,20.319,18.988
21.300,18.988,15.461
23.800,15.461,17.129
26.200,17.129,19.504
28.700,19.504,20.337
31.200,20.337,23.627
33.600,23.627,27.181
31.900,27.181,25.952
29.400,25.952,23.698
26.900,23.698,21.281
24.500,21.281,19.452
22.000,19.452,18.282
19.300,18.282,14.094
27.500,14.094,20.211
29.600,20.211,23.224
31.500,23.224,26.157
33.300,26.157,27.575
35.100,27.575,29.633
12.800,29.633,7.596
11.800,7.596,5.108
10.700,5.108,5.027
9.500,5.027,5.180
8.400,5.180,4.230
7.200,4.230,4.041
11.600,4.041,4.933
13.400,4.933,5.035
15.100,5.035,7.835
16.700,7.835,8.722
18.100,8.722,10.879
42.100,10.879,40.168
38.900,40.168,38.128
35.700,38.128,34.308
32.900,34.308,32.127
30.800,32.127,30.091
28.500,30.091,26.932
26.100,26.932,24.411
23.600,24.411,20.450
26.000,20.450,23.504
28.400,23.504,24.739
30.700,24.739,27.570
33.100,27.570,31.528
35.500,31.528,33.137
37.900,33.137,34.638
40.300,34.638,37.612
2.700,37.612,2.885
1.400,2.885,2.477
1.000,2.477,0.994
33.800,0.994,29.411
30.100,29.411,26.692
26.300,26.692,22.527
22.800,22.527,19.930
20.100,19.930,17.477
28.100,17.477,22.166
30.100,22.166,24.781
32.000,24.781,26.884
33.800,26.884,29.528
39.200,29.528,35.714
35.900,35.714,33.780
32.500,33.780,30.099
29.800,30.099,28.402
27.500,28.402,25.763
25.000,25.763,23.054
22.400,23.054,19.962
24.900,19.962,21.422
27.300,21.422,22.586
29.700,22.586,24.556
32.200,24.556,27.656
34.600,27.656,30.699
37.000,30.699,33.431
26.600,33.431,23.903
25.000,23.903,23.102
23.400,23.102,20.639
21.700,20.639,18.988
19.900,18.988,16.761
18.000,16.761,14.839
16.000,14.839,12.462
23.800,12.462,19.762
25.600,19.762,20.044
27.200,20.044,21.998
28.600,21.998,23.985
29.900,23.985,25.306
31.200,25.306,26.255
8.000,26.255,4.082
6.800,4.082,4.098
5.600,4.098,3.565
4.400,3.565,3.861
6.800,3.861,3.857
9.000,3.857,4.225
11.100,4.225,4.754
23.100,4.754,16.352
19.600,16.352,14.458
16.000,14.458,11.037
12.500,11.037,8.563
16.000,8.563,10.640
19.600,10.640,13.045
23.100,13.045,15.379
28.400,15.379,21.154
25.400,21.154,19.916
22.500,19.916,18.499
19.500,18.499,15.492
16.600,15.492,11.786
13.600,11.786,9.112
21.500,9.112,17.047
23.500,17.047,17.853
25.300,17.853,19.222
26.900,19.222,20.163
28.400,20.163,21.623
