# setPoint, prevTorque, Torque
36.400,1.250,31.558
32.900,31.558,29.135
29.300,29.135,26.923
26.400,26.923,23.208
23.900,23.208,20.588
21.300,20.588,18.423
23.800,18.423,19.107
26.300,19.107,20.164
28.800,20.164,23.024
31.300,23.024,26.475
33.800,26.475,28.908
32.000,28.908,27.999
29.500,27.999,25.381
27.000,25.381,23.045
24.500,23.045,20.571
22.000,20.571,19.277
19.300,19.277,17.267
22.100,17.267,18.196
24.900,18.196,19.511
27.600,19.511,22.309
30.400,22.309,24.046
33.200,24.046,27.166
12.800,27.166,8.890
11.800,8.890,7.955
10.700,7.955,8.319
9.500,8.319,7.184
8.400,7.184,5.857
7.200,5.857,5.028
11.600,5.028,7.652
13.400,7.652,8.726
15.100,8.726,9.604
16.700,9.604,10.653
18.100,10.653,11.066
42.100,11.066,40.369
38.800,40.369,37.703
35.500,37.703,33.763
32.900,33.763,31.351
30.800,31.351,28.496
28.500,28.496,26.170
26.100,26.170,22.920
23.600,22.920,21.531
25.900,21.531,21.177
28.100,21.177,23.708
30.400,23.708,26.257
32.700,26.257,29.444
35.000,29.444,31.437
37.300,31.437,34.418
39.600,34.418,37.078
2.700,37.078,3.403
1.400,3.403,2.369
1.000,2.369,3.082
33.800,3.082,28.931
30.000,28.931,26.025
26.300,26.025,21.158
22.800,21.158,19.261
20.100,19.261,17.353
22.800,17.353,18.488
25.400,18.488,20.593
28.100,20.593,20.908
30.700,20.908,25.166
38.300,25.166,33.244
35.700,33.244,32.396
33.000,32.396,31.377
30.400,31.377,28.022
27.700,28.022,24.675
25.000,24.675,21.513
22.400,21.513,19.195
25.000,19.195,19.606
27.700,19.606,22.483
30.400,22.483,25.409
33.000,25.409,28.902
35.700,28.902,32.218
38.300,32.218,35.137
27.000,35.137,24.161
25.200,24.161,21.121
23.400,21.121,20.293
21.600,20.293,18.560
19.900,18.560,17.389
18.000,17.389,14.604
16.000,14.604,12.459
18.300,12.459,13.637
20.700,13.637,15.906
23.000,15.906,17.616
25.400,17.616,18.890
27.700,18.890,19.830
30.100,19.830,23.538
8.000,23.538,5.019
6.800,5.019,5.894
5.600,5.894,4.272
4.400,4.272,3.455
6.800,3.455,4.539
9.000,4.539,5.885
11.100,5.885,6.312
23.100,6.312,16.606
19.400,16.606,13.748
15.700,13.748,9.957
12.000,9.957,6.099
15.700,6.099,9.688
19.400,9.688,13.012
23.100,13.012,15.884
28.400,15.884,19.285
25.400,19.285,18.898
22.400,18.898,17.564
19.400,17.564,15.057
16.500,15.057,11.797
13.600,11.797,8.165
16.600,8.165,10.136
19.600,10.136,13.291
22.700,13.291,16.763
25.700,16.763,18.581
28.400,18.581,19.414
