# setPoint, prevTorque, Torque
36.400,1.250,30.433
32.200,30.433,27.010
28.800,27.010,23.473
26.400,23.473,20.040
23.900,20.040,18.750
21.300,18.750,17.511
23.800,17.511,18.464
26.300,18.464,19.637
28.800,19.637,22.313
31.300,22.313,23.806
33.800,23.806,28.005
32.000,28.005,27.355
29.500,27.355,24.630
27.000,24.630,21.871
24.500,21.871,20.303
22.000,20.303,19.062
19.300,19.062,16.350
22.100,16.350,18.058
24.900,18.058,19.076
27.600,19.076,19.938
30.400,19.938,24.487
33.200,24.487,28.381
12.800,28.381,8.925
11.800,8.925,6.822
10.700,6.822,6.480
9.500,6.480,4.726
8.400,4.726,4.896
7.200,4.896,5.829
11.600,5.829,6.487
13.400,6.487,7.896
15.100,7.896,9.872
16.700,9.872,9.903
18.100,9.903,10.363
42.100,10.363,40.688
38.000,40.688,36.993
35.000,36.993,33.210
32.900,33.210,32.597
30.800,32.597,29.574
28.500,29.574,27.460
26.100,27.460,23.919
23.600,23.919,21.910
25.900,21.910,23.006
28.100,23.006,25.383
30.400,25.383,27.308
32.700,27.308,30.056
35.000,30.056,33.041
37.300,33.041,35.643
39.600,35.643,38.051
2.700,38.051,3.298
1.400,3.298,3.389
1.000,3.389,2.830
33.800,2.830,29.951
29.500,29.951,25.610
25.400,25.610,20.682
22.800,20.682,19.964
20.100,19.964,17.454
22.800,17.454,18.757
25.400,18.757,20.219
28.100,20.219,22.968
30.700,22.968,26.034
38.300,26.034,36.095
35.700,36.095,33.911
33.000,33.911,31.615
30.400,31.615,28.795
27.700,28.795,25.016
25.000,25.016,21.662
22.400,21.662,19.555
25.000,19.555,20.176
27.700,20.176,23.027
30.400,23.027,27.203
33.000,27.203,29.012
35.700,29.012,32.767
38.300,32.767,35.845
27.000,35.845,23.268
25.200,23.268,20.609
23.400,20.609,20.164
21.600,20.164,17.883
19.900,17.883,17.440
18.000,17.440,14.988
16.000,14.988,12.391
18.300,12.391,14.448
20.700,14.448,17.118
23.000,17.118,18.771
25.400,18.771,19.083
27.700,19.083,20.366
30.100,20.366,25.616
8.000,25.616,6.358
6.800,6.358,4.197
5.600,4.197,4.370
4.400,4.370,4.220
6.800,4.220,4.325
9.000,4.325,5.274
11.100,5.274,7.711
23.100,7.711,16.852
19.300,16.852,14.232
15.500,14.232,11.600
11.700,11.600,5.960
15.500,5.960,7.350
19.300,7.350,13.088
23.100,13.088,16.460
28.400,16.460,20.525
25.200,20.525,19.482
21.900,19.482,16.962
18.700,16.962,14.919
15.700,14.919,11.467
13.600,11.467,9.481
16.600,9.481,11.392
19.600,11.392,14.673
22.700,14.673,17.884
25.700,17.884,19.028
28.400,19.028,22.375
