# Torque, Command, State
0.00,0.00,1.00
34.28,36.45,1.00
31.28,32.23,0.00
28.28,28.81,-1.00
25.28,26.44,-1.00
22.28,23.94,-1.00
19.28,21.30,-1.00
22.28,23.80,0.00
25.28,26.31,0.00
28.28,28.82,0.00
31.28,31.33,0.00
34.28,33.84,0.00
32.14,32.05,0.00
29.14,29.54,0.00
26.14,27.03,0.00
23.14,24.52,0.00
20.14,22.01,0.00
17.14,19.32,-1.00
20.14,22.10,0.00
23.14,24.87,0.00
26.14,27.65,0.00
29.14,30.43,0.00
32.14,33.20,0.00
10.71,12.85,-1.00
9.71,11.76,-1.00
8.71,10.65,-1.00
7.71,9.52,-1.00
6.71,8.36,-1.00
5.71,7.18,-1.00
6.71,11.61,1.00
7.71,13.44,1.00
8.71,15.12,1.00
9.71,16.67,1.00
10.71,18.10,1.00
42.85,42.13,1.00
39.85,38.05,0.00
36.85,35.04,-1.00
33.85,32.94,-1.00
30.85,30.76,-1.00
27.85,28.48,-1.00
24.85,26.09,-1.00
21.85,23.57,-1.00
24.85,25.86,0.00
27.85,28.15,0.00
30.85,30.44,0.00
33.85,32.73,0.00
36.85,35.02,0.00
39.85,37.31,0.00
42.85,39.61,0.00
2.14,2.75,-1.00
1.14,1.44,-1.00
2.14,0.99,1.00
29.99,33.81,1.00
26.99,29.47,0.00
23.99,25.38,-1.00
20.99,22.82,-1.00
17.99,20.11,-1.00
20.99,22.77,0.00
23.99,25.43,0.00
26.99,28.09,0.00
29.99,30.74,0.00
38.56,38.34,0.00
35.56,35.68,0.00
32.56,33.02,0.00
29.56,30.36,0.00
26.56,27.71,0.00
23.56,25.05,0.00
20.56,22.39,0.00
23.56,25.05,0.00
26.56,27.71,0.00
29.56,30.36,0.00
32.56,33.02,0.00
35.56,35.68,0.00
38.56,38.34,0.00
25.71,26.95,0.00
23.71,25.18,0.00
21.71,23.41,0.00
19.71,21.64,0.00
17.71,19.85,-1.00
15.71,17.95,-1.00
13.71,15.97,-1.00
15.71,18.32,0.00
17.71,20.68,0.00
19.71,23.03,0.00
21.71,25.38,0.00
23.71,27.74,0.00
25.71,30.09,0.00
6.43,8.03,-1.00
5.43,6.84,-1.00
4.43,5.63,-1.00
3.43,4.39,-1.00
4.43,6.81,1.00
5.43,9.03,1.00
6.43,11.07,1.00
15.00,23.11,1.00
13.00,19.31,0.00
11.00,15.50,0.00
9.00,11.70,0.00
11.00,15.50,0.00
13.00,19.31,0.00
15.00,23.11,0.00
21.42,28.39,1.00
19.42,25.17,0.00
17.42,21.94,0.00
15.42,18.71,0.00
13.42,15.68,-1.00
11.42,13.60,-1.00
13.42,16.62,0.00
15.42,19.64,0.00
17.42,22.66,0.00
19.42,25.67,0.00
21.42,28.39,1.00
