# setPoint, prevTorque, Torque
36.800,1.250,31.835
33.500,31.835,28.939
30.200,28.939,26.060
27.400,26.060,22.390
24.900,22.390,19.993
22.200,19.993,18.944
26.200,18.944,20.960
30.200,20.960,24.072
32.600,24.072,28.185
34.700,28.185,30.372
36.800,30.372,32.784
34.400,32.784,30.753
31.100,30.753,27.102
28.100,27.102,24.846
25.600,24.846,22.178
23.000,22.178,20.117
20.100,20.117,18.046
24.700,18.046,20.069
28.800,20.069,24.587
31.100,24.587,26.670
33.200,26.670,28.887
35.300,28.887,30.866
13.400,30.866,10.534
12.300,10.534,9.642
11.100,9.642,9.244
9.900,9.244,8.190
8.700,8.190,6.861
7.500,6.861,5.455
10.800,5.455,7.367
12.400,7.367,8.342
13.900,8.342,8.837
15.300,8.837,9.424
16.600,9.424,11.968
42.800,11.968,41.123
39.800,41.123,38.521
36.900,38.521,36.136
34.000,36.136,33.012
31.800,33.012,30.995
29.500,30.995,27.903
27.100,27.903,23.558
24.500,23.558,21.662
28.100,21.662,23.748
31.600,23.748,27.903
34.400,27.903,31.878
36.500,31.878,32.852
38.600,32.852,35.487
40.700,35.487,38.107
42.800,38.107,40.959
2.800,40.959,3.748
1.400,3.748,3.414
2.200,3.414,3.302
33.800,3.302,29.179
30.200,29.179,25.137
26.600,25.137,21.341
23.700,21.341,19.169
21.000,19.169,18.496
25.300,18.496,20.195
29.500,20.195,23.841
31.700,23.841,26.133
33.800,26.133,29.013
39.800,29.013,36.823
36.600,36.823,33.755
33.500,33.755,32.432
30.800,32.432,28.355
28.500,28.355,25.585
26.000,25.585,22.543
23.400,22.543,21.032
27.100,21.032,22.276
30.900,22.276,25.690
33.500,25.690,29.936
35.600,29.936,32.463
37.700,32.463,33.500
39.800,33.500,36.613
27.800,36.613,24.528
26.100,24.528,21.069
24.400,21.069,20.507
22.600,20.507,19.224
20.700,19.224,18.606
18.700,18.606,15.115
16.700,15.115,13.809
20.700,13.809,17.031
24.200,17.031,18.874
26.000,18.874,20.251
27.700,20.251,22.348
29.200,22.348,23.575
30.700,23.575,25.655
8.400,25.655,6.594
7.100,6.594,6.578
5.800,6.578,5.597
4.500,5.597,5.124
6.800,5.124,5.176
8.700,5.176,6.035
10.400,6.035,7.169
21.600,7.169,15.545
19.400,15.545,14.277
17.000,14.277,11.690
14.300,11.690,11.381
17.000,11.381,11.283
19.400,11.283,12.558
21.600,12.558,14.380
27.400,14.380,20.947
24.400,20.947,19.195
21.400,19.195,16.518
18.500,16.518,14.412
16.400,14.412,12.636
14.200,12.636,11.478
19.600,11.478,14.550
22.000,14.550,16.540
24.000,16.540,17.970
25.800,17.970,19.838
27.400,19.838,20.161
