# setPoint, prevTorque, Torque
36.400,1.250,31.444
34.600,31.444,32.145
32.800,32.145,28.555
30.900,28.555,25.422
29.000,25.422,25.082
26.800,25.082,23.586
29.000,23.586,24.567
30.900,24.567,27.527
32.800,27.527,28.862
34.600,28.862,31.142
36.400,31.142,33.942
35.100,33.942,32.730
33.300,32.730,31.096
31.500,31.096,29.264
29.600,29.264,24.834
27.500,24.834,24.759
25.100,24.759,22.857
27.500,22.857,25.913
29.600,25.913,24.652
31.500,24.652,29.224
33.300,29.224,30.783
35.100,30.783,32.666
18.100,32.666,13.564
16.700,13.564,11.271
15.100,11.271,6.666
13.400,6.666,9.451
11.600,9.451,6.411
9.600,6.411,4.630
11.600,4.630,6.331
13.400,6.331,6.410
15.100,6.410,6.879
16.700,6.879,9.337
18.100,9.337,10.599
42.100,10.599,42.144
40.100,42.144,40.567
38.100,40.567,40.068
36.200,40.068,38.261
34.300,38.261,35.928
32.500,35.928,33.400
30.700,33.400,31.494
28.700,31.494,29.450
30.700,29.450,30.032
32.500,30.032,32.269
34.300,32.269,34.748
36.200,34.748,36.137
38.100,36.137,38.035
40.100,38.035,40.879
42.100,40.879,41.864
1.000,41.864,1.969
0.000,1.969,-0.018
1.000,-0.018,2.391
33.800,2.391,30.876
32.000,30.876,29.348
30.100,29.348,27.947
28.100,27.947,25.222
25.800,25.222,23.818
28.100,23.818,23.757
30.100,23.757,25.312
32.000,25.312,28.984
33.800,28.984,31.114
39.200,31.114,39.623
37.300,39.623,37.719
35.400,37.719,35.274
33.500,35.274,33.616
31.700,33.616,31.441
29.800,31.441,28.856
27.800,28.856,25.969
29.800,25.969,28.169
31.700,28.169,30.722
33.500,30.722,32.388
35.400,32.388,34.849
37.300,34.849,37.426
39.200,37.426,39.862
31.200,39.862,31.853
29.900,31.853,30.018
28.600,30.018,26.816
27.200,26.816,26.951
25.600,26.951,24.026
23.800,24.026,23.485
21.800,23.485,20.955
23.800,20.955,22.540
25.600,22.540,23.636
27.200,23.636,24.639
28.600,24.639,26.172
29.900,26.172,27.646
31.200,27.646,28.235
11.100,28.235,5.119
9.000,5.119,6.020
6.800,6.020,5.356
4.400,5.356,1.615
6.800,1.615,2.906
9.000,2.906,4.273
11.100,4.273,4.688
23.100,4.688,16.886
21.000,16.886,15.538
18.500,15.538,12.239
15.600,12.239,9.808
18.500,9.808,12.646
21.000,12.646,15.691
23.100,15.691,17.599
28.400,17.599,24.337
26.900,24.337,23.261
25.300,23.261,21.881
23.500,21.881,21.808
21.500,21.808,18.521
19.000,18.521,16.093
21.500,16.093,17.396
23.500,17.396,19.250
25.300,19.250,21.900
26.900,21.900,23.386
28.400,23.386,23.725
