# Torque, Command, State
0.00,0.00,1.00
34.28,36.45,-1.00
31.28,34.59,-1.00
28.28,32.77,-1.00
25.28,30.93,-1.00
22.28,28.98,-1.00
19.28,26.83,-1.00
22.28,28.98,-1.00
25.28,30.93,-1.00
28.28,32.77,-1.00
31.28,34.59,-1.00
34.28,36.45,-1.00
32.14,35.12,-1.00
29.14,33.30,-1.00
26.14,31.46,-1.00
23.14,29.56,-1.00
20.14,27.48,-1.00
17.14,25.09,-1.00
20.14,27.48,-1.00
23.14,29.56,-1.00
26.14,31.46,-1.00
29.14,33.30,-1.00
32.14,35.12,-1.00
10.71,18.10,-1.00
9.71,16.67,-1.00
8.71,15.12,-1.00
7.71,13.44,-1.00
6.71,11.61,-1.00
5.71,9.62,-1.00
6.71,11.61,-1.00
7.71,13.44,-1.00
8.71,15.12,-1.00
9.71,16.67,-1.00
10.71,18.10,-1.00
42.85,42.13,-1.00
39.85,40.06,-1.00
36.85,38.08,-1.00
33.85,36.18,-1.00
30.85,34.33,-1.00
27.85,32.51,-1.00
24.85,30.66,-1.00
21.85,28.69,-1.00
24.85,30.66,-1.00
27.85,32.51,-1.00
30.85,34.33,-1.00
33.85,36.18,-1.00
36.85,38.08,-1.00
39.85,40.06,-1.00
42.85,42.13,-1.00
2.14,0.99,-1.00
1.14,-1.93,-1.00
2.14,0.99,-1.00
29.99,33.81,-1.00
26.99,31.99,-1.00
23.99,30.11,-1.00
20.99,28.09,-1.00
17.99,25.81,-1.00
20.99,28.09,-1.00
23.99,30.11,-1.00
26.99,31.99,-1.00
29.99,33.81,-1.00
38.56,39.20,-1.00
35.56,37.25,-1.00
32.56,35.38,-1.00
29.56,33.55,-1.00
26.56,31.72,-1.00
23.56,29.83,-1.00
20.56,27.78,-1.00
23.56,29.83,-1.00
26.56,31.72,-1.00
29.56,33.55,-1.00
32.56,35.38,-1.00
35.56,37.25,-1.00
38.56,39.20,-1.00
25.71,31.20,-1.00
23.71,29.93,-1.00
21.71,28.60,-1.00
19.71,27.16,-1.00
17.71,25.58,-1.00
15.71,23.80,-1.00
13.71,21.77,-1.00
15.71,23.80,-1.00
17.71,25.58,-1.00
19.71,27.16,-1.00
21.71,28.60,-1.00
23.71,29.93,-1.00
25.71,31.20,-1.00
6.43,11.07,-1.00
5.43,9.03,-1.00
4.43,6.81,-1.00
3.43,4.40,-1.00
4.43,6.81,-1.00
5.43,9.03,-1.00
6.43,11.07,-1.00
15.00,23.11,-1.00
13.00,20.98,-1.00
11.00,18.50,-1.00
9.00,15.59,-1.00
11.00,18.50,-1.00
13.00,20.98,-1.00
15.00,23.11,-1.00
21.42,28.39,-1.00
19.42,26.94,-1.00
17.42,25.33,-1.00
15.42,23.52,-1.00
13.42,21.45,-1.00
11.42,19.05,-1.00
13.42,21.45,-1.00
15.42,23.52,-1.00
17.42,25.33,-1.00
19.42,26.94,-1.00
21.42,28.39,-1.00
