# setPoint, prevTorque, Torque
36.800,1.250,32.036
34.700,32.036,30.485
32.600,30.485,29.067
30.400,29.067,27.048
28.100,27.048,23.610
25.600,23.610,21.992
28.100,21.992,22.287
30.400,22.287,25.063
32.600,25.063,27.370
34.700,27.370,29.687
36.800,29.687,33.261
35.300,33.261,32.552
33.200,32.552,29.352
31.100,29.352,27.870
28.800,27.870,26.118
26.400,26.118,23.701
23.700,23.701,20.443
26.400,20.443,22.139
28.800,22.139,23.737
31.100,23.737,27.118
33.200,27.118,28.975
35.300,28.975,31.575
16.600,31.575,13.358
15.300,13.358,11.733
13.900,11.733,10.552
12.400,10.552,8.863
10.800,8.863,8.026
9.100,8.026,6.178
10.800,6.178,7.344
12.400,7.344,8.933
13.900,8.933,9.689
15.300,9.689,10.184
16.600,10.184,11.147
42.800,11.147,42.615
40.700,42.615,40.416
38.600,40.416,38.473
36.500,38.473,36.755
34.400,36.755,33.794
32.300,33.794,32.893
30.100,32.893,28.837
27.800,28.837,25.581
30.100,25.581,28.773
32.300,28.773,30.438
34.400,30.438,32.159
36.500,32.159,34.062
38.600,34.062,36.922
40.700,36.922,39.022
42.800,39.022,41.037
2.200,41.037,2.897
0.000,2.897,1.928
2.200,1.928,3.034
33.800,3.034,28.918
31.700,28.918,27.690
29.500,27.690,25.147
27.100,25.147,21.814
24.500,21.814,20.068
27.100,20.068,21.028
29.500,21.028,24.637
31.700,24.637,27.029
33.800,27.029,30.127
39.800,30.127,37.372
37.700,37.372,34.611
35.600,34.611,34.188
33.500,34.188,32.725
31.400,32.725,29.345
29.100,29.345,27.715
26.700,27.715,24.225
29.100,24.225,26.008
31.400,26.008,28.386
33.500,28.386,29.983
35.600,29.983,32.831
37.700,32.831,34.141
39.800,34.141,37.206
30.700,37.206,29.652
29.200,29.652,27.342
27.700,27.342,24.937
26.000,24.937,22.818
24.200,22.818,20.215
22.300,20.215,19.978
20.200,19.978,17.443
22.300,17.443,19.913
24.200,19.913,20.591
26.000,20.591,20.716
27.700,20.716,22.704
29.200,22.704,23.572
30.700,23.572,26.114
10.400,26.114,8.273
8.700,8.273,5.455
6.800,5.455,4.546
4.900,4.546,3.854
6.800,3.854,5.371
8.700,5.371,6.875
10.400,6.875,6.883
21.600,6.883,14.848
19.400,14.848,13.913
17.000,13.913,12.582
14.300,12.582,9.528
17.000,9.528,10.457
19.400,10.457,13.471
21.600,13.471,16.089
27.400,16.089,21.051
25.800,21.051,19.950
24.000,19.950,18.790
22.000,18.790,17.900
19.900,17.900,16.562
17.500,16.562,14.028
19.900,14.028,15.989
22.000,15.989,17.680
24.000,17.680,18.195
25.800,18.195,19.319
27.400,19.319,21.043
