# Torque, Command, State
0.00,0.00,1.00
47.13,45.21,1.00
44.48,42.55,0.00
41.83,39.90,0.00
39.18,37.24,0.00
36.53,34.82,-1.00
33.87,32.96,-1.00
31.22,31.04,-1.00
28.57,29.04,-1.00
25.92,26.95,-1.00
28.95,29.42,0.00
31.98,31.88,0.00
35.01,34.35,0.00
38.04,36.81,0.00
41.07,39.28,0.00
44.10,41.74,0.00
47.13,44.21,0.00
72.84,64.68,1.00
69.86,61.91,0.00
66.88,59.14,0.00
63.90,56.37,0.00
60.92,53.60,0.00
57.94,50.84,0.00
54.96,48.07,0.00
51.98,45.30,0.00
49.00,42.94,-1.00
46.02,41.07,-1.00
43.04,39.16,-1.00
40.06,37.21,-1.00
43.34,39.97,0.00
46.62,42.73,0.00
49.90,45.50,0.00
53.17,48.26,0.00
56.45,51.02,0.00
59.73,53.79,0.00
63.01,56.55,0.00
66.28,59.32,0.00
69.56,62.08,0.00
72.84,64.68,1.00
10.71,12.85,-1.00
8.30,10.19,-1.00
5.89,7.40,-1.00
10.71,18.10,1.00
