# setPoint, prevsetPoint, Current
91.00,1.25,103.78
49.00,103.78,53.09
14.00,53.09,8.81
62.00,8.81,63.53
49.00,63.53,49.43
37.00,49.43,35.28
63.00,35.28,63.83
34.00,63.83,33.82
78.00,33.82,81.30
46.00,81.30,50.25
63.00,50.25,65.84
38.00,65.84,37.52
61.00,37.52,62.02
85.00,62.02,91.32
16.00,91.32,9.89
71.00,9.89,74.91
2.00,74.91,3.13
49.00,3.13,46.00
76.00,46.00,77.90
73.00,77.90,77.43
49.00,77.43,50.86
3.00,50.86,2.16
55.00,2.16,51.64
59.00,51.64,60.75
52.00,60.75,52.49
15.00,52.49,8.15
41.00,8.15,35.53
43.00,35.53,39.40
43.00,39.40,38.57
29.00,38.57,24.79
85.00,24.79,93.07
37.00,93.07,37.83
14.00,37.83,10.07
20.00,10.07,12.57
24.00,12.57,16.06
58.00,16.06,58.66
93.00,58.66,101.28
47.00,101.28,51.59
2.00,51.59,2.74
21.00,2.74,11.08
4.00,11.08,2.30
4.00,2.30,2.22
76.00,2.22,81.97
36.00,81.97,34.94
8.00,34.94,4.29
32.00,4.29,27.16
37.00,27.16,31.57
14.00,31.57,8.02
44.00,8.02,39.01
68.00,39.01,69.99
17.00,69.99,11.88
65.00,11.88,66.29
70.00,66.29,72.83
66.00,72.83,70.84
11.00,70.84,6.87
41.00,6.87,36.22
15.00,36.22,9.08
94.00,9.08,99.98
21.00,99.98,15.16
67.00,15.16,70.13
71.00,70.13,77.64
67.00,77.64,72.71
80.00,72.71,87.17
74.00,87.17,81.97
72.00,81.97,80.86
2.00,80.86,0.93
9.00,0.93,3.77
35.00,3.77,28.72
21.00,28.72,15.02
70.00,15.02,71.84
2.00,71.84,1.57
13.00,1.57,4.90
4.00,4.90,0.33
67.00,0.33,69.12
99.00,69.12,104.91
23.00,104.91,18.32
1.00,18.32,1.77
57.00,1.77,55.68
23.00,55.68,17.99
79.00,17.99,83.13
29.00,83.13,24.81
94.00,24.81,100.45
15.00,100.45,10.39
5.00,10.39,4.45
25.00,4.45,15.74
53.00,15.74,51.01
26.00,51.01,20.83
59.00,20.83,58.76
54.00,58.76,54.56
8.00,54.56,5.90
78.00,5.90,83.97
1.00,83.97,1.57
62.00,1.57,62.89
14.00,62.89,7.50
83.00,7.50,87.56
20.00,87.56,14.33
27.00,14.33,20.06
29.00,20.06,22.10
89.00,22.10,95.84
48.00,95.84,52.48
0.00,52.48,0.37
5.00,0.37,0.78
3.00,0.78,1.34
8.00,1.34,2.37
5.00,2.37,1.38
10.00,1.38,3.40
9.00,3.40,3.65
13.00,3.65,4.66
13.00,4.66,3.58
15.00,3.58,4.96
14.00,4.96,5.97
14.00,5.97,5.42
13.00,5.42,6.39
15.00,6.39,5.93
14.00,5.93,5.72
18.00,5.72,8.69
18.00,8.69,7.04
23.00,7.04,11.63
22.00,11.63,12.35
28.00,12.35,18.52
28.00,18.52,17.61
29.00,17.61,20.45
29.00,20.45,19.19
34.00,19.19,25.60
33.00,25.60,24.37
33.00,24.37,25.20
33.00,25.20,25.74
39.00,25.74,31.34
38.00,31.34,30.73
41.00,30.73,34.32
40.00,34.32,34.84
43.00,34.84,35.99
42.00,35.99,37.72
43.00,37.72,36.42
42.00,36.42,39.47
43.00,39.47,38.18
42.00,38.18,37.39
43.00,37.39,39.34
41.00,39.34,36.14
45.00,36.14,40.68
43.00,40.68,38.57
47.00,38.57,43.72
45.00,43.72,43.75
48.00,43.75,44.87
47.00,44.87,44.92
48.00,44.92,43.24
45.00,43.24,43.19
46.00,43.19,42.21
45.00,42.21,44.20
49.00,44.20,44.67
47.00,44.67,46.13
48.00,46.13,45.22
45.00,45.22,42.99
50.00,42.99,47.36
49.00,47.36,47.15
50.00,47.15,47.01
48.00,47.01,45.78
50.00,45.78,47.94
49.00,47.94,47.61
55.00,47.61,54.28
53.00,54.28,53.35
57.00,53.35,56.01
55.00,56.01,55.95
57.00,55.95,54.65
57.00,54.65,59.17
57.00,59.17,57.59
57.00,57.59,57.30
61.00,57.30,61.94
61.00,61.94,60.90
64.00,60.90,64.82
62.00,64.82,65.69
65.00,65.69,67.74
63.00,67.74,67.86
64.00,67.86,67.38
64.00,67.38,68.07
64.00,68.07,67.51
64.00,67.51,68.51
66.00,68.51,69.67
66.00,69.67,70.96
68.00,70.96,72.46
68.00,72.46,74.48
73.00,74.48,79.29
71.00,79.29,76.60
73.00,76.60,77.82
72.00,77.82,78.88
74.00,78.88,78.66
74.00,78.66,80.91
74.00,80.91,80.81
73.00,80.81,79.16
77.00,79.16,85.43
76.00,85.43,82.70
78.00,82.70,83.44
77.00,83.44,83.83
82.00,83.83,90.87
80.00,90.87,90.33
80.00,90.33,90.14
77.00,90.14,86.42
83.00,86.42,91.96
81.00,91.96,90.92
82.00,90.92,92.04
81.00,92.04,91.73
81.00,91.73,92.21
79.00,92.21,89.85
80.00,89.85,90.99
77.00,90.99,88.51
80.00,88.51,88.95
78.00,88.95,87.43
79.00,87.43,88.62
77.00,88.62,88.34
78.00,88.34,89.96
77.00,89.96,86.80
81.00,86.80,91.34
80.00,91.34,90.04
83.00,90.04,90.87
81.00,90.87,93.26
85.00,93.26,94.56
84.00,94.56,96.46
89.00,96.46,101.66
86.00,101.66,98.61
90.00,98.61,101.69
90.00,101.69,100.63
96.00,100.63,107.71
94.00,107.71,108.30
96.00,108.30,109.09
94.00,109.09,106.89
96.00,106.89,110.63
93.00,110.63,106.80
96.00,106.80,108.11
93.00,108.11,107.36
94.00,107.36,106.89
92.00,106.89,105.70
93.00,105.70,107.47
93.00,107.47,107.46
