# setPoint, prevTorque, Torque
3.41,1.25,-0.78
18.34,-0.78,7.10
2.85,1.25,-0.60
18.34,-0.60,7.97
2.85,1.25,-0.25
18.34,-0.25,7.20
2.85,1.25,1.02
18.34,1.02,6.70
2.85,1.25,0.03
18.34,0.03,8.16
2.85,1.25,-1.37
28.80,-1.37,20.91
2.18,1.25,-0.03
28.80,-0.03,19.46
2.18,1.25,-1.57
28.80,-1.57,18.07
2.18,1.25,0.10
28.80,0.10,19.26
2.18,1.25,0.61
28.80,0.61,19.67
2.18,1.25,-0.21
37.09,-0.21,30.16
1.49,1.25,0.68
37.09,0.68,31.70
1.49,1.25,-0.81
37.09,-0.81,31.67
1.49,1.25,0.20
37.09,0.20,30.45
1.49,1.25,0.87
37.09,0.87,31.67
1.49,1.25,0.05
44.60,0.05,42.29
0.82,1.25,-0.42
44.60,-0.42,41.08
0.82,1.25,-0.20
44.60,-0.20,40.70
0.82,1.25,-1.25
44.60,-1.25,40.00
0.82,1.25,-0.15
44.60,-0.15,41.40
0.82,1.25,-0.18
52.12,-0.18,50.41
0.22,1.25,-0.25
52.12,-0.25,50.23
0.22,1.25,0.56
52.12,0.56,49.97
0.22,1.25,-0.21
52.12,-0.21,50.46
0.22,1.25,-1.20
52.12,-1.20,50.00
0.22,1.25,-0.59
59.96,-0.59,61.83
0.00,1.25,-0.39
59.96,-0.39,60.68
0.00,1.25,-0.84
59.96,-0.84,60.64
0.00,1.25,-0.46
59.96,-0.46,61.04
0.00,1.25,-0.81
59.96,-0.81,60.89
0.00,1.25,0.52
68.15,0.52,71.09
0.00,1.25,-0.09
68.15,-0.09,70.24
0.00,1.25,1.06
68.15,1.06,69.18
0.00,1.25,-0.22
68.15,-0.22,69.89
0.00,1.25,0.15
68.15,0.15,69.82
0.00,1.25,-0.90
76.58,-0.90,81.27
0.00,1.25,0.16
76.58,0.16,79.85
0.00,1.25,-0.25
76.58,-0.25,80.20
0.00,1.25,-0.08
76.58,-0.08,80.93
0.00,1.25,-0.12
76.58,-0.12,80.65
0.00,1.25,0.75
85.17,0.75,89.86
0.00,1.25,-1.34
85.17,-1.34,88.34
0.00,1.25,-1.08
85.17,-1.08,88.15
0.00,1.25,0.42
85.17,0.42,89.99
0.00,1.25,-0.53
85.17,-0.53,89.47
0.00,1.25,-0.34
94.05,-0.34,98.38
0.76,1.25,-0.93
94.05,-0.93,97.50
0.76,1.25,-0.60
94.05,-0.60,98.54
0.76,1.25,1.14
94.05,1.14,98.46
0.76,1.25,0.87
94.05,0.87,98.08
0.76,1.25,1.03
100.00,1.03,104.22
0.00,1.25,0.26
100.00,0.26,104.83
0.00,1.25,-0.16
100.00,-0.16,103.67
0.00,1.25,0.74
100.00,0.74,106.12
0.00,1.25,-1.26
100.00,-1.26,104.89
