# setPoint, prevsetPoint, Current
76.00,1.25,77.18
25.00,77.18,20.11
0.00,20.11,1.25
70.00,1.25,69.26
73.00,69.26,75.71
28.00,75.71,24.68
53.00,24.68,50.92
90.00,50.92,94.96
53.00,94.96,57.41
88.00,57.41,92.85
37.00,92.85,37.02
15.00,37.02,13.01
89.00,13.01,93.82
68.00,93.82,76.25
99.00,76.25,104.67
70.00,104.67,80.38
50.00,80.38,55.20
48.00,55.20,52.10
85.00,52.10,90.51
7.00,90.51,3.46
40.00,3.46,34.08
36.00,34.08,31.01
23.00,31.01,16.56
61.00,16.56,61.33
41.00,61.33,40.52
39.00,40.52,38.52
58.00,38.52,57.01
22.00,57.01,17.25
6.00,17.25,2.04
56.00,2.04,53.53
36.00,53.53,33.50
98.00,33.50,101.89
66.00,101.89,73.41
72.00,73.41,78.79
88.00,78.79,94.68
8.00,94.68,4.32
0.00,4.32,1.25
67.00,1.25,69.20
53.00,69.20,54.79
12.00,54.79,8.13
65.00,8.13,64.79
77.00,64.79,81.31
77.00,81.31,79.72
77.00,79.72,82.01
11.00,82.01,6.76
19.00,6.76,11.60
2.00,11.60,1.25
10.00,1.25,1.81
33.00,1.81,24.57
99.00,24.57,104.06
3.00,104.06,1.25
39.00,1.25,33.15
40.00,33.15,34.37
69.00,34.37,71.64
92.00,71.64,97.53
40.00,97.53,38.94
15.00,38.94,10.04
90.00,10.04,95.55
9.00,95.55,5.23
58.00,5.23,57.41
3.00,57.41,1.93
94.00,1.93,98.05
41.00,98.05,41.13
70.00,41.13,72.70
8.00,72.70,3.51
95.00,3.51,99.62
83.00,99.62,92.73
23.00,92.73,19.70
80.00,19.70,82.87
73.00,82.87,80.79
86.00,80.79,91.28
19.00,91.28,15.71
77.00,15.71,80.61
87.00,80.61,94.00
45.00,94.00,47.56
48.00,47.56,50.35
96.00,50.35,101.59
56.00,101.59,62.64
96.00,62.64,102.00
55.00,102.00,63.63
53.00,63.63,59.98
85.00,59.98,94.30
99.00,94.30,107.79
47.00,107.79,51.86
13.00,51.86,9.22
64.00,9.22,66.56
57.00,66.56,59.39
29.00,59.39,26.51
81.00,26.51,86.91
81.00,86.91,87.97
98.00,87.97,106.39
77.00,106.39,88.69
46.00,88.69,48.93
76.00,48.93,82.91
14.00,82.91,9.42
52.00,9.42,51.98
34.00,51.98,31.97
54.00,31.97,52.97
30.00,52.97,27.55
53.00,27.55,52.78
87.00,52.78,92.18
81.00,92.18,91.37
12.00,91.37,7.02
82.00,7.02,87.22
9.00,87.22,4.41
10.00,4.41,3.85
58.00,3.85,57.70
33.00,57.70,30.56
6.00,30.56,1.90
97.00,1.90,103.79
27.00,103.79,21.77
28.00,21.77,24.31
51.00,24.31,50.63
15.00,50.63,11.36
18.00,11.36,11.75
55.00,11.75,54.72
28.00,54.72,25.35
74.00,25.35,78.17
34.00,78.17,32.72
15.00,32.72,11.00
88.00,11.00,94.86
25.00,94.86,20.28
43.00,20.28,39.65
5.00,39.65,1.25
97.00,1.25,103.29
39.00,103.29,40.23
51.00,40.23,51.31
21.00,51.31,17.42
32.00,17.42,26.51
89.00,26.51,94.55
86.00,94.55,93.65
52.00,93.65,57.30
86.00,57.30,93.26
65.00,93.26,74.43
