# Actual Command, Previous Torque, Measured Torque, Predicted Command,Label
12.4,1.25,3.326,7.027,-1
82.2,3.326,95.456,81.991,-1
34.1,95.456,33.799,33.006,1
10,33.799,6.084,8.35,1
76.2,6.084,87.955,76.148,-1
24.8,87.955,21.655,23.528,1
73.3,21.655,83.688,72.897,-1
82.1,83.688,95.152,81.749,-1
75.7,95.152,89.276,71.019,1
97.7,89.276,113.253,98.118,-1
36.8,113.253,37.525,35.625,1
73.8,37.525,83.995,73.13,-1
90,83.995,103.864,88.994,-1
79.8,103.864,95.669,76.814,1
81.8,95.669,97.297,83.469,-1
63.3,97.297,77.573,61.794,1
36.6,8.242,38.324,40.52,-1
62.4,38.324,70.798,63.22,-1
3.6,70.798,1.468,2.994,1
96.9,1.468,113.25,98.114,-1
79.1,113.25,96.211,77.334,1
80.5,96.211,96.947,83.186,-1
52.8,96.947,62.793,51.828,1
34,62.793,36.273,34.757,1
58.8,36.273,64.952,58.911,-1
49.7,64.952,56.274,47.722,1
35.8,56.274,38.988,36.625,1
31.3,38.988,32.949,32.393,1
80.4,32.949,94.537,81.261,-1
85.6,94.537,98.845,84.732,-1
46.3,98.845,52.422,45.312,1
14.5,52.422,11.103,13.694,1
42.4,11.103,42.519,43.304,-1
87.9,42.519,101.911,87.3,-1
12.6,101.911,7.975,10.419,1
11.7,7.975,7.436,9.837,1
78.1,7.436,90.205,77.878,-1
27.7,90.205,24.023,25.51,1
82.1,24.023,94.687,81.38,-1
96.9,94.687,112.642,97.459,-1
14.3,112.642,9.843,12.397,1
22.2,9.843,15.221,22.618,-1
3.2,15.221,2.497,4.227,1
63.9,2.497,72.577,64.543,-1
90.9,72.577,105.543,90.495,-1
46.2,105.543,50.934,44.378,1
26.2,50.934,23.992,25.485,1
14.2,23.992,9.023,11.537,1
41.3,9.023,40.242,41.793,-1
73.4,40.242,84.691,73.659,-1
78.9,84.691,90.397,78.027,-1
34.4,90.397,34.131,33.244,1
36.9,34.131,37.657,40.076,-1
40.7,37.657,39.686,41.424,-1
15.3,39.686,11.38,13.976,1
3.9,11.38,3.673,5.608,1
99.6,3.673,116.233,101.503,-1
6.7,116.233,3.432,5.327,1
28.6,3.432,20.438,27.5,-1
13.5,20.438,7.719,10.143,1
3.1,7.719,2.913,4.719,1
97.2,2.913,112.439,97.242,-1
30.7,112.439,30.472,30.567,1
93.9,30.472,109.217,93.956,-1
83.1,109.217,100.263,81.383,1
53,100.263,61.858,51.234,1
31.4,61.858,31.108,31.041,1
35,31.108,34.987,38.29,-1
62.3,34.987,70.025,62.646,-1
42.3,70.025,46.76,41.732,1
15.2,46.76,10.904,13.491,1
8.2,10.904,4.081,6.08,1
70.6,4.081,81.295,71.087,-1
49.9,81.295,57.246,48.331,1
1.5,57.246,0.242,1.496,1
77.9,0.242,89.367,77.232,-1
16.4,89.367,11.291,13.885,1
43.1,11.291,40.807,42.168,-1
84.5,40.807,97.153,83.352,-1
29.5,97.153,28.203,28.841,1
54.1,28.203,57.163,53.308,-1
46.1,57.163,50.909,44.362,1
74.7,50.909,85.993,74.649,-1
25.8,85.993,22.272,24.052,1
69.5,22.272,78.46,68.95,-1
36.8,78.46,38.511,36.3,1
30.1,38.511,31.346,31.218,1
74.2,31.346,84.684,73.653,-1
68.4,84.684,80.15,63.696,1
68,80.15,79.349,63.098,1
52.4,79.349,61.696,51.131,1
68.7,61.696,78.169,68.731,-1
98.4,78.169,112.737,97.561,-1
68,112.737,81.899,65.025,1
58,81.899,68.921,55.804,1
91.8,68.921,105.281,90.258,-1
82.4,105.281,97.922,79.009,1
6.9,97.922,1.966,3.593,1
2.6,1.966,0.316,1.587,1
73.4,0.316,83.436,72.706,-1
