# setPoint, prevCurrent, Current
0.000,0.000,0.646
6.800,0.646,0.648
13.600,0.648,0.798
20.400,0.798,1.077
27.200,1.077,1.421
34.000,1.421,1.898
40.800,1.898,2.424
47.600,2.424,2.968
54.400,2.968,3.551
62.100,3.551,4.278
69.900,4.278,5.073
77.700,5.073,5.795
85.400,5.795,6.541
92.200,6.541,7.229
99.400,7.229,8.043
100.000,8.043,8.130
99.400,8.130,8.183
92.200,8.183,7.609
85.400,7.609,7.097
77.700,7.097,6.373
69.900,6.373,5.687
62.100,5.687,4.890
54.400,4.890,4.157
47.600,4.157,3.468
40.800,3.468,2.886
34.000,2.886,2.334
27.200,2.334,1.679
20.400,1.679,1.346
13.600,1.346,0.951
6.800,0.951,0.655
0.000,0.655,0.582
