# TimeStamp (s), BrakeCommand (%), Actual Brake Torque (%), Motor Current (A), Motor Speed (%)
0.00,0.00,48.30,11.16,0.04
0.01,0.00,36.40,10.50,0.23
nan,nan,nan,nan,nan
0.02,0.00,23.40,9.54,0.62
nan,nan,nan,nan,nan
0.04,0.00,12.00,5.40,2.14
nan,nan,nan,nan,nan
0.05,0.00,2.80,2.58,3.71
0.06,0.00,-1.60,6.66,5.39
nan,nan,nan,nan,nan
0.07,0.00,-3.70,0.06,7.11
nan,nan,nan,nan,nan
0.08,0.00,0.60,1.98,7.66
0.09,0.00,1.10,4.56,7.79
0.10,0.00,-1.60,1.92,7.91
nan,nan,nan,nan,nan
0.11,0.00,-1.60,0.78,8.15
nan,nan,nan,nan,nan
0.12,0.00,0.00,1.32,8.61
0.13,0.00,0.00,1.14,8.74
nan,nan,nan,nan,nan
0.14,0.00,1.70,0.12,8.93
0.15,0.00,-3.20,1.14,8.99
nan,nan,nan,nan,nan
0.16,0.00,1.70,1.08,9.08
0.17,0.00,0.00,1.44,9.04
nan,nan,nan,nan,nan
0.18,0.00,-1.60,1.02,9.12
0.19,0.00,-1.00,1.02,9.19
nan,nan,nan,nan,nan
0.20,0.00,0.60,1.08,9.21
nan,nan,nan,nan,nan
0.21,0.00,0.60,0.66,9.27
0.22,0.00,0.00,0.12,9.33
0.23,0.00,-1.00,1.86,9.25
nan,nan,nan,nan,nan
0.24,0.00,2.20,1.14,9.27
nan,nan,nan,nan,nan
0.25,0.00,1.70,1.08,9.31
0.26,0.00,2.20,0.18,9.38
nan,nan,nan,nan,nan
0.27,0.00,0.60,1.14,9.33
0.28,0.00,-1.60,1.26,9.29
nan,nan,nan,nan,nan
0.30,0.00,-1.00,0.24,9.36
nan,nan,nan,nan,nan
0.31,0.00,1.10,1.20,9.38
0.31,0.00,0.00,1.02,9.38
0.32,0.00,1.10,1.68,9.33
nan,nan,nan,nan,nan
0.33,0.00,0.60,0.06,9.40
0.34,0.00,2.20,0.48,9.44
0.35,0.00,1.70,1.08,9.40
nan,nan,nan,nan,nan
0.36,0.00,0.60,0.90,9.46
0.37,0.00,-1.00,1.32,9.42
nan,nan,nan,nan,nan
0.39,0.00,-0.50,2.04,9.38
nan,nan,nan,nan,nan
0.40,0.00,1.70,0.78,9.38
nan,nan,nan,nan,nan
0.41,0.00,0.60,0.24,9.44
0.42,0.00,0.60,1.14,9.48
0.43,0.00,1.10,1.08,9.48
nan,nan,nan,nan,nan
0.43,0.00,0.00,1.74,9.44
0.44,0.00,-0.50,0.30,9.50
nan,nan,nan,nan,nan
0.46,0.00,-1.00,0.24,9.55
0.47,0.00,0.00,1.14,9.55
nan,nan,nan,nan,nan
0.48,0.00,2.20,0.96,9.50
0.49,0.00,1.10,2.04,9.44
nan,nan,nan,nan,nan
0.50,0.00,-2.70,0.18,9.55
nan,nan,nan,nan,nan
0.51,0.00,-0.50,1.20,9.55
0.52,0.00,1.10,1.74,9.50
nan,nan,nan,nan,nan
0.53,0.00,-0.50,0.72,9.55
0.54,0.00,-2.10,0.18,9.65
nan,nan,nan,nan,nan
0.55,0.00,0.60,1.08,9.59
nan,nan,nan,nan,nan
0.56,0.00,1.10,0.96,9.63
0.57,0.00,1.70,1.44,9.63
0.58,0.00,-3.70,1.20,9.63
nan,nan,nan,nan,nan
0.59,0.00,1.70,1.02,9.59
nan,nan,nan,nan,nan
0.60,0.00,-0.50,1.08,9.52
0.61,0.00,0.60,0.12,9.63
nan,nan,nan,nan,nan
0.62,0.00,-0.50,1.08,9.63
nan,nan,nan,nan,nan
0.63,0.00,0.60,1.02,9.61
0.64,0.00,0.00,0.36,9.67
0.65,0.00,2.20,1.14,9.65
nan,nan,nan,nan,nan
0.66,0.00,-2.10,0.96,9.69
0.67,0.00,1.10,1.50,9.59
nan,nan,nan,nan,nan
0.68,0.00,0.00,1.08,9.59
0.69,0.00,0.00,1.20,9.63
0.70,0.00,-1.60,1.14,9.59
nan,nan,nan,nan,nan
0.71,0.00,0.00,0.12,9.74
nan,nan,nan,nan,nan
0.72,0.00,-1.00,1.20,9.67
0.73,0.00,-0.50,1.14,9.67
nan,nan,nan,nan,nan
0.74,0.00,-0.50,1.56,9.61
nan,nan,nan,nan,nan
0.76,0.00,0.00,0.12,9.69
0.77,0.00,0.60,1.20,9.69
nan,nan,nan,nan,nan
0.77,0.00,-1.00,0.66,9.74
0.79,0.00,-1.00,1.14,9.74
nan,nan,nan,nan,nan
0.80,0.00,-2.10,1.32,9.67
nan,nan,nan,nan,nan
0.81,0.00,0.60,1.02,9.67
0.82,0.00,-1.00,1.02,9.65
nan,nan,nan,nan,nan
0.83,0.00,0.00,0.18,9.76
0.84,0.00,-0.50,1.14,9.74
nan,nan,nan,nan,nan
0.85,0.00,-2.10,1.14,9.74
nan,nan,nan,nan,nan
0.86,0.00,-2.70,1.38,9.67
0.87,0.00,-1.60,1.08,9.72
nan,nan,nan,nan,nan
0.88,0.00,1.70,0.48,9.80
