# TimeStamp (s), BrakeCommand (%), Actual Brake Torque (%), Motor Current (A), Motor Speed (%)
0.00,0.00,-3.20,4.32,18.42
0.02,0.00,-2.70,4.44,18.72
0.04,0.00,-3.70,0.78,20.01
0.06,0.00,-5.40,0.00,21.17
0.08,0.00,-2.70,0.84,21.26
0.10,0.00,-2.10,4.74,20.31
0.12,0.00,-1.00,5.88,19.15
0.14,0.00,-2.70,4.98,18.99
0.16,0.00,-2.70,0.60,19.77
0.19,0.00,-3.70,2.22,20.68
0.21,0.00,-6.50,0.54,20.86
0.23,0.00,-3.20,3.24,20.19
0.25,0.00,-5.40,4.92,19.51
0.27,0.00,-6.50,3.18,19.43
0.29,0.00,-2.70,0.84,19.89
0.31,0.00,-3.70,0.12,20.35
0.33,0.00,-5.40,0.96,20.43
0.35,0.00,-4.30,2.22,20.15
0.37,0.00,-2.70,3.72,19.84
0.39,0.00,-2.10,2.88,19.71
0.41,0.00,-4.30,1.86,19.93
0.43,0.00,-2.70,0.90,20.15
0.45,0.00,-5.90,0.90,20.21
0.47,0.00,-2.10,2.52,20.07
0.49,0.00,-3.20,2.82,19.90
0.51,0.00,-6.50,1.86,19.92
0.53,0.00,-4.80,1.86,20.00
0.55,0.00,-4.30,1.80,20.03
0.57,0.00,-4.30,1.98,19.99
0.59,0.00,-5.90,2.76,19.91
0.61,0.00,-2.10,1.86,19.93
0.63,0.00,-4.80,1.86,20.04
0.65,0.00,-3.20,1.80,20.07
0.67,0.00,-3.70,1.98,20.03
0.70,0.00,-2.70,1.98,19.96
0.72,0.00,-2.70,1.92,19.96
0.74,0.00,-4.30,1.80,20.01
0.76,0.00,-2.70,1.74,20.04
0.78,0.00,-4.30,1.80,20.04
0.80,0.00,-4.80,2.40,19.99
0.82,0.00,-3.20,2.82,19.91
0.84,0.00,-4.80,1.80,19.95
0.86,0.00,-4.80,1.44,20.08
0.88,0.00,-2.70,1.80,20.10
nan,nan,nan,nan,nan
0.90,0.00,-4.80,1.80,20.05
0.92,0.00,-2.10,2.28,19.95
0.94,0.00,-2.70,2.82,19.87
0.96,0.00,-4.80,1.86,19.91
0.98,0.00,-3.20,1.38,20.01
1.00,0.00,-3.70,1.80,20.05
1.03,0.00,-3.70,2.40,20.00
1.05,0.00,-2.10,2.22,19.92
1.07,0.00,-3.70,1.80,19.97
1.09,0.00,-4.80,1.32,20.07
1.11,0.00,-2.10,1.86,20.09
1.13,0.00,-3.20,2.58,20.03
1.15,0.00,-4.30,1.86,19.96
1.17,0.00,-1.60,1.86,19.96
1.19,0.00,-5.40,1.92,19.99
1.21,0.00,-4.30,1.80,20.01
1.23,0.00,-4.80,1.44,20.06
1.25,0.00,-5.40,1.92,20.05
1.27,0.00,-2.70,2.70,19.97
1.29,0.00,-5.90,2.64,19.92
1.31,0.00,-4.30,1.80,19.93
1.33,0.00,-4.30,1.92,20.04
1.35,0.00,-3.70,1.80,20.07
1.38,0.00,-1.60,2.28,20.00
1.40,0.00,-5.90,1.80,19.95
1.42,0.00,-3.70,1.86,19.94
1.44,0.00,-4.30,1.86,19.96
1.46,0.00,-1.00,1.86,20.01
1.48,0.00,-4.30,1.74,20.03
1.50,0.00,-3.70,1.44,20.07
1.52,0.00,-3.70,1.98,20.08
1.54,0.00,-3.20,2.52,19.99
1.56,0.00,-3.70,1.86,19.94
1.58,0.00,-5.40,2.22,19.93
1.60,0.00,-2.10,2.04,19.95
nan,nan,nan,nan,nan
1.62,0.00,-2.70,1.80,20.00
1.64,0.00,-4.30,1.74,20.03
1.66,0.00,-5.90,1.80,20.07
1.68,0.00,-1.00,1.86,20.07
1.70,0.00,-4.80,2.28,19.98
1.73,0.00,-5.90,2.16,19.93
1.75,0.00,-3.70,1.92,19.93
1.77,0.00,-3.70,1.86,19.96
1.79,0.00,-2.10,1.80,20.02
1.81,0.00,-3.70,1.80,20.05
1.83,0.00,-5.40,1.86,20.06
1.85,0.00,-1.60,2.70,19.98
1.87,0.00,-3.70,2.76,19.91
1.89,0.00,-3.70,1.92,19.96
1.91,0.00,-3.70,1.74,20.06
1.93,0.00,-4.30,1.74,20.08
1.95,0.00,-3.20,1.98,20.03
1.97,0.00,-4.30,1.86,19.95
1.99,0.00,-3.20,1.86,19.96
2.01,6.80,-4.30,1.92,19.99
2.03,6.80,9.80,1.92,20.02
