# TimeStamp (s), BrakeCommand (%), Actual Brake Torque (%), Motor Current (A), Motor Speed (%)
0.00,0.00,0.00,4.80,3.10
0.01,0.00,-2.10,3.48,3.20
0.02,0.00,0.00,0.12,3.35
0.02,0.00,0.60,0.00,3.65
0.03,0.00,1.70,0.00,3.92
0.04,0.00,1.70,0.06,4.14
0.05,0.00,2.80,0.66,4.09
0.05,0.00,0.00,0.06,4.18
0.06,0.00,-0.50,0.00,4.24
nan,nan,nan,nan,nan
0.07,0.00,3.30,1.08,4.24
0.07,0.00,1.10,0.96,4.22
0.08,0.00,1.10,1.20,4.18
0.09,0.00,-1.60,1.02,4.16
0.10,0.00,0.60,0.00,4.24
0.10,0.00,2.20,0.96,4.22
0.11,0.00,1.10,1.02,4.18
0.12,0.00,0.60,0.18,4.26
0.13,0.00,0.00,0.30,4.22
0.13,0.00,2.20,0.06,4.29
nan,nan,nan,nan,nan
0.14,0.00,-0.50,1.02,4.24
0.15,0.00,2.80,0.90,4.24
0.16,0.00,0.60,0.00,4.31
0.16,0.00,-2.70,0.96,4.29
0.17,0.00,0.00,0.00,4.37
0.18,0.00,-1.00,1.02,4.35
nan,nan,nan,nan,nan
0.19,0.00,2.20,1.02,4.31
0.19,0.00,-1.00,1.02,4.31
0.20,0.00,0.60,0.06,4.37
0.21,0.00,-0.50,1.08,4.33
0.22,0.00,-1.00,1.08,4.33
0.23,0.00,1.10,1.62,4.29
nan,nan,nan,nan,nan
0.23,0.00,0.00,0.90,4.35
0.24,0.00,-23.90,0.00,4.41
0.25,0.00,0.00,1.02,4.41
0.26,0.00,-1.00,0.00,4.48
0.26,0.00,-0.50,1.02,4.45
0.27,0.00,1.70,1.14,4.41
nan,nan,nan,nan,nan
0.28,0.00,-0.50,0.96,4.41
0.29,0.00,-3.70,0.00,4.48
0.30,0.00,-0.50,0.96,4.45
0.31,0.00,0.60,1.08,4.41
nan,nan,nan,nan,nan
0.31,0.00,2.20,0.00,4.48
0.32,0.00,1.10,0.60,4.48
0.33,0.00,1.10,0.00,4.54
0.33,0.00,2.80,0.96,4.50
0.34,0.00,0.60,1.68,4.45
0.35,0.00,1.70,0.00,4.52
0.36,0.00,2.80,1.08,4.48
0.36,0.00,3.30,1.38,4.43
0.37,0.00,0.60,0.06,4.52
0.38,0.00,1.70,0.00,4.58
0.39,0.00,0.60,0.00,4.62
0.39,0.00,-0.50,0.96,4.58
nan,nan,nan,nan,nan
0.40,0.00,-0.50,0.06,4.65
0.41,0.00,-1.60,1.08,4.62
0.42,0.00,-0.50,0.90,4.58
0.43,0.00,1.10,1.02,4.56
0.43,0.00,0.00,0.06,4.62
nan,nan,nan,nan,nan
0.44,0.00,-0.50,1.02,4.58
0.45,0.00,-0.50,1.02,4.56
0.46,0.00,-1.00,0.06,4.60
0.46,0.00,-1.00,1.44,4.60
0.47,0.00,1.10,1.14,4.56
nan,nan,nan,nan,nan
0.48,0.00,1.70,1.44,4.52
0.49,0.00,1.10,0.06,4.60
0.50,0.00,1.70,0.18,4.65
0.50,0.00,0.00,0.78,4.60
0.51,0.00,2.20,0.06,4.67
0.52,0.00,-1.60,0.96,4.62
0.52,0.00,1.70,0.06,4.69
0.53,0.00,1.70,0.90,4.65
0.54,0.00,0.00,1.92,4.60
