# setPoint, prevTorque, Torque
80.700,1.250,87.536
98.800,87.536,104.705
6.700,104.705,2.288
64.100,2.288,64.707
51.800,64.707,54.161
7.200,54.161,1.977
3.800,1.977,1.006
80.400,1.006,84.985
44.000,84.985,45.928
73.800,45.928,77.780
0.000,77.780,-0.120
8.000,-0.120,0.866
3.200,0.866,0.147
9.200,0.147,1.988
5.900,1.988,0.535
9.100,0.535,1.583
7.500,1.583,1.141
14.500,1.141,5.024
12.000,5.024,3.519
23.600,3.519,14.182
100.000,14.182,107.211
88.000,107.211,99.586
92.000,99.586,103.712
84.800,103.712,97.148
90.000,97.148,100.500
79.000,100.500,91.264
81.700,91.264,93.760
76.900,93.760,89.843
82.200,89.843,93.032
74.200,93.032,87.833
