# setPoint, prevCurrent, Current
29.600,0.000,1.862
24.700,1.862,1.666
45.100,1.666,3.209
19.900,3.209,1.305
58.700,1.305,4.196
62.700,4.196,4.632
3.200,4.632,0.814
82.000,0.814,6.445
94.700,6.445,7.760
17.400,7.760,1.469
52.100,1.469,3.752
18.600,3.752,1.546
53.200,1.546,3.879
44.200,3.879,3.281
34.200,3.281,2.577
38.700,2.577,2.759
20.100,2.759,1.657
17.900,1.657,1.597
67.700,1.597,5.139
86.400,5.139,6.882
48.900,6.882,3.833
26.800,3.833,2.004
36.100,2.004,2.612
57.800,2.612,4.222
65.100,4.222,4.932
17.200,4.932,1.472
90.300,1.472,7.338
19.000,7.338,1.566
33.200,1.566,2.252
39.900,2.252,2.798
55.000,2.798,4.090
95.700,4.090,7.973
65.300,7.973,5.475
65.600,5.475,5.437
94.700,5.437,7.984
52.000,7.984,4.224
26.000,4.224,2.071
21.300,2.071,1.742
93.400,1.742,7.762
4.900,7.762,0.871
29.300,0.871,1.832
32.600,1.832,2.070
51.400,2.070,3.756
94.700,3.756,7.904
6.900,7.904,0.941
78.600,0.941,6.195
68.900,6.195,5.723
85.300,5.723,6.866
3.300,6.866,0.815
29.200,0.815,1.827
21.500,1.827,1.598
33.100,1.598,2.082
79.500,2.082,6.256
52.100,6.256,4.198
45.800,4.198,3.643
9.700,3.643,1.004
92.300,1.004,7.638
1.600,7.638,0.756
41.700,0.756,2.865
0.600,2.865,0.760
75.900,0.760,5.934
72.400,5.934,5.830
89.000,5.830,7.171
24.000,7.171,1.788
99.200,1.788,8.286
99.200,8.286,8.453
68.900,8.453,5.859
24.600,5.859,1.864
3.500,1.864,0.765
8.000,0.765,0.827
84.000,0.827,6.856
72.900,6.856,6.033
38.500,6.033,2.889
84.700,2.889,6.930
7.800,6.930,0.946
4.600,0.946,0.803
95.600,0.803,7.839
72.500,7.839,6.069
9.700,6.069,1.014
90.700,1.014,7.456
7.700,7.456,0.878
73.900,0.878,5.900
3.500,5.900,0.753
4.800,0.753,0.805
61.000,0.805,4.620
72.900,4.620,5.736
35.800,5.736,2.695
12.100,2.695,1.066
68.300,1.066,5.244
29.600,5.244,2.323
73.400,2.323,5.777
97.700,5.777,8.238
35.900,8.238,2.672
63.100,2.672,5.008
70.400,5.008,5.513
46.500,5.513,3.800
9.800,3.800,1.053
14.600,1.053,1.177
4.800,1.177,0.785
20.400,0.785,1.415
47.600,1.415,3.468
39.100,3.468,2.906
66.200,2.906,5.127
91.300,5.127,7.763
26.400,7.763,1.957
45.900,1.957,3.384
12.700,3.384,1.234
15.500,1.234,1.247
77.800,1.247,6.258
78.800,6.258,6.548
90.000,6.548,7.500
