# Actual Command, Previous Torque, Measured Torque, Predicted Command
63.200,0.000,4.903,56.346
15.400,4.903,1.083,10.700
17.200,1.083,1.111,11.244
42.800,1.111,2.795,35.408
57.900,2.795,4.026,47.921
46.300,4.026,3.272,40.471
82.200,3.272,6.386,70.809
71.700,6.386,5.597,63.073
29.900,5.597,2.028,26.059
26.400,2.028,1.785,22.618
78.500,1.785,6.061,67.617
1.400,6.061,0.654,1.472
47.200,0.654,2.962,37.227
58.600,2.962,3.978,47.457
25.400,3.978,1.698,21.312
37.600,1.698,2.360,30.345
70.300,2.360,5.298,60.163
45.400,5.298,3.345,41.214
43.900,3.345,3.184,39.565
51.400,3.184,3.670,44.456
34.900,3.670,2.470,31.677
99.700,2.470,8.042,86.662
37.600,8.042,2.619,33.423
15.000,2.619,1.098,10.992
88.100,1.098,7.084,77.625
44.300,7.084,3.196,39.689
50.400,3.196,3.581,43.578
25.400,3.581,1.769,22.381
93.300,1.769,7.556,82.143
62.800,7.556,4.935,56.654
53.100,4.935,4.121,48.837
79.200,4.121,6.262,69.591
61.800,6.262,4.928,56.587
16.700,4.928,1.259,14.014
54.900,1.259,3.814,45.866
34.800,3.814,2.398,30.810
93.700,2.398,7.675,83.263
13.200,7.675,1.009,9.230
9.400,1.009,0.816,5.165
80.100,0.816,6.313,70.092
70.700,6.313,5.649,63.581
17.300,5.649,1.268,14.177
16.100,1.268,1.134,11.686
67.600,1.134,5.034,57.609
15.100,5.034,1.301,14.769
9.300,1.301,0.813,5.099
16.200,0.813,1.018,9.411
65.400,1.018,4.817,55.518
99.500,4.817,8.264,88.671
77.300,8.264,6.520,72.124
68.000,6.520,5.614,63.239
81.400,5.614,6.546,72.379
20.300,6.546,1.520,18.504
39.100,1.520,2.544,32.552
2.200,2.544,0.666,1.755
66.800,0.666,4.999,57.271
24.800,4.999,1.637,20.371
30.200,1.637,1.819,23.117
77.900,1.819,5.982,66.842
22.700,5.982,1.490,18.012
26.000,1.490,1.634,20.324
71.500,1.634,5.642,63.512
17.500,5.642,1.415,16.754
92.800,1.415,7.640,82.935
8.500,7.640,0.819,5.231
74.300,0.819,5.654,63.630
80.500,5.654,6.340,70.357
20.800,6.340,1.499,18.160
10.200,1.499,0.827,5.406
93.700,0.827,7.665,83.170
27.200,7.665,1.799,22.824
20.300,1.799,1.467,17.630
1.900,1.467,0.643,1.212
61.400,0.643,4.418,51.689
41.000,4.418,2.806,35.530
95.200,2.806,7.802,84.450
72.500,7.802,5.943,66.459
33.800,5.943,2.347,30.185
73.400,2.347,5.673,63.815
31.300,5.673,2.180,28.075
49.600,2.180,3.508,42.852
96.100,3.508,7.914,85.487
7.400,7.914,0.767,4.077
23.900,0.767,1.385,16.241
53.300,1.385,3.669,44.446
0.200,3.669,0.602,0.228
99.900,0.602,8.051,86.744
97.700,8.051,8.140,87.554
61.000,8.140,4.913,56.442
67.000,4.913,5.209,59.300
99.500,5.209,8.293,88.931
58.700,8.293,4.760,54.971
38.200,4.760,2.730,34.684
52.400,2.730,3.807,45.797
7.300,3.807,0.683,2.153
38.700,0.683,2.394,30.761
42.700,2.394,2.700,34.346
50.700,2.700,3.463,42.403
94.600,3.463,7.892,85.284
42.400,7.892,3.176,39.482
46.800,3.176,3.295,40.706
41.100,3.295,3.027,37.921
35.700,3.027,2.465,31.618
92.100,2.465,7.597,82.530
6.500,7.597,0.751,3.716
37.200,0.751,2.320,29.851
26.600,2.320,1.682,21.067
34.900,1.682,2.145,27.619
51.000,2.145,3.497,42.743
7.200,3.497,0.721,3.032
79.600,0.721,6.131,68.304
70.300,6.131,5.719,64.265
27.000,5.719,1.900,24.282
58.500,1.900,4.351,51.047
60.100,4.351,4.483,52.313
76.900,4.483,5.930,66.332
12.100,5.930,0.971,8.457
69.400,0.971,5.188,59.097
87.500,5.188,6.953,76.355
64.800,6.953,5.254,59.736
22.200,5.254,1.575,19.392
65.100,1.575,4.961,56.905
1.500,4.961,0.665,1.732
65.500,0.665,4.837,55.711
7.200,4.837,0.785,4.479
36.400,0.785,2.237,28.807
13.900,2.237,0.961,8.251
81.200,0.961,6.618,73.085
71.900,6.618,5.858,65.626
49.400,5.858,3.816,45.885
33.300,3.816,2.418,31.053
60.900,2.418,4.522,52.687
12.200,4.522,1.122,11.456
24.700,1.122,1.521,18.520
83.900,1.521,6.791,74.777
30.700,6.791,2.134,27.475
8.900,2.134,0.869,6.316
18.400,0.869,1.238,13.631
39.000,1.238,2.543,32.541
50.600,2.543,3.452,42.293
96.500,3.452,7.959,85.902
91.800,7.959,7.790,84.338
98.700,7.790,8.271,88.734
2.700,8.271,0.665,1.732
56.600,0.665,3.952,47.206
61.600,3.952,4.478,52.265
21.700,4.478,1.498,18.143
97.300,1.498,8.023,86.489
84.700,8.023,7.223,78.966
80.000,7.223,6.827,75.128
27.400,6.827,1.971,25.277
50.700,1.971,3.580,43.568
87.000,3.580,7.175,78.504
22.500,7.175,1.535,18.748
28.600,1.535,1.781,22.559
35.200,1.781,2.246,28.921
50.100,2.246,3.505,42.823
38.700,3.505,2.775,35.187
66.400,2.775,4.983,57.117
8.000,4.983,0.798,4.768
55.700,0.798,3.899,46.692
35.500,3.899,2.489,31.904
26.400,2.489,1.800,22.839
14.600,1.800,1.194,12.818
12.700,1.194,1.011,9.271
17.600,1.011,1.131,11.628
4.800,1.131,0.690,2.316
25.200,0.690,1.492,18.045
25.700,1.492,1.484,17.912
13.500,1.484,0.972,8.477
32.500,0.972,1.884,24.055
2.200,1.884,0.653,1.449
21.400,0.653,1.265,14.122
42.800,1.265,2.837,35.871
8.100,2.837,0.767,4.077
88.600,0.767,7.355,80.232
75.000,7.355,6.236,69.336
33.300,6.236,2.421,31.089
71.000,2.421,5.443,61.572
54.000,5.443,4.336,50.903
3.300,4.336,0.673,1.920
29.900,0.673,1.762,22.277
34.700,1.762,2.118,27.264
25.200,2.118,1.622,20.136
78.200,1.622,6.276,69.729
65.100,6.276,5.220,59.407
93.300,5.220,7.749,83.956
55.200,7.749,4.425,51.756
37.700,4.425,2.761,35.031
89.700,2.761,7.498,81.593
87.100,7.498,7.302,79.724
36.900,7.302,2.646,33.733
21.700,2.646,1.550,18.991
99.200,1.550,8.639,91.975
61.500,8.639,5.031,57.580
40.100,5.031,3.094,38.627
11.300,3.094,0.985,8.743
24.400,0.985,1.510,18.341
71.300,1.510,5.592,63.024
72.200,5.592,5.585,62.956
64.600,5.585,5.164,58.865
42.400,5.164,3.151,39.223
80.700,3.151,6.645,73.349
87.300,6.645,7.270,79.417
19.200,7.270,1.471,17.697
33.900,1.471,2.190,28.204
37.800,2.190,2.399,30.822
17.300,2.399,1.327,15.230
