# setPoint, prevCurrent, Current
100.000,0.000,8.331
100.000,8.331,8.261
100.000,8.261,8.215
100.000,8.215,8.351
100.000,8.351,8.287
100.000,8.287,8.244
100.000,8.244,8.355
100.000,8.355,8.451
100.000,8.451,8.315
100.000,8.315,8.473
100.000,8.473,8.414
100.000,8.414,8.394
100.000,8.394,8.391
100.000,8.391,8.380
100.000,8.380,8.378
100.000,8.378,8.387
100.000,8.387,8.421
100.000,8.421,8.397
100.000,8.397,8.358
100.000,8.358,8.364
100.000,8.364,8.432
100.000,8.432,8.478
100.000,8.478,8.352
100.000,8.352,8.416
100.000,8.416,8.509
100.000,8.509,8.399
100.000,8.399,8.401
100.000,8.401,8.466
100.000,8.466,8.422
100.000,8.422,8.360
100.000,8.360,8.369
100.000,8.369,8.432
100.000,8.432,8.496
100.000,8.496,8.421
100.000,8.421,8.490
100.000,8.490,8.473
100.000,8.473,8.387
100.000,8.387,8.358
100.000,8.358,8.499
100.000,8.499,8.390
100.000,8.390,8.410
100.000,8.410,8.486
100.000,8.486,8.471
100.000,8.471,8.446
100.000,8.446,8.629
100.000,8.629,nan
100.000,nan,nan
100.000,nan,nan
100.000,nan,nan
100.000,nan,nan
