# Actual Command, Previous Torque, Measured Torque, Predicted Command
86.000,0.000,6.710,10.928
85.700,6.710,6.615,10.799
93.300,6.615,7.420,11.884
92.700,7.420,7.604,12.127
6.000,7.604,0.666,1.657
4.100,0.666,0.664,1.654
87.500,0.664,7.102,11.459
2.000,7.102,0.586,1.519
71.700,0.586,5.456,9.177
4.000,5.456,0.625,1.587
9.600,0.625,0.766,1.829
62.000,0.766,4.540,7.845
72.000,4.540,5.533,9.287
48.600,5.533,3.597,6.423
41.900,3.597,2.955,5.425
75.100,2.955,5.678,9.493
94.500,5.678,7.828,12.421
54.900,7.828,4.325,7.525
95.500,4.325,8.084,12.755
0.100,8.084,0.623,1.583
50.800,0.623,3.372,6.076
42.700,3.372,2.787,5.160
98.100,2.787,8.080,12.750
24.000,8.080,1.535,3.128
93.300,1.535,7.835,12.431
94.600,7.835,7.847,12.446
7.900,7.847,0.740,1.784
0.400,0.740,0.667,1.659
33.400,0.667,1.854,3.655
22.000,1.854,1.318,2.765
24.200,1.318,1.412,2.923
51.900,1.412,3.595,6.420
62.500,3.595,4.537,7.840
46.500,4.537,3.235,5.863
16.200,3.235,1.153,2.487
15.900,1.153,1.107,2.410
21.600,1.107,1.192,2.553
70.900,1.192,5.508,9.252
7.900,5.508,0.761,1.821
29.000,0.761,1.555,3.161
18.600,1.555,1.133,2.454
24.000,1.133,1.381,2.871
63.200,1.381,4.734,8.131
31.800,4.734,2.128,4.103
33.800,2.128,2.204,4.226
44.600,2.204,2.912,5.358
18.900,2.912,1.297,2.730
52.800,1.297,3.615,6.451
73.600,3.615,5.755,9.602
85.700,5.755,7.060,11.402
6.500,7.060,0.719,1.748
58.200,0.719,4.141,7.250
10.400,4.141,0.768,1.833
39.600,0.768,2.379,4.509
7.000,2.379,0.729,1.766
33.800,0.729,2.006,3.904
83.300,2.006,6.698,10.912
22.800,6.698,1.382,2.872
54.000,1.382,3.630,6.474
27.400,3.630,1.755,3.492
51.800,1.755,3.457,6.208
4.500,3.457,0.676,1.675
85.000,0.676,7.028,11.359
41.900,7.028,3.019,5.526
60.500,3.019,4.437,7.692
14.600,4.437,1.035,2.288
45.200,1.035,2.958,5.430
45.200,2.958,3.000,5.496
51.800,3.000,3.560,6.366
54.500,3.560,3.856,6.819
97.700,3.856,8.196,12.900
10.400,8.196,0.801,1.889
52.000,0.801,3.493,6.263
72.900,3.493,5.682,9.499
38.200,5.682,2.671,4.976
70.500,2.671,5.419,9.124
33.100,5.419,2.191,4.205
91.000,2.191,7.551,12.057
11.000,7.551,0.860,1.990
67.000,0.860,5.054,8.598
61.100,5.054,4.646,8.001
25.100,4.646,1.680,3.368
74.700,1.680,5.756,9.604
16.500,5.756,1.096,2.391
53.100,1.096,3.645,6.497
20.000,3.645,1.291,2.720
33.800,1.291,2.123,4.094
49.500,2.123,3.361,6.059
52.300,3.361,3.614,6.449
1.800,3.614,0.614,1.568
55.200,0.614,3.792,6.721
55.000,3.792,3.915,6.908
44.800,3.915,3.163,5.751
56.500,3.163,4.063,7.132
67.500,4.063,5.156,8.746
99.900,5.156,8.403,13.166
33.000,8.403,2.123,4.094
38.600,2.123,2.515,4.727
24.800,2.515,1.677,3.363
96.700,1.677,8.211,12.919
