# setPoint, prevTorque, Torque
98.600,1.250,113.673
98.200,113.673,114.674
94.100,114.674,110.887
42.500,110.887,48.175
57.800,48.175,66.947
74.000,66.947,85.717
77.100,85.717,89.741
63.400,89.741,76.580
94.900,76.580,110.471
98.600,110.471,113.224
23.800,113.224,22.572
20.900,22.572,19.673
64.800,19.673,74.845
27.200,74.845,25.421
40.200,0.866,39.928
9.200,39.928,6.397
54.200,6.397,59.742
63.400,59.742,71.919
93.200,71.919,108.842
72.600,108.842,88.911
29.300,88.911,28.924
48.000,28.924,51.614
18.100,51.614,17.960
8.800,17.960,5.259
31.100,5.259,27.415
89.000,27.415,104.018
15.400,104.018,13.041
28.000,13.041,23.900
24.300,23.900,20.623
89.700,20.623,104.182
17.600,104.182,15.285
12.400,15.285,8.598
72.600,0.792,85.468
46.700,85.468,54.240
0.700,54.240,2.388
6.600,2.388,2.976
62.800,2.976,71.466
15.500,71.466,13.915
46.500,13.915,49.407
37.200,49.407,40.952
70.000,40.952,81.010
32.800,81.010,35.463
12.600,35.463,9.706
21.800,9.706,18.018
23.500,18.018,20.167
72.500,20.167,85.073
10.200,85.073,7.828
13.400,7.828,9.463
9.000,9.463,6.727
94.100,6.727,109.340
43.700,109.340,50.128
28.200,50.128,28.882
83.800,0.861,97.325
14.600,97.325,12.435
7.800,12.435,7.531
1.900,7.531,4.658
91.600,4.658,106.324
94.500,106.324,110.379
35.900,110.379,37.448
14.200,37.448,14.191
91.000,14.191,105.992
47.100,105.992,54.431
95.100,54.431,110.960
80.300,110.960,97.205
82.600,97.205,98.938
17.200,0.789,11.624
19.600,11.624,13.724
23.900,13.724,18.687
95.700,18.687,112.222
94.700,112.222,111.082
0.400,111.082,1.957
26.200,1.957,20.103
69.200,20.103,79.868
69.400,79.868,80.620
82.800,80.620,96.268
60.700,96.268,73.318
75.100,73.318,87.489
3.300,87.489,2.881
10.100,2.881,2.905
76.500,0.859,89.960
82.000,89.960,95.513
18.500,95.513,16.285
0.200,16.285,2.027
31.900,2.027,25.872
44.000,25.872,43.540
87.600,43.540,101.384
24.300,101.384,21.316
98.100,21.316,112.591
12.700,112.591,8.849
91.300,8.849,106.425
84.400,106.425,100.837
77.300,100.837,94.657
6.100,0.794,3.067
90.500,3.067,104.686
10.500,104.686,7.411
13.000,7.411,8.659
21.200,8.659,17.070
72.900,17.070,85.219
29.400,85.219,29.583
13.400,29.583,10.978
0.000,10.978,2.298
1.200,2.298,1.982
0.000,1.982,0.607
5.400,0.607,3.254
4.600,3.254,2.618
8.400,2.618,2.669
4.600,2.669,2.247
11.600,2.247,5.736
10.400,5.736,5.395
16.200,5.395,9.873
16.000,9.873,8.756
19.400,8.756,14.014
19.300,14.014,12.926
19.900,12.926,13.387
19.700,13.387,12.905
21.900,12.905,14.595
20.300,14.595,13.121
27.900,13.121,21.412
26.400,21.412,21.411
26.400,21.411,20.160
26.300,0.794,19.989
27.500,19.989,22.850
26.800,22.850,21.982
31.000,21.982,25.146
28.800,25.146,24.144
30.600,24.144,24.729
30.300,24.729,24.583
32.100,24.583,27.722
29.600,27.722,24.814
31.800,24.814,26.808
29.100,26.808,25.319
31.900,25.319,26.261
30.200,26.261,25.549
38.200,25.549,36.345
36.000,36.345,34.125
37.600,34.125,35.047
37.000,35.047,37.279
44.000,37.279,42.271
41.400,42.271,41.178
