# setPoint, prevCurrent, Current
0.000,0.000,5.001
25.000,5.001,5.047
50.000,5.047,4.994
75.000,4.994,4.944
100.000,4.944,4.956
75.000,4.956,5.001
50.000,5.001,5.042
25.000,5.042,5.056
0.000,5.056,4.962
0.000,4.962,5.010
25.000,5.010,5.053
50.000,5.053,4.967
75.000,4.967,4.946
100.000,4.946,4.981
75.000,4.981,4.988
50.000,4.988,5.062
25.000,5.062,5.060
0.000,5.060,4.983
0.000,4.983,5.001
25.000,5.001,5.047
50.000,5.047,4.961
75.000,4.961,4.963
100.000,4.963,4.938
75.000,4.938,5.012
50.000,5.012,5.060
25.000,5.060,5.046
0.000,5.046,4.976
0.000,4.976,5.007
25.000,5.007,5.077
50.000,5.077,4.971
75.000,4.971,4.947
100.000,4.947,4.949
75.000,4.949,4.996
50.000,4.996,5.073
25.000,5.073,5.033
0.000,5.033,4.974
0.000,4.974,5.007
25.000,5.007,5.062
50.000,5.062,4.951
75.000,4.951,4.990
100.000,4.990,4.951
75.000,4.951,4.992
50.000,4.992,5.079
25.000,5.079,5.058
0.000,5.058,4.958
0.000,4.958,5.012
25.000,5.012,5.058
50.000,5.058,4.956
75.000,4.956,4.939
100.000,4.939,4.960
75.000,4.960,4.992
50.000,4.992,5.060
25.000,5.060,5.062
0.000,5.062,4.984
0.000,4.984,5.003
25.000,5.003,5.057
50.000,5.057,4.952
75.000,4.952,4.946
100.000,4.946,4.975
75.000,4.975,4.975
50.000,4.975,5.052
25.000,5.052,5.045
0.000,5.045,4.992
0.000,4.992,4.999
25.000,4.999,5.039
50.000,5.039,4.982
75.000,4.982,4.930
100.000,4.930,4.971
75.000,4.971,4.990
50.000,4.990,5.049
25.000,5.049,5.059
0.000,5.059,4.982
0.000,4.982,5.002
25.000,5.002,5.055
50.000,5.055,4.953
75.000,4.953,4.926
100.000,4.926,4.965
75.000,4.965,4.992
50.000,4.992,5.051
25.000,5.051,5.048
0.000,5.048,4.990
0.000,4.990,5.004
25.000,5.004,5.028
50.000,5.028,4.987
75.000,4.987,4.953
100.000,4.953,4.935
75.000,4.935,4.969
50.000,4.969,5.058
25.000,5.058,5.065
0.000,5.065,4.998
0.000,4.998,4.984
25.000,4.984,5.048
50.000,5.048,4.954
75.000,4.954,4.932
100.000,4.932,4.954
75.000,4.954,4.986
50.000,4.986,5.074
25.000,5.074,5.054
0.000,5.054,4.969
0.000,4.969,5.009
25.000,5.009,5.063
50.000,5.063,4.964
75.000,4.964,4.951
100.000,4.951,4.938
75.000,4.938,4.974
50.000,4.974,5.076
25.000,5.076,5.059
0.000,5.059,4.985
0.000,4.985,5.012
25.000,5.012,5.058
50.000,5.058,4.978
75.000,4.978,4.944
100.000,4.944,4.931
75.000,4.931,4.980
50.000,4.980,5.059
25.000,5.059,5.081
0.000,5.081,4.986
0.000,4.986,4.990
25.000,4.990,5.055
50.000,5.055,4.952
75.000,4.952,4.920
100.000,4.920,4.916
75.000,4.916,5.008
50.000,5.008,5.045
25.000,5.045,5.057
0.000,5.057,4.984
0.000,4.984,4.998
25.000,4.998,5.061
50.000,5.061,4.961
75.000,4.961,4.924
100.000,4.924,4.931
75.000,4.931,5.024
50.000,5.024,5.062
25.000,5.062,5.086
0.000,5.086,4.983
0.000,4.983,4.995
25.000,4.995,5.061
50.000,5.061,4.968
75.000,4.968,4.943
100.000,4.943,4.900
75.000,4.900,5.008
50.000,5.008,5.078
25.000,5.078,5.052
0.000,5.052,4.982
0.000,4.982,4.992
25.000,4.992,5.051
50.000,5.051,4.950
75.000,4.950,4.922
100.000,4.922,4.928
75.000,4.928,4.997
50.000,4.997,5.093
25.000,5.093,5.088
0.000,5.088,4.987
0.000,4.987,4.999
25.000,4.999,5.063
50.000,5.063,4.952
75.000,4.952,4.951
100.000,4.951,4.913
75.000,4.913,4.988
50.000,4.988,5.109
25.000,5.109,5.067
0.000,5.067,4.994
0.000,4.994,4.999
25.000,4.999,5.057
50.000,5.057,4.935
75.000,4.935,4.924
100.000,4.924,4.939
75.000,4.939,4.983
50.000,4.983,5.101
25.000,5.101,5.058
0.000,5.058,4.990
0.000,4.990,5.001
25.000,5.001,5.047
50.000,5.047,4.944
75.000,4.944,4.949
100.000,4.949,4.939
75.000,4.939,4.981
50.000,4.981,5.101
25.000,5.101,5.066
0.000,5.066,4.982
