# setPoint, prevTorque, Torque
93.100,1.250,107.072
69.500,107.072,87.837
37.900,87.837,43.242
37.700,43.242,42.844
78.400,42.844,92.845
76.400,92.845,93.152
28.600,93.152,33.394
28.300,33.394,31.845
80.000,31.845,94.892
16.100,94.892,16.164
89.900,16.164,108.191
40.300,108.191,47.458
9.500,47.458,9.761
9.800,9.761,9.995
19.000,9.995,17.425
98.000,17.425,116.703
25.200,116.703,24.285
35.900,24.285,38.019
58.100,38.019,66.482
98.900,66.482,117.777
7.800,117.777,6.590
45.700,0.888,49.086
37.400,49.086,40.274
34.900,40.274,38.501
41.000,38.501,42.616
38.000,42.616,40.834
12.000,40.834,11.340
47.100,11.340,51.715
97.500,51.715,116.779
53.900,116.779,65.789
95.900,65.789,113.681
46.000,113.681,53.464
17.700,53.464,15.655
55.500,15.655,63.711
8.300,63.711,8.415
7.500,8.415,6.545
61.400,6.545,70.999
94.700,70.999,112.660
80.300,0.868,95.176
11.400,95.176,10.485
55.200,10.485,63.942
47.000,63.942,55.409
10.800,55.409,12.487
74.800,12.487,89.916
19.800,89.916,20.556
54.900,20.556,62.548
54.800,62.548,63.301
26.600,63.301,27.991
44.600,27.991,49.064
91.600,49.064,107.617
66.100,107.617,82.733
93.900,82.733,110.912
80.900,110.912,99.242
0.200,99.242,2.754
70.600,0.881,83.347
99.900,83.347,117.734
32.400,117.734,36.026
26.400,36.026,26.730
27.900,26.730,28.681
82.900,28.681,97.976
84.400,97.976,100.115
80.200,100.115,96.294
51.800,96.294,65.217
55.700,65.217,66.771
95.500,66.771,112.858
96.200,112.858,114.058
80.200,0.899,96.306
85.400,96.306,100.901
57.800,100.901,70.993
80.200,70.993,95.273
18.300,95.273,18.828
64.100,18.828,75.119
80.100,75.119,95.066
88.900,95.066,104.646
79.200,104.646,96.042
84.300,96.042,100.094
92.700,100.094,109.158
71.200,109.158,89.833
6.000,0.892,5.668
41.700,5.668,43.387
27.100,43.387,27.483
15.500,27.483,15.886
95.600,15.886,113.963
54.900,113.963,68.514
52.400,68.514,64.892
22.600,64.892,21.737
38.000,21.737,40.129
15.700,40.129,15.597
97.700,15.597,115.699
38.400,115.699,43.336
70.700,43.336,84.393
66.100,84.393,80.217
77.800,0.887,92.689
15.200,92.689,15.540
26.100,15.540,23.062
85.700,23.062,101.863
77.300,101.863,94.409
79.900,94.409,95.721
84.000,95.721,98.901
38.500,98.901,44.578
