# Actual Command, Previous Torque, Measured Torque, Predicted Command
93.100,1.250,107.072,92.157
69.500,107.072,87.837,76.425
37.900,87.837,43.242,43.284
37.700,43.242,42.844,43.006
78.400,42.844,92.845,80.436
76.400,92.845,93.152,80.684
28.600,93.152,33.394,36.305
28.300,33.394,31.845,35.166
80.000,31.845,94.892,82.090
16.100,94.892,16.164,21.930
89.900,16.164,108.191,93.110
40.300,108.191,47.458,46.223
9.500,47.458,9.761,14.917
9.800,9.761,9.995,15.198
19.000,9.995,17.425,23.167
98.000,17.425,116.703,100.633
25.200,116.703,24.285,24.815
35.900,24.285,38.019,36.374
58.100,38.019,66.482,57.468
98.900,66.482,117.777,102.573
7.800,117.777,6.590,7.133
45.700,0.888,49.086,47.361
37.400,49.086,40.274,41.209
34.900,40.274,38.501,39.962
41.000,38.501,42.616,42.847
38.000,42.616,40.834,41.602
12.000,40.834,11.340,16.774
47.100,11.340,51.715,49.207
97.500,51.715,116.779,100.703
53.900,116.779,65.789,56.965
95.900,65.789,113.681,97.992
46.000,113.681,53.464,48.041
17.700,53.464,15.655,16.661
55.500,15.655,63.711,55.460
8.300,63.711,8.415,9.140
7.500,8.415,6.545,7.083
61.400,6.545,70.999,60.767
94.700,70.999,112.660,96.887
80.300,0.868,95.176,82.320
11.400,95.176,10.485,15.780
55.200,10.485,63.942,58.017
47.000,63.942,55.409,51.826
10.800,55.409,12.487,18.067
74.800,12.487,89.916,78.085
19.800,89.916,20.556,26.072
54.900,20.556,62.548,56.991
54.800,62.548,63.301,57.544
26.600,63.301,27.991,32.245
44.600,27.991,49.064,47.346
91.600,49.064,107.617,92.620
66.100,107.617,82.733,72.384
93.900,82.733,110.912,95.458
80.900,110.912,99.242,85.634
0.200,99.242,2.754,5.401
70.600,0.881,83.347,72.867
99.900,83.347,117.734,101.587
32.400,117.734,36.026,34.783
26.400,36.026,26.730,26.987
27.900,26.730,28.681,28.681
82.900,28.681,97.976,82.435
84.400,97.976,100.115,84.389
80.200,100.115,96.294,80.930
51.800,96.294,65.217,56.550
55.700,65.217,66.771,57.678
95.500,66.771,112.858,97.101
96.200,112.858,114.058,98.404
80.200,0.899,96.306,83.237
85.400,96.306,100.901,86.998
57.800,100.901,70.993,63.298
80.200,70.993,95.273,82.398
18.300,95.273,18.828,24.496
64.100,18.828,75.119,66.453
80.100,75.119,95.066,82.230
88.900,95.066,104.646,90.111
79.200,104.646,96.042,83.022
84.300,96.042,100.094,86.333
92.700,100.094,109.158,93.939
71.200,109.158,89.833,78.018
6.000,0.892,5.668,9.636
41.700,5.668,43.387,43.385
27.100,43.387,27.483,31.848
15.500,27.483,15.886,21.652
95.600,15.886,113.963,98.150
54.900,113.963,68.514,58.947
52.400,68.514,64.892,56.315
22.600,64.892,21.737,22.490
38.000,21.737,40.129,38.031
15.700,40.129,15.597,16.603
97.700,15.597,115.699,100.218
38.400,115.699,43.336,40.504
70.700,43.336,84.393,70.961
66.100,84.393,80.217,67.693
77.800,0.887,92.689,80.311
15.200,92.689,15.540,21.302
26.100,15.540,23.062,28.252
85.700,23.062,101.863,87.793
77.300,101.863,94.409,81.699
79.900,94.409,95.721,82.762
84.000,95.721,98.901,85.354
38.500,98.901,44.578,44.215
