# setPoint, prevTorque, Torque
12.400,1.250,3.326
82.200,3.326,95.456
34.100,95.456,33.799
10.000,33.799,6.084
76.200,6.084,87.955
24.800,87.955,21.655
73.300,21.655,83.688
82.100,83.688,95.152
75.700,95.152,89.276
97.700,89.276,113.253
36.800,113.253,37.525
73.800,37.525,83.995
90.000,83.995,103.864
79.800,103.864,95.669
81.800,95.669,97.297
63.300,97.297,77.573
36.600,8.242,38.324
62.400,38.324,70.798
3.600,70.798,1.468
96.900,1.468,113.250
79.100,113.250,96.211
80.500,96.211,96.947
52.800,96.947,62.793
34.000,62.793,36.273
58.800,36.273,64.952
49.700,64.952,56.274
35.800,56.274,38.988
31.300,38.988,32.949
80.400,32.949,94.537
85.600,94.537,98.845
46.300,98.845,52.422
14.500,52.422,11.103
42.400,11.103,42.519
87.900,42.519,101.911
12.600,101.911,7.975
11.700,7.975,7.436
78.100,7.436,90.205
27.700,90.205,24.023
82.100,24.023,94.687
96.900,94.687,112.642
14.300,112.642,9.843
22.200,9.843,15.221
3.200,15.221,2.497
63.900,2.497,72.577
90.900,72.577,105.543
46.200,105.543,50.934
26.200,50.934,23.992
14.200,23.992,9.023
41.300,9.023,40.242
73.400,40.242,84.691
78.900,84.691,90.397
34.400,90.397,34.131
36.900,34.131,37.657
40.700,37.657,39.686
15.300,39.686,11.380
3.900,11.380,3.673
99.600,3.673,116.233
6.700,116.233,3.432
28.600,3.432,20.438
13.500,20.438,7.719
3.100,7.719,2.913
97.200,2.913,112.439
30.700,112.439,30.472
93.900,30.472,109.217
83.100,109.217,100.263
53.000,100.263,61.858
31.400,61.858,31.108
35.000,31.108,34.987
62.300,34.987,70.025
42.300,70.025,46.760
15.200,46.760,10.904
8.200,10.904,4.081
70.600,4.081,81.295
49.900,81.295,57.246
1.500,57.246,0.242
77.900,0.242,89.367
16.400,89.367,11.291
43.100,11.291,40.807
84.500,40.807,97.153
29.500,97.153,28.203
54.100,28.203,57.163
46.100,57.163,50.909
74.700,50.909,85.993
25.800,85.993,22.272
69.500,22.272,78.460
36.800,78.460,38.511
30.100,38.511,31.346
74.200,31.346,84.684
68.400,84.684,80.150
68.000,80.150,79.349
52.400,79.349,61.696
68.700,61.696,78.169
98.400,78.169,112.737
68.000,112.737,81.899
58.000,81.899,68.921
91.800,68.921,105.281
82.400,105.281,97.922
6.900,97.922,1.966
2.600,1.966,0.316
73.400,0.316,83.436
