# setPoint, prevTorque, Torque
36.600,1.250,32.380
90.600,32.380,105.828
77.000,105.828,94.305
61.500,94.305,67.573
78.500,67.573,89.037
94.800,89.037,108.130
91.000,108.130,104.253
13.700,104.253,8.907
8.000,8.907,4.639
59.400,4.639,63.633
36.000,63.633,36.786
30.600,36.786,29.439
80.400,29.439,91.384
43.800,91.384,46.795
98.500,46.795,112.404
10.700,112.404,7.514
45.400,8.757,43.966
27.400,43.966,24.999
0.400,24.999,1.041
23.800,1.041,15.347
21.500,15.347,13.764
87.700,13.764,99.350
21.500,99.350,17.750
98.100,17.750,110.789
39.500,110.789,41.025
87.700,41.025,99.330
72.500,99.330,86.714
84.900,86.714,97.891
41.700,97.891,45.079
69.100,45.079,78.356
22.900,78.356,18.953
75.300,18.953,85.257
7.000,85.257,3.014
74.600,3.014,84.526
87.900,1.044,99.449
28.100,99.449,24.972
6.300,24.972,3.389
77.400,3.389,88.919
4.200,88.919,1.658
53.400,1.658,55.315
79.300,55.315,90.086
37.200,90.086,33.534
72.700,33.534,81.994
39.800,81.994,41.925
39.900,41.925,42.665
24.300,42.665,21.292
35.400,21.292,33.820
86.500,33.820,98.688
46.300,98.688,50.900
48.300,50.900,49.321
0.000,49.321,1.680
12.800,1.680,5.484
12.600,5.484,5.945
29.800,5.945,21.942
26.300,21.942,19.123
32.300,19.123,25.316
25.300,25.316,20.100
29.300,20.100,23.899
21.200,23.899,16.867
30.100,16.867,24.156
27.600,24.156,21.914
31.600,21.914,27.102
26.900,27.102,21.841
27.400,21.841,24.080
22.900,1.001,19.809
37.500,19.809,34.405
35.400,34.405,33.117
57.000,33.117,60.647
51.400,60.647,54.366
65.600,54.366,71.808
60.200,71.808,66.086
82.600,66.086,92.702
79.700,0.982,91.912
89.500,91.912,101.190
86.300,101.190,98.638
100.000,98.638,113.554
96.800,113.554,110.667
100.000,110.667,113.152
86.200,1.036,102.206
86.300,102.206,101.540
81.200,1.006,96.997
82.300,96.997,96.961
60.100,96.961,70.854
66.000,70.854,77.038
62.000,77.038,72.734
68.900,72.734,80.494
52.100,80.494,60.946
61.000,60.946,69.921
51.200,69.921,58.700
58.600,58.700,67.591
47.000,67.591,51.310
53.800,51.310,57.659
34.400,57.659,34.649
38.000,34.649,37.865
36.800,37.865,35.887
45.200,35.887,45.227
24.800,45.227,20.473
26.400,20.473,22.556
5.000,22.556,3.164
5.000,3.164,1.709
