# setPoint, prevCurrent, Current
0.000,0.000,0.995
6.800,0.995,0.977
13.600,0.977,1.159
20.400,1.159,1.475
27.200,1.475,1.798
34.000,1.798,2.347
40.800,2.347,2.931
47.600,2.931,3.451
54.400,3.451,4.098
62.100,4.098,4.694
69.900,4.694,5.543
77.700,5.543,6.378
85.400,6.378,6.987
92.200,6.987,7.694
99.400,7.694,8.509
100.000,8.509,8.675
99.400,8.675,8.685
92.200,8.685,8.215
85.400,8.215,7.623
77.700,7.623,7.016
69.900,7.016,6.305
62.100,6.305,5.468
54.400,5.468,4.662
47.600,4.662,3.977
40.800,3.977,3.322
34.000,3.322,2.695
27.200,2.695,2.188
20.400,2.188,1.712
13.600,1.712,1.323
6.800,1.323,1.049
0.000,1.049,0.828
36.600,0.828,2.496
90.600,2.496,7.813
77.000,7.813,6.837
61.500,6.837,4.777
78.500,4.777,6.409
94.800,6.409,8.014
91.000,8.014,7.676
13.700,7.676,1.248
8.000,1.248,1.044
59.400,1.044,4.497
36.000,4.497,2.755
30.600,2.755,2.328
80.400,2.328,6.598
43.800,6.598,3.371
98.500,3.371,8.393
10.700,8.393,1.181
45.400,1.181,3.193
27.400,3.193,2.080
0.400,2.080,0.878
23.800,0.878,1.569
21.500,1.569,1.488
87.700,1.488,7.258
21.500,7.258,1.693
98.100,1.693,8.249
39.500,8.249,3.011
87.700,3.011,7.256
72.500,7.256,6.224
84.900,6.224,7.135
41.700,7.135,3.263
69.100,3.263,5.574
22.900,5.574,1.755
75.300,1.755,6.108
7.000,6.108,0.969
74.600,0.969,6.051
87.900,6.051,7.266
28.100,7.266,2.079
6.300,2.079,0.986
77.400,0.986,6.399
4.200,6.399,0.906
53.400,0.906,3.927
79.300,3.927,6.493
37.200,6.493,2.563
72.700,2.563,5.853
39.800,5.853,3.066
39.900,3.066,3.112
24.300,3.112,1.879
35.400,1.879,2.580
86.500,2.580,7.202
46.300,7.202,3.635
48.300,3.635,3.533
0.000,3.533,0.907
12.800,0.907,1.084
12.600,1.084,1.106
29.800,1.106,1.914
26.300,1.914,1.764
32.300,1.764,2.098
25.300,2.098,1.816
29.300,1.816,2.020
21.200,2.020,1.647
30.100,1.647,2.034
27.600,2.034,1.913
31.600,1.913,2.197
26.900,2.197,1.909
27.400,1.909,2.030
22.900,2.030,1.800
37.500,1.800,2.614
35.400,2.614,2.539
57.000,2.539,4.289
51.400,4.289,3.864
65.600,3.864,5.085
60.200,5.085,4.671
82.600,4.671,6.706
79.700,6.706,6.641
89.500,6.641,7.414
86.300,7.414,7.198
100.000,7.198,8.496
96.800,8.496,8.238
100.000,8.238,8.460
86.200,8.460,7.501
86.300,7.501,7.444
81.200,7.444,7.061
82.300,7.061,7.058
60.100,7.058,5.015
66.000,5.015,5.474
62.000,5.474,5.153
68.900,5.153,5.738
52.100,5.738,4.310
61.000,4.310,4.947
51.200,4.947,4.156
58.600,4.156,4.778
47.000,4.778,3.662
53.800,3.662,4.085
34.400,4.085,2.629
38.000,2.629,2.819
36.800,2.819,2.702
45.200,2.702,3.272
24.800,3.272,1.836
26.400,1.836,1.947
5.000,1.947,0.976
5.000,0.976,0.909
