# Actual Command, Previous Torque, Measured Torque, Predicted Command
86.000,0.000,6.710,11.894
85.700,6.710,6.615,11.759
93.300,6.615,7.420,12.874
92.700,7.420,7.604,13.119
6.000,7.604,0.666,0.629
4.100,0.666,0.664,0.624
87.500,0.664,7.102,12.442
2.000,7.102,0.586,0.433
71.700,0.586,5.456,10.024
4.000,5.456,0.625,0.529
9.600,0.625,0.766,0.871
62.000,0.766,4.540,8.528
72.000,4.540,5.533,10.144
48.600,5.533,3.597,6.858
41.900,3.597,2.955,5.636
75.100,2.955,5.678,10.369
94.500,5.678,7.828,13.414
54.900,7.828,4.325,8.160
95.500,4.325,8.084,13.744
0.100,8.084,0.623,0.524
50.800,0.623,3.372,6.438
42.700,3.372,2.787,5.305
98.100,2.787,8.080,13.739
24.000,8.080,1.535,2.660
93.300,1.535,7.835,13.423
94.600,7.835,7.847,13.438
7.900,7.847,0.740,0.808
0.400,0.740,0.667,0.631
33.400,0.667,1.854,3.364
22.000,1.854,1.318,2.169
24.200,1.318,1.412,2.383
51.900,1.412,3.595,6.854
62.500,3.595,4.537,8.523
46.500,4.537,3.235,6.178
16.200,3.235,1.153,1.788
15.900,1.153,1.107,1.681
21.600,1.107,1.192,1.879
70.900,1.192,5.508,10.105
7.900,5.508,0.761,0.859
29.000,0.761,1.555,2.705
18.600,1.555,1.133,1.742
24.000,1.133,1.381,2.312
63.200,1.381,4.734,8.855
31.800,4.734,2.128,3.952
33.800,2.128,2.204,4.112
44.600,2.204,2.912,5.552
18.900,2.912,1.297,2.121
52.800,1.297,3.615,6.891
73.600,3.615,5.755,10.487
85.700,5.755,7.060,12.384
6.500,7.060,0.719,0.758
58.200,0.719,4.141,7.839
10.400,4.141,0.768,0.876
39.600,0.768,2.379,4.477
7.000,2.379,0.729,0.782
33.800,0.729,2.006,3.692
83.300,2.006,6.698,11.877
22.800,6.698,1.382,2.315
54.000,1.382,3.630,6.919
27.400,3.630,1.755,3.148
51.800,1.755,3.457,6.598
4.500,3.457,0.676,0.653
85.000,0.676,7.028,12.340
41.900,7.028,3.019,5.761
60.500,3.019,4.437,8.352
14.600,4.437,1.035,1.512
45.200,1.035,2.958,5.642
45.200,2.958,3.000,5.724
51.800,3.000,3.560,6.789
54.500,3.560,3.856,7.331
97.700,3.856,8.196,13.887
10.400,8.196,0.801,0.956
52.000,0.801,3.493,6.665
72.900,3.493,5.682,10.375
38.200,5.682,2.671,5.073
70.500,2.671,5.419,9.966
33.100,5.419,2.191,4.085
91.000,2.191,7.551,13.049
11.000,7.551,0.860,1.097
67.000,0.860,5.054,9.382
61.100,5.054,4.646,8.707
25.100,4.646,1.680,2.983
74.700,1.680,5.756,10.489
16.500,5.756,1.096,1.655
53.100,1.096,3.645,6.946
20.000,3.645,1.291,2.107
33.800,1.291,2.123,3.941
49.500,2.123,3.361,6.417
52.300,3.361,3.614,6.889
1.800,3.614,0.614,0.502
55.200,0.614,3.792,7.215
55.000,3.792,3.915,7.437
44.800,3.915,3.163,6.040
56.500,3.163,4.063,7.701
67.500,4.063,5.156,9.547
99.900,5.156,8.403,14.148
33.000,8.403,2.123,3.941
38.600,2.123,2.515,4.756
24.800,2.515,1.677,2.976
96.700,1.677,8.211,13.906
