# Actual Command, Previous Torque, Measured Torque, Predicted Command
86.000,0.000,6.710,11.012
85.700,6.710,6.615,10.886
93.300,6.615,7.420,11.948
92.700,7.420,7.604,12.188
6.000,7.604,0.666,2.731
4.100,0.666,0.664,2.728
87.500,0.664,7.102,11.530
2.000,7.102,0.586,2.621
71.700,0.586,5.456,9.332
4.000,5.456,0.625,2.675
9.600,0.625,0.766,2.869
62.000,0.766,4.540,8.086
72.000,4.540,5.533,9.436
48.600,5.533,3.597,6.790
41.900,3.597,2.955,5.903
75.100,2.955,5.678,9.632
94.500,5.678,7.828,12.479
54.900,7.828,4.325,7.792
95.500,4.325,8.084,12.811
0.100,8.084,0.623,2.672
50.800,0.623,3.372,6.479
42.700,3.372,2.787,5.670
98.100,2.787,8.080,12.805
24.000,8.080,1.535,3.934
93.300,1.535,7.835,12.488
94.600,7.835,7.847,12.504
7.900,7.847,0.740,2.833
0.400,0.740,0.667,2.733
33.400,0.667,1.854,4.376
22.000,1.854,1.318,3.633
24.200,1.318,1.412,3.763
51.900,1.412,3.595,6.787
62.500,3.595,4.537,8.082
46.500,4.537,3.235,6.290
16.200,3.235,1.153,3.404
15.900,1.153,1.107,3.341
21.600,1.107,1.192,3.458
70.900,1.192,5.508,9.403
7.900,5.508,0.761,2.862
29.000,0.761,1.555,3.961
18.600,1.555,1.133,3.377
24.000,1.133,1.381,3.720
63.200,1.381,4.734,8.351
31.800,4.734,2.128,4.756
33.800,2.128,2.204,4.861
44.600,2.204,2.912,5.843
18.900,2.912,1.297,3.604
52.800,1.297,3.615,6.815
73.600,3.615,5.755,9.736
85.700,5.755,7.060,11.475
6.500,7.060,0.719,2.804
58.200,0.719,4.141,7.539
10.400,4.141,0.768,2.872
39.600,0.768,2.379,5.104
7.000,2.379,0.729,2.818
33.800,0.729,2.006,4.587
83.300,2.006,6.698,10.997
22.800,6.698,1.382,3.721
54.000,1.382,3.630,6.836
27.400,3.630,1.755,4.239
51.800,1.755,3.457,6.597
4.500,3.457,0.676,2.745
85.000,0.676,7.028,11.433
41.900,7.028,3.019,5.991
60.500,3.019,4.437,7.945
14.600,4.437,1.035,3.241
45.200,1.035,2.958,5.907
45.200,2.958,3.000,5.965
51.800,3.000,3.560,6.739
54.500,3.560,3.856,7.147
97.700,3.856,8.196,12.955
10.400,8.196,0.801,2.918
52.000,0.801,3.493,6.647
72.900,3.493,5.682,9.638
38.200,5.682,2.671,5.509
70.500,2.671,5.419,9.282
33.100,5.419,2.191,4.843
91.000,2.191,7.551,12.119
11.000,7.551,0.860,2.999
67.000,0.860,5.054,8.787
61.100,5.054,4.646,8.231
25.100,4.646,1.680,4.135
74.700,1.680,5.756,9.737
16.500,5.756,1.096,3.325
53.100,1.096,3.645,6.856
20.000,3.645,1.291,3.595
33.800,1.291,2.123,4.749
49.500,2.123,3.361,6.464
52.300,3.361,3.614,6.814
1.800,3.614,0.614,2.659
55.200,0.614,3.792,7.059
55.000,3.792,3.915,7.228
44.800,3.915,3.163,6.190
56.500,3.163,4.063,7.432
67.500,4.063,5.156,8.926
99.900,5.156,8.403,13.221
33.000,8.403,2.123,4.749
38.600,2.123,2.515,5.293
24.800,2.515,1.677,4.130
96.700,1.677,8.211,12.974
