# setPoint, prevTorque, Torque
62.600,1.250,69.820
8.700,69.820,6.344
79.000,6.344,91.309
47.800,91.309,54.013
36.500,54.013,39.824
53.800,39.824,60.201
32.300,60.201,33.480
67.700,33.480,77.599
16.400,77.599,13.834
88.600,13.834,102.442
61.700,102.442,74.052
14.300,74.052,9.093
8.300,9.093,4.000
84.900,4.000,98.030
12.600,98.030,7.301
77.200,7.301,89.617
93.100,8.132,106.158
97.900,106.158,111.684
24.300,111.684,21.411
83.200,21.411,95.305
10.700,95.305,5.661
81.800,5.661,94.394
3.500,94.394,1.648
71.900,1.648,82.303
46.400,82.303,51.590
52.600,51.590,58.508
34.200,58.508,36.032
91.900,36.032,105.728
40.900,105.728,44.352
89.500,44.352,103.834
58.600,103.834,69.500
33.100,69.500,34.349
99.300,34.349,115.278
1.300,115.278,1.146
24.300,1.146,16.183
7.700,16.183,3.524
17.500,3.524,8.019
55.700,8.019,61.275
9.300,61.275,6.662
83.800,6.662,97.005
97.800,97.005,113.420
46.600,113.420,52.456
0.400,52.456,0.566
92.700,0.566,107.127
70.500,107.127,85.288
6.300,85.288,3.332
55.500,3.332,58.709
94.100,58.709,109.634
73.600,109.634,89.741
42.800,89.741,47.105
86.300,47.105,100.996
62.900,100.996,76.951
88.500,76.951,103.047
19.400,103.047,14.392
41.700,14.392,41.267
19.200,41.267,15.635
35.700,15.635,33.678
86.500,33.678,100.984
48.900,100.984,55.720
60.500,55.720,68.937
8.600,68.937,3.804
50.800,3.804,53.620
21.400,53.620,17.291
11.000,17.291,5.999
89.600,5.999,103.536
66.900,103.536,81.521
60.700,81.521,73.660
99.100,73.660,115.295
13.200,115.295,6.906
47.900,6.906,49.657
88.100,49.657,101.959
82.400,101.959,97.670
68.600,97.670,83.051
29.100,83.051,26.893
51.500,26.893,55.717
55.900,55.717,61.335
53.800,61.335,58.857
58.300,58.857,64.007
16.600,64.007,11.814
71.900,11.814,82.298
98.100,82.298,114.363
95.900,114.363,111.847
28.700,111.847,26.994
51.000,26.994,53.800
80.000,53.800,92.932
2.400,92.932,2.077
32.600,2.077,25.922
49.000,25.922,51.186
39.700,51.186,40.556
61.500,40.556,67.522
57.600,67.522,65.063
57.900,65.063,64.935
9.000,64.935,4.520
63.700,4.520,70.648
6.300,70.648,2.936
46.200,2.936,48.430
99.200,48.430,115.419
80.100,115.419,96.643
35.200,96.643,36.951
44.400,36.951,47.926
0.000,47.926,-0.113
4.800,-0.113,2.126
3.100,2.126,1.069
8.700,1.069,3.569
6.200,3.569,1.421
11.800,1.421,4.322
11.100,4.322,6.271
15.100,6.271,8.865
15.100,8.865,7.931
18.600,7.931,10.748
16.100,10.748,9.446
17.700,9.446,10.740
16.600,10.740,9.044
20.400,9.044,11.869
20.400,11.869,13.190
23.200,13.190,14.664
22.600,14.664,15.411
29.100,15.411,22.127
27.900,22.127,21.591
29.100,21.591,22.834
29.100,22.834,23.579
29.900,23.579,23.243
27.700,23.243,21.918
33.100,21.918,28.037
