# setPoint, prevTorque, Torque
27.000,1.250,22.233
19.200,22.233,16.471
62.600,16.471,71.385
31.900,71.385,32.853
98.100,32.853,114.964
45.100,114.964,51.845
99.900,51.845,117.322
68.100,117.322,84.256
19.900,84.256,18.777
18.500,18.777,16.184
56.000,16.184,64.111
53.000,64.111,60.134
86.000,60.134,103.014
59.600,0.767,68.219
89.600,0.824,107.314
32.200,0.834,28.583
56.000,0.857,63.157
63.700,63.157,74.430
85.800,0.818,102.103
88.000,0.849,106.690
81.900,0.823,99.203
4.800,0.811,2.586
33.600,0.782,32.292
72.500,0.795,87.927
45.100,0.811,48.203
36.900,0.816,35.842
27.400,0.820,23.082
9.800,0.797,5.371
56.000,0.801,63.269
46.300,0.782,50.563
54.600,0.824,61.288
39.700,0.801,40.517
23.700,0.797,17.836
77.700,0.830,92.498
69.500,0.832,81.819
86.100,0.766,103.594
16.100,0.822,8.492
30.100,0.776,24.994
26.600,0.823,21.155
42.400,0.837,43.140
8.200,0.834,5.302
39.400,0.844,40.338
16.600,0.817,10.974
81.500,0.832,97.086
76.800,0.812,92.295
59.700,0.782,68.617
3.700,0.772,3.389
16.000,0.790,9.898
88.500,0.847,106.438
1.800,0.770,2.270
25.200,0.781,18.690
69.000,0.777,82.006
63.100,0.808,73.743
21.000,0.836,14.969
8.700,0.846,4.560
81.900,0.819,98.307
32.600,0.803,29.080
32.800,0.837,31.024
69.000,0.811,81.820
67.500,0.828,80.429
64.500,0.816,76.174
51.000,0.814,56.793
62.400,0.813,72.470
64.300,0.829,75.573
66.000,0.826,77.483
71.600,0.829,86.208
34.300,0.816,32.979
90.900,0.823,108.880
80.900,0.836,97.238
44.300,0.854,48.126
74.000,0.843,89.630
99.200,0.804,119.532
28.600,0.829,23.516
52.300,0.803,58.347
22.500,0.819,15.247
63.600,0.819,74.888
61.700,0.772,72.062
4.700,0.825,3.631
36.800,0.849,35.794
98.700,0.841,118.650
19.700,0.813,13.641
44.400,0.792,47.088
76.400,0.812,92.838
76.400,0.824,91.763
93.600,0.824,112.731
70.800,0.830,84.709
97.100,0.797,117.105
33.200,0.825,30.204
83.000,0.809,99.196
71.200,0.834,85.561
57.700,0.788,66.963
9.400,0.815,4.221
52.500,0.811,59.131
82.300,0.810,98.440
95.900,0.836,115.602
18.200,0.799,10.278
20.200,0.827,14.159
78.700,0.863,95.668
36.100,0.840,33.913
32.100,0.801,28.224
