# Actual Command, Previous Torque, Measured Torque, Predicted Command
27.000,1.250,22.233,27.544
19.200,22.233,16.471,22.235
62.600,16.471,71.385,63.596
31.900,71.385,32.853,35.909
98.100,32.853,114.964,99.049
45.100,114.964,51.845,46.857
99.900,51.845,117.322,102.052
68.100,117.322,84.256,70.852
19.900,84.256,18.777,19.705
18.500,18.777,16.184,17.185
56.000,16.184,64.111,55.750
53.000,64.111,60.134,52.876
86.000,60.134,103.014,87.114
59.600,0.767,68.219,61.203
89.600,0.824,107.314,92.363
32.200,0.834,28.583,32.703
56.000,0.857,63.157,57.438
63.700,63.157,74.430,65.923
85.800,0.818,102.103,87.992
88.000,0.849,106.690,91.833
81.900,0.823,99.203,85.602
4.800,0.811,2.586,5.143
33.600,0.782,32.292,35.497
72.500,0.795,87.927,76.497
45.100,0.811,48.203,46.744
36.900,0.816,35.842,38.073
27.400,0.820,23.082,28.269
9.800,0.797,5.371,9.224
56.000,0.801,63.269,57.521
46.300,0.782,50.563,48.397
54.600,0.824,61.288,56.068
39.700,0.801,40.517,41.380
23.700,0.797,17.836,23.561
77.700,0.830,92.498,80.157
69.500,0.832,81.819,71.665
86.100,0.766,103.594,89.231
16.100,0.822,8.492,13.356
30.100,0.776,24.994,29.858
26.600,0.823,21.155,26.604
42.400,0.837,43.140,43.213
8.200,0.834,5.302,9.127
39.400,0.844,40.338,41.254
16.600,0.817,10.974,16.352
81.500,0.832,97.086,83.871
76.800,0.812,92.295,79.993
59.700,0.782,68.617,61.502
3.700,0.772,3.389,6.361
16.000,0.790,9.898,15.082
88.500,0.847,106.438,91.620
1.800,0.770,2.270,4.655
25.200,0.781,18.690,24.367
69.000,0.777,82.006,71.812
63.100,0.808,73.743,65.396
21.000,0.836,14.969,20.719
8.700,0.846,4.560,8.076
81.900,0.819,98.307,84.868
32.600,0.803,29.080,33.085
32.800,0.837,31.024,34.555
69.000,0.811,81.820,71.666
67.500,0.828,80.429,70.576
64.500,0.816,76.174,67.267
51.000,0.814,56.793,52.816
62.400,0.813,72.470,64.422
64.300,0.829,75.573,66.803
66.000,0.826,77.483,68.281
71.600,0.829,86.208,75.130
34.300,0.816,32.979,36.001
90.900,0.823,108.880,93.701
80.900,0.836,97.238,83.995
44.300,0.854,48.126,46.690
74.000,0.843,89.630,77.856
99.200,0.804,119.532,103.279
28.600,0.829,23.516,28.635
52.300,0.803,58.347,53.933
22.500,0.819,15.247,21.004
63.600,0.819,74.888,66.276
61.700,0.772,72.062,64.111
4.700,0.825,3.631,6.721
36.800,0.849,35.794,38.039
98.700,0.841,118.650,102.444
19.700,0.813,13.641,19.324
44.400,0.792,47.088,45.965
76.400,0.812,92.838,80.431
76.400,0.824,91.763,79.566
93.600,0.824,112.731,97.054
70.800,0.830,84.709,73.942
97.100,0.797,117.105,101.004
33.200,0.825,30.204,33.939
83.000,0.809,99.196,85.596
71.200,0.834,85.561,74.617
57.700,0.788,66.963,60.261
9.400,0.815,4.221,7.587
52.500,0.811,59.131,54.500
82.300,0.810,98.440,84.977
95.900,0.836,115.602,99.627
18.200,0.799,10.278,15.536
20.200,0.827,14.159,19.874
78.700,0.863,95.668,82.719
36.100,0.840,33.913,36.683
32.100,0.801,28.224,32.426
