# setPoint, prevTorque, Torque
3.600,1.250,9.872
77.800,9.872,95.185
11.000,95.185,14.780
17.600,14.780,19.096
14.200,19.096,17.516
31.900,17.516,33.456
70.300,33.456,86.177
49.700,86.177,61.413
24.600,61.413,28.560
62.200,28.560,76.074
95.900,76.074,116.330
28.300,116.330,32.127
55.000,32.127,65.908
94.300,65.908,113.828
59.000,113.828,76.324
30.200,76.324,34.260
57.400,34.260,68.181
7.200,2.920,10.907
70.300,10.907,84.369
36.800,84.369,44.179
84.700,44.179,102.648
73.200,102.648,91.657
43.000,91.657,52.851
13.000,52.851,15.059
45.600,15.059,51.309
11.600,51.309,13.346
41.900,13.346,45.490
43.000,45.490,46.329
27.900,46.329,30.412
40.200,30.412,45.399
90.600,45.399,108.800
39.900,7.455,47.110
12.100,47.110,15.453
57.300,15.453,67.358
0.200,67.358,9.224
60.100,9.224,70.899
89.700,70.899,108.086
23.700,108.086,25.400
86.500,25.400,104.929
9.600,104.929,12.629
87.600,12.629,105.636
5.900,1.219,9.281
97.500,9.281,117.187
81.400,117.187,102.884
27.000,102.884,30.541
56.500,30.541,66.926
36.700,66.926,43.355
21.300,43.355,24.329
25.900,24.329,27.013
89.700,27.013,108.026
59.600,108.026,76.171
23.200,5.323,26.188
94.900,26.188,113.782
81.200,113.782,100.822
54.400,100.822,69.752
51.600,69.752,66.052
42.600,66.052,53.751
17.500,53.751,20.738
26.300,20.738,26.905
36.500,26.905,39.340
73.200,39.340,88.311
47.400,4.980,58.645
31.600,58.645,37.907
95.900,37.907,114.986
42.900,114.986,52.317
38.100,52.317,45.419
72.800,45.419,87.950
27.000,87.950,30.098
77.900,30.098,94.808
73.400,94.808,90.923
75.900,90.923,92.932
31.600,1.119,31.107
10.900,31.107,13.489
9.800,13.489,13.015
88.700,13.015,106.935
68.100,106.935,86.701
25.500,86.701,28.897
1.600,28.897,7.961
42.500,7.961,46.213
96.400,46.213,115.149
46.200,115.149,56.952
23.600,56.952,27.131
64.500,27.131,77.002
70.400,8.268,90.051
37.900,90.051,44.166
35.500,44.166,42.052
77.700,42.052,93.095
48.500,93.095,60.459
96.800,60.459,114.388
2.800,114.388,8.530
4.700,8.530,7.612
49.500,7.612,54.771
6.600,1.092,9.327
62.800,9.327,74.647
37.500,74.647,45.116
91.400,45.116,108.931
83.400,108.931,102.001
45.500,102.001,55.108
65.600,55.108,79.062
55.600,79.062,69.740
