# Actual Command, Previous Torque, Measured Torque, Predicted Command
86.000,0.000,6.710,244.880
85.700,6.710,6.615,7.141
93.300,6.615,7.420,-168.308
92.700,7.420,7.604,-241.537
6.000,7.604,0.666,5.791
4.100,0.666,0.664,4.968
87.500,0.664,7.102,317.290
2.000,7.102,0.586,3.769
71.700,0.586,5.456,249.760
4.000,5.456,0.625,6.632
9.600,0.625,0.766,7.401
62.000,0.766,4.540,152.827
72.000,4.540,5.533,71.461
48.600,5.533,3.597,50.635
41.900,3.597,2.955,41.269
75.100,2.955,5.678,107.434
94.500,5.678,7.828,86.366
54.900,7.828,4.325,58.735
95.500,4.325,8.084,86.385
0.100,8.084,0.623,6.989
50.800,0.623,3.372,89.064
42.700,3.372,2.787,44.593
98.100,2.787,8.080,87.225
24.000,8.080,1.535,24.049
93.300,1.535,7.835,23.666
94.600,7.835,7.847,-356.124
7.900,7.847,0.740,7.730
0.400,0.740,0.667,4.881
33.400,0.667,1.854,37.420
22.000,1.854,1.318,27.803
24.200,1.318,1.412,29.334
51.900,1.412,3.595,50.057
62.500,3.595,4.537,63.206
46.500,4.537,3.235,48.608
16.200,3.235,1.153,18.068
15.900,1.153,1.107,14.457
21.600,1.107,1.192,16.679
70.900,1.192,5.508,199.461
7.900,5.508,0.761,9.462
29.000,0.761,1.555,28.079
18.600,1.555,1.133,14.628
24.000,1.133,1.381,21.348
63.200,1.381,4.734,131.430
31.800,4.734,2.128,26.847
33.800,2.128,2.204,34.849
44.600,2.204,2.912,44.667
18.900,2.912,1.297,24.316
52.800,1.297,3.615,77.036
73.600,3.615,5.755,82.406
85.700,5.755,7.060,86.940
6.500,7.060,0.719,-112.882
58.200,0.719,4.141,127.045
10.400,4.141,0.768,-10.264
39.600,0.768,2.379,50.677
7.000,2.379,0.729,7.175
33.800,0.729,2.006,40.913
83.300,2.006,6.698,80.848
22.800,6.698,1.382,-46.719
54.000,1.382,3.630,75.218
27.400,3.630,1.755,29.646
51.800,1.755,3.457,61.254
4.500,3.457,0.676,-5.283
85.000,0.676,7.028,319.387
41.900,7.028,3.019,45.698
60.500,3.019,4.437,66.956
14.600,4.437,1.035,-1.678
45.200,1.035,2.958,61.871
45.200,2.958,3.000,47.034
51.800,3.000,3.560,54.185
54.500,3.560,3.856,59.561
97.700,3.856,8.196,88.603
10.400,8.196,0.801,10.200
52.000,0.801,3.493,87.984
72.900,3.493,5.682,81.680
38.200,5.682,2.671,26.846
70.500,2.671,5.419,110.313
33.100,5.419,2.191,18.828
91.000,2.191,7.551,17.438
11.000,7.551,0.860,9.403
67.000,0.860,5.054,188.448
61.100,5.054,4.646,59.017
25.100,4.646,1.680,29.893
74.700,1.680,5.756,78.255
16.500,5.756,1.096,-30.151
53.100,1.096,3.645,84.417
20.000,3.645,1.291,18.684
33.800,1.291,2.123,37.819
49.500,2.123,3.361,49.397
52.300,3.361,3.614,55.603
1.800,3.614,0.614,-11.216
55.200,0.614,3.792,110.846
55.000,3.792,3.915,60.815
44.800,3.915,3.163,49.038
56.500,3.163,4.063,61.860
67.500,4.063,5.156,79.289
99.900,5.156,8.403,96.336
33.000,8.403,2.123,-81.586
38.600,2.123,2.515,39.421
24.800,2.515,1.677,26.179
96.700,1.677,8.211,-168.520
