# setPoint, prevCurrent, Current
86.000,0.000,6.710
85.700,6.710,6.615
93.300,6.615,7.420
92.700,7.420,7.604
6.000,7.604,0.666
4.100,0.666,0.664
87.500,0.664,7.102
2.000,7.102,0.586
71.700,0.586,5.456
4.000,5.456,0.625
9.600,0.625,0.766
62.000,0.766,4.540
72.000,4.540,5.533
48.600,5.533,3.597
41.900,3.597,2.955
75.100,2.955,5.678
94.500,5.678,7.828
54.900,7.828,4.325
95.500,4.325,8.084
0.100,8.084,0.623
50.800,0.623,3.372
42.700,3.372,2.787
98.100,2.787,8.080
24.000,8.080,1.535
93.300,1.535,7.835
94.600,7.835,7.847
7.900,7.847,0.740
0.400,0.740,0.667
33.400,0.667,1.854
22.000,1.854,1.318
24.200,1.318,1.412
51.900,1.412,3.595
62.500,3.595,4.537
46.500,4.537,3.235
16.200,3.235,1.153
15.900,1.153,1.107
21.600,1.107,1.192
70.900,1.192,5.508
7.900,5.508,0.761
29.000,0.761,1.555
18.600,1.555,1.133
24.000,1.133,1.381
63.200,1.381,4.734
31.800,4.734,2.128
33.800,2.128,2.204
44.600,2.204,2.912
18.900,2.912,1.297
52.800,1.297,3.615
73.600,3.615,5.755
85.700,5.755,7.060
6.500,7.060,0.719
58.200,0.719,4.141
10.400,4.141,0.768
39.600,0.768,2.379
7.000,2.379,0.729
33.800,0.729,2.006
83.300,2.006,6.698
22.800,6.698,1.382
54.000,1.382,3.630
27.400,3.630,1.755
51.800,1.755,3.457
4.500,3.457,0.676
85.000,0.676,7.028
41.900,7.028,3.019
60.500,3.019,4.437
14.600,4.437,1.035
45.200,1.035,2.958
45.200,2.958,3.000
51.800,3.000,3.560
54.500,3.560,3.856
97.700,3.856,8.196
10.400,8.196,0.801
52.000,0.801,3.493
72.900,3.493,5.682
38.200,5.682,2.671
70.500,2.671,5.419
33.100,5.419,2.191
91.000,2.191,7.551
11.000,7.551,0.860
67.000,0.860,5.054
61.100,5.054,4.646
25.100,4.646,1.680
74.700,1.680,5.756
16.500,5.756,1.096
53.100,1.096,3.645
20.000,3.645,1.291
33.800,1.291,2.123
49.500,2.123,3.361
52.300,3.361,3.614
1.800,3.614,0.614
55.200,0.614,3.792
55.000,3.792,3.915
44.800,3.915,3.163
56.500,3.163,4.063
67.500,4.063,5.156
99.900,5.156,8.403
33.000,8.403,2.123
38.600,2.123,2.515
24.800,2.515,1.677
96.700,1.677,8.211
