# setPoint, prevCurrent, Current
100.000,0.000,8.225
100.000,8.225,8.336
100.000,8.336,8.638
100.000,8.638,8.704
100.000,8.704,8.595
100.000,8.595,8.549
100.000,8.549,8.639
100.000,8.639,8.475
100.000,8.475,8.715
100.000,8.715,8.718
100.000,8.718,8.776
100.000,8.776,8.707
100.000,8.707,8.660
100.000,8.660,8.640
100.000,8.640,8.595
100.000,8.595,8.514
100.000,8.514,8.483
100.000,8.483,8.601
100.000,8.601,8.597
100.000,8.597,8.631
100.000,8.631,8.610
100.000,8.610,8.742
100.000,8.742,8.667
100.000,8.667,8.665
100.000,8.665,8.768
100.000,8.768,8.879
100.000,8.879,8.806
100.000,8.806,8.810
100.000,8.810,8.762
100.000,8.762,8.882
