# setPoint, prevCurrent, Current
100.000,0.000,8.511
100.000,8.511,8.617
100.000,8.617,8.689
100.000,8.689,8.796
100.000,8.796,8.837
100.000,8.837,8.936
100.000,8.936,8.859
100.000,8.859,8.765
100.000,8.765,8.832
100.000,8.832,8.707
100.000,8.707,8.338
100.000,8.338,8.631
100.000,8.631,8.608
100.000,8.608,8.877
100.000,8.877,8.838
100.000,8.838,8.835
100.000,8.835,8.831
100.000,8.831,8.710
100.000,8.710,8.639
100.000,8.639,8.752
100.000,8.752,8.673
100.000,8.673,8.656
100.000,8.656,8.775
100.000,8.775,8.681
100.000,8.681,8.791
100.000,8.791,8.863
100.000,8.863,8.890
100.000,8.890,8.874
100.000,8.874,8.873
100.000,8.873,8.880
