# setPoint, prevCurrent, Current
0.000,0.000,5.018
0.000,5.018,5.014
0.000,5.014,5.014
0.000,5.014,5.013
0.000,5.013,5.007
0.000,5.007,5.008
0.000,5.008,5.009
0.000,5.009,5.008
0.000,5.008,5.005
0.000,5.005,5.010
0.000,5.010,5.008
0.000,5.008,5.011
0.000,5.011,5.006
0.000,5.006,5.010
0.000,5.010,5.006
0.000,5.006,5.002
0.000,5.002,5.007
0.000,5.007,5.001
0.000,5.001,5.006
0.000,5.006,5.008
0.000,5.008,5.008
0.000,5.008,5.005
0.000,5.005,5.004
0.000,5.004,5.007
0.000,5.007,5.007
0.000,5.007,5.005
0.000,5.005,5.004
0.000,5.004,5.003
0.000,5.003,5.003
0.000,5.003,5.002
0.000,5.002,5.005
0.000,5.005,5.003
0.000,5.003,5.003
0.000,5.003,5.003
0.000,5.003,5.003
0.000,5.003,5.004
0.000,5.004,5.006
0.000,5.006,5.005
0.000,5.005,5.005
0.000,5.005,5.005
0.000,5.005,5.005
0.000,5.005,5.004
0.000,5.004,5.003
0.000,5.003,5.004
0.000,5.004,5.004
0.000,5.004,5.005
0.000,5.005,5.004
0.000,5.004,5.005
0.000,5.005,5.002
0.000,5.002,5.004
0.000,5.004,5.003
0.000,5.003,5.003
0.000,5.003,5.002
0.000,5.002,5.001
0.000,5.001,5.004
0.000,5.004,5.003
0.000,5.003,5.001
0.000,5.001,5.001
0.000,5.001,5.003
0.000,5.003,5.003
