# setPoint, prevCurrent, Current
63.200,0.000,4.903
15.400,4.903,1.083
17.200,1.083,1.111
42.800,1.111,2.795
57.900,2.795,4.026
46.300,4.026,3.272
82.200,3.272,6.386
71.700,6.386,5.597
29.900,5.597,2.028
26.400,2.028,1.785
78.500,1.785,6.061
1.400,6.061,0.654
47.200,0.654,2.962
58.600,2.962,3.978
25.400,3.978,1.698
37.600,1.698,2.360
70.300,2.360,5.298
45.400,5.298,3.345
43.900,3.345,3.184
51.400,3.184,3.670
34.900,3.670,2.470
99.700,2.470,8.042
37.600,8.042,2.619
15.000,2.619,1.098
88.100,1.098,7.084
44.300,7.084,3.196
50.400,3.196,3.581
25.400,3.581,1.769
93.300,1.769,7.556
62.800,7.556,4.935
53.100,4.935,4.121
79.200,4.121,6.262
61.800,6.262,4.928
16.700,4.928,1.259
54.900,1.259,3.814
34.800,3.814,2.398
93.700,2.398,7.675
13.200,7.675,1.009
9.400,1.009,0.816
80.100,0.816,6.313
70.700,6.313,5.649
17.300,5.649,1.268
16.100,1.268,1.134
67.600,1.134,5.034
15.100,5.034,1.301
9.300,1.301,0.813
16.200,0.813,1.018
65.400,1.018,4.817
99.500,4.817,8.264
77.300,8.264,6.520
68.000,6.520,5.614
81.400,5.614,6.546
20.300,6.546,1.520
39.100,1.520,2.544
2.200,2.544,0.666
66.800,0.666,4.999
24.800,4.999,1.637
30.200,1.637,1.819
77.900,1.819,5.982
22.700,5.982,1.490
26.000,1.490,1.634
71.500,1.634,5.642
17.500,5.642,1.415
92.800,1.415,7.640
8.500,7.640,0.819
74.300,0.819,5.654
80.500,5.654,6.340
20.800,6.340,1.499
10.200,1.499,0.827
93.700,0.827,7.665
27.200,7.665,1.799
20.300,1.799,1.467
1.900,1.467,0.643
61.400,0.643,4.418
41.000,4.418,2.806
95.200,2.806,7.802
72.500,7.802,5.943
33.800,5.943,2.347
73.400,2.347,5.673
31.300,5.673,2.180
49.600,2.180,3.508
96.100,3.508,7.914
7.400,7.914,0.767
23.900,0.767,1.385
53.300,1.385,3.669
0.200,3.669,0.602
99.900,0.602,8.051
97.700,8.051,8.140
61.000,8.140,4.913
67.000,4.913,5.209
99.500,5.209,8.293
58.700,8.293,4.760
38.200,4.760,2.730
52.400,2.730,3.807
7.300,3.807,0.683
38.700,0.683,2.394
42.700,2.394,2.700
50.700,2.700,3.463
94.600,3.463,7.892
42.400,7.892,3.176
46.800,3.176,3.295
41.100,3.295,3.027
35.700,3.027,2.465
92.100,2.465,7.597
6.500,7.597,0.751
37.200,0.751,2.320
26.600,2.320,1.682
34.900,1.682,2.145
51.000,2.145,3.497
7.200,3.497,0.721
79.600,0.721,6.131
70.300,6.131,5.719
27.000,5.719,1.900
58.500,1.900,4.351
60.100,4.351,4.483
76.900,4.483,5.930
12.100,5.930,0.971
69.400,0.971,5.188
87.500,5.188,6.953
64.800,6.953,5.254
22.200,5.254,1.575
65.100,1.575,4.961
1.500,4.961,0.665
65.500,0.665,4.837
7.200,4.837,0.785
36.400,0.785,2.237
13.900,2.237,0.961
81.200,0.961,6.618
71.900,6.618,5.858
49.400,5.858,3.816
33.300,3.816,2.418
60.900,2.418,4.522
12.200,4.522,1.122
24.700,1.122,1.521
83.900,1.521,6.791
30.700,6.791,2.134
8.900,2.134,0.869
18.400,0.869,1.238
39.000,1.238,2.543
50.600,2.543,3.452
96.500,3.452,7.959
91.800,7.959,7.790
98.700,7.790,8.271
2.700,8.271,0.665
56.600,0.665,3.952
61.600,3.952,4.478
21.700,4.478,1.498
97.300,1.498,8.023
84.700,8.023,7.223
80.000,7.223,6.827
27.400,6.827,1.971
50.700,1.971,3.580
87.000,3.580,7.175
22.500,7.175,1.535
28.600,1.535,1.781
35.200,1.781,2.246
50.100,2.246,3.505
38.700,3.505,2.775
66.400,2.775,4.983
8.000,4.983,0.798
55.700,0.798,3.899
35.500,3.899,2.489
26.400,2.489,1.800
14.600,1.800,1.194
12.700,1.194,1.011
17.600,1.011,1.131
4.800,1.131,0.690
25.200,0.690,1.492
25.700,1.492,1.484
13.500,1.484,0.972
32.500,0.972,1.884
2.200,1.884,0.653
21.400,0.653,1.265
42.800,1.265,2.837
8.100,2.837,0.767
88.600,0.767,7.355
75.000,7.355,6.236
33.300,6.236,2.421
71.000,2.421,5.443
54.000,5.443,4.336
3.300,4.336,0.673
29.900,0.673,1.762
34.700,1.762,2.118
25.200,2.118,1.622
78.200,1.622,6.276
65.100,6.276,5.220
93.300,5.220,7.749
55.200,7.749,4.425
37.700,4.425,2.761
89.700,2.761,7.498
87.100,7.498,7.302
36.900,7.302,2.646
21.700,2.646,1.550
99.200,1.550,8.639
61.500,8.639,5.031
40.100,5.031,3.094
11.300,3.094,0.985
24.400,0.985,1.510
71.300,1.510,5.592
72.200,5.592,5.585
64.600,5.585,5.164
42.400,5.164,3.151
80.700,3.151,6.645
87.300,6.645,7.270
19.200,7.270,1.471
33.900,1.471,2.190
37.800,2.190,2.399
17.300,2.399,1.327
100.000,1.327,8.493
35.700,8.493,2.601
88.500,2.601,7.252
19.400,7.252,1.471
94.300,1.471,7.924
20.800,7.924,1.490
16.200,1.490,1.158
52.100,1.158,3.711
60.100,3.711,4.382
66.500,4.382,4.968
22.200,4.968,1.584
91.600,1.584,7.626
8.500,7.626,0.829
38.000,0.829,2.430
23.800,2.430,1.602
98.800,1.602,8.441
44.300,8.441,3.334
56.400,3.334,4.338
7.100,4.338,0.794
17.500,0.794,1.148
21.400,1.148,1.303
41.300,1.303,2.697
71.000,2.697,5.607
90.700,5.607,7.707
85.400,7.707,7.267
22.600,7.267,1.610
40.900,1.610,2.729
90.900,2.729,7.670
64.200,7.670,5.337
80.400,5.337,6.548
45.100,6.548,3.485
61.500,3.485,4.865
5.200,4.865,0.707
73.900,0.707,5.798
13.900,5.798,1.128
73.400,1.128,5.763
41.000,5.763,2.989
83.700,2.989,6.890
31.000,6.890,2.129
7.700,2.129,0.775
49.800,0.775,3.501
