# setPoint, prevCurrent, Current
42.500,0.000,2.813
87.700,2.813,7.450
92.900,7.450,7.881
52.400,7.881,4.212
36.000,4.212,2.724
94.600,2.724,7.987
22.500,7.987,1.743
73.400,1.743,5.932
91.900,5.932,7.927
48.300,7.927,3.940
15.200,3.940,1.242
37.900,1.242,2.567
6.600,2.567,0.753
54.000,0.753,3.972
16.500,3.972,1.370
23.500,1.370,1.666
22.600,1.666,1.634
65.100,1.634,5.081
18.900,5.081,1.533
41.100,1.533,2.818
96.000,2.818,8.230
25.000,8.230,1.892
93.300,1.892,7.853
86.200,7.853,7.647
72.300,7.647,6.290
76.100,6.290,6.577
10.700,6.577,1.046
4.600,1.046,0.793
35.100,0.793,2.304
43.200,2.304,2.945
57.400,2.945,4.193
21.600,4.193,1.683
99.700,1.683,8.468
54.700,8.468,4.576
12.800,4.576,1.120
21.500,1.120,1.565
73.200,1.565,5.937
18.800,5.937,1.574
98.100,1.574,8.395
32.000,8.395,2.457
70.800,2.457,5.679
74.100,5.679,5.982
68.200,5.982,5.574
53.100,5.574,4.395
97.300,4.395,8.414
95.900,8.414,8.628
49.900,8.628,4.096
91.000,4.096,7.782
55.300,7.782,4.636
93.600,4.636,8.003
46.100,8.003,3.664
62.700,3.664,5.193
59.400,5.193,4.892
33.900,4.892,2.699
34.600,2.699,2.635
7.600,2.635,0.890
2.000,0.890,0.744
48.500,0.744,3.463
94.500,3.463,7.962
45.500,7.962,3.547
89.400,3.547,7.477
78.100,7.477,6.818
98.300,6.818,8.476
10.500,8.476,1.038
43.900,1.038,3.010
50.900,3.010,3.727
89.300,3.727,7.645
81.500,7.645,7.158
33.500,7.158,2.616
65.300,2.616,5.165
65.900,5.165,5.319
40.800,5.319,3.263
56.400,3.263,4.360
92.000,4.360,7.916
7.700,7.916,0.956
16.000,0.956,1.228
38.300,1.228,2.654
41.900,2.654,2.818
86.300,2.818,7.414
59.300,7.414,4.982
6.400,4.982,0.877
20.800,0.877,1.504
84.800,1.504,7.062
90.800,7.062,7.920
47.800,7.920,3.849
89.200,3.849,7.595
62.900,7.595,5.434
54.400,5.434,4.702
43.500,4.702,3.525
3.500,3.525,0.787
18.400,0.787,1.411
61.000,1.411,4.807
90.900,4.807,7.956
52.200,7.956,4.357
85.700,4.357,7.103
18.900,7.103,1.544
14.200,1.544,1.279
16.200,1.279,1.434
99.000,1.434,8.698
30.600,8.698,2.372
98.600,2.372,8.655
45.700,8.655,3.625
47.300,3.625,3.683
93.100,3.683,8.119
21.100,8.119,1.624
47.900,1.624,3.560
72.600,3.560,6.069
51.200,6.069,4.204
57.800,4.204,4.685
48.500,4.685,3.997
20.000,3.997,1.672
65.900,1.672,5.250
21.000,5.250,1.699
2.700,1.699,0.741
47.700,0.741,3.522
48.800,3.522,3.564
97.500,3.564,8.527
13.900,8.527,1.359
28.400,1.359,1.847
2.400,1.847,0.717
12.600,0.717,0.987
68.700,0.987,5.486
55.100,5.486,4.566
23.300,4.566,1.716
26.600,1.716,1.892
34.700,1.892,2.482
34.500,2.482,2.461
89.000,2.461,7.606
58.900,7.606,5.061
35.400,5.061,2.710
59.000,2.710,4.650
40.500,4.650,3.277
13.900,3.277,1.206
30.700,1.206,2.179
72.900,2.179,5.920
65.500,5.920,5.568
57.600,5.568,4.810
39.600,4.810,3.048
35.900,3.048,2.799
40.100,2.799,3.004
10.500,3.004,1.059
54.800,1.059,4.137
24.100,4.137,1.819
55.200,1.819,4.145
12.100,4.145,1.148
99.600,1.148,8.792
92.400,8.792,8.415
85.300,8.415,7.701
11.400,7.701,1.261
97.300,1.261,8.348
56.300,8.348,4.871
92.200,4.871,8.088
95.500,8.088,8.460
26.500,8.460,1.989
55.700,1.989,4.286
77.700,4.286,6.459
61.800,6.459,5.287
73.000,5.287,6.080
54.600,6.080,4.727
40.700,4.727,3.336
66.300,3.336,5.386
50.800,5.386,4.132
94.000,4.132,8.353
59.200,8.353,5.092
15.100,5.092,1.453
81.400,1.453,6.904
24.500,6.904,1.965
97.400,1.965,8.624
34.600,8.624,2.677
85.600,2.677,7.217
81.000,7.217,7.216
12.100,7.216,1.196
56.300,1.196,4.392
88.300,4.392,7.668
74.700,7.668,6.611
75.900,6.611,6.633
23.200,6.633,1.801
58.600,1.801,4.493
83.600,4.493,7.178
48.000,7.178,3.987
18.800,3.987,1.611
16.800,1.611,1.493
57.400,1.493,4.466
56.400,4.466,4.415
3.400,4.415,0.785
43.600,0.785,3.043
51.200,3.043,3.776
28.900,3.776,2.171
15.200,2.171,1.513
30.800,1.513,2.059
88.500,2.059,7.704
49.400,7.704,3.779
50.200,3.779,4.156
85.100,4.156,7.119
88.300,7.119,7.758
23.200,7.758,1.792
32.500,1.792,2.290
69.300,2.290,5.687
92.500,5.687,8.094
58.600,8.094,4.926
99.600,4.926,8.775
0.400,8.775,0.722
4.100,0.722,0.773
87.600,0.773,7.496
70.800,7.496,6.265
24.900,6.265,1.892
1.800,1.892,0.724
100.000,0.724,8.779
4.400,8.779,0.776
0.100,0.776,0.721
99.400,0.721,8.700
20.800,8.700,1.621
48.800,1.621,3.522
35.900,3.522,2.677
73.200,2.677,5.981
4.300,5.981,0.815
80.000,0.815,6.777
67.000,6.777,5.729
12.700,5.729,1.081
33.200,1.081,2.284
28.500,2.284,2.030
76.000,2.030,6.144
36.300,6.144,2.704
54.100,2.704,4.205
0.300,4.205,0.737
65.500,0.737,5.091
81.000,5.091,6.852
25.900,6.852,1.891
86.900,1.891,7.335
44.400,7.335,3.530
8.500,3.530,0.966
83.300,0.966,7.013
33.500,7.013,2.589
48.100,2.589,3.671
48.100,3.671,3.633
1.800,3.633,0.744
55.400,0.744,4.131
44.900,4.131,3.429
79.100,3.429,6.598
39.900,6.598,3.166
9.100,3.166,0.986
