# setPoint, prevCurrent, Current
0.000,0.000,0.639
0.000,0.639,0.653
0.000,0.653,0.620
0.000,0.620,0.629
0.000,0.629,0.636
0.000,0.636,0.674
0.000,0.674,0.645
0.000,0.645,0.633
0.000,0.633,0.631
0.000,0.631,0.662
0.000,0.662,0.662
0.000,0.662,0.658
0.000,0.658,0.673
0.000,0.673,0.663
0.000,0.663,0.678
0.000,0.678,0.682
0.000,0.682,0.666
0.000,0.666,0.641
0.000,0.641,0.630
0.000,0.630,0.675
0.000,0.675,0.683
0.000,0.683,0.663
0.000,0.663,0.672
0.000,0.672,0.670
0.000,0.670,0.664
0.000,0.664,0.665
0.000,0.665,0.658
0.000,0.658,0.685
0.000,0.685,0.676
0.000,0.676,0.686
0.000,0.686,0.673
0.000,0.673,0.654
0.000,0.654,0.658
0.000,0.658,0.641
0.000,0.641,0.669
0.000,0.669,0.664
0.000,0.664,0.671
0.000,0.671,0.670
0.000,0.670,0.641
0.000,0.641,0.651
0.000,0.651,0.642
0.000,0.642,0.649
0.000,0.649,0.649
0.000,0.649,0.626
0.000,0.626,0.624
0.000,0.624,0.655
0.000,0.655,0.668
0.000,0.668,0.664
0.000,0.664,0.646
0.000,0.646,0.644
0.000,0.644,0.674
0.000,0.674,0.672
0.000,0.672,0.665
0.000,0.665,0.652
0.000,0.652,0.665
0.000,0.665,0.641
0.000,0.641,0.651
0.000,0.651,0.649
0.000,0.649,0.616
0.000,0.616,0.631
0.000,0.631,0.637
0.000,0.637,0.629
0.000,0.629,0.617
0.000,0.617,0.656
0.000,0.656,0.646
0.000,0.646,0.632
0.000,0.632,0.623
0.000,0.623,0.656
0.000,0.656,0.648
0.000,0.648,0.627
0.000,0.627,0.626
0.000,0.626,0.630
0.000,0.630,0.634
0.000,0.634,0.633
0.000,0.633,0.677
0.000,0.677,0.660
0.000,0.660,0.676
0.000,0.676,0.675
0.000,0.675,0.670
0.000,0.670,0.681
0.000,0.681,0.662
0.000,0.662,0.674
0.000,0.674,0.654
0.000,0.654,0.639
0.000,0.639,0.657
0.000,0.657,0.663
0.000,0.663,0.662
0.000,0.662,0.652
0.000,0.652,0.646
0.000,0.646,0.653
0.000,0.653,0.676
0.000,0.676,0.624
0.000,0.624,0.630
0.000,0.630,0.644
0.000,0.644,0.633
0.000,0.633,0.663
0.000,0.663,0.633
0.000,0.633,0.664
0.000,0.664,0.667
0.000,0.667,0.635
