# setPoint, prevCurrent, Current
50.000,0.000,4.964
50.000,4.964,4.997
50.000,4.997,4.998
50.000,4.998,4.995
50.000,4.995,5.000
50.000,5.000,5.000
50.000,5.000,4.997
50.000,4.997,5.001
50.000,5.001,5.004
50.000,5.004,4.997
50.000,4.997,5.002
50.000,5.002,5.001
50.000,5.001,5.000
50.000,5.000,4.998
50.000,4.998,5.001
50.000,5.001,4.998
50.000,4.998,5.002
50.000,5.002,5.046
50.000,5.046,4.998
50.000,4.998,4.997
50.000,4.997,4.999
50.000,4.999,4.995
50.000,4.995,5.002
50.000,5.002,4.996
50.000,4.996,5.001
50.000,5.001,4.999
50.000,4.999,4.999
50.000,4.999,4.998
50.000,4.998,4.997
50.000,4.997,5.006
50.000,5.006,4.995
50.000,4.995,5.004
50.000,5.004,4.997
50.000,4.997,4.999
50.000,4.999,5.001
50.000,5.001,4.994
50.000,4.994,5.004
50.000,5.004,5.005
50.000,5.005,4.997
50.000,4.997,5.004
50.000,5.004,4.999
50.000,4.999,5.001
50.000,5.001,5.005
50.000,5.005,4.998
50.000,4.998,4.996
50.000,4.996,5.000
50.000,5.000,5.002
50.000,5.002,4.999
50.000,4.999,5.000
50.000,5.000,5.000
50.000,5.000,5.001
50.000,5.001,5.001
50.000,5.001,5.006
50.000,5.006,5.003
50.000,5.003,5.000
50.000,5.000,5.003
50.000,5.003,4.997
50.000,4.997,4.998
50.000,4.998,5.001
50.000,5.001,4.999
50.000,4.999,5.004
50.000,5.004,5.000
50.000,5.000,5.006
50.000,5.006,5.004
50.000,5.004,5.001
50.000,5.001,5.007
50.000,5.007,5.004
50.000,5.004,5.000
50.000,5.000,5.002
50.000,5.002,5.004
50.000,5.004,4.999
50.000,4.999,5.006
50.000,5.006,5.004
50.000,5.004,5.006
50.000,5.006,5.005
50.000,5.005,4.999
50.000,4.999,4.997
50.000,4.997,5.006
50.000,5.006,5.002
50.000,5.002,5.001
50.000,5.001,5.000
50.000,5.000,5.002
50.000,5.002,5.006
50.000,5.006,5.002
50.000,5.002,5.000
50.000,5.000,5.002
50.000,5.002,5.001
50.000,5.001,5.002
50.000,5.002,5.001
50.000,5.001,5.007
50.000,5.007,5.003
50.000,5.003,5.005
50.000,5.005,5.004
50.000,5.004,5.005
50.000,5.005,5.002
50.000,5.002,5.005
50.000,5.005,5.004
50.000,5.004,5.001
50.000,5.001,5.007
50.000,5.007,5.001
