# setPoint, prevTorque, Torque
50.000,1.250,51.589
49.000,51.589,50.524
48.000,50.524,50.911
47.000,50.911,49.250
46.000,49.250,49.160
45.000,49.160,48.276
44.000,48.276,47.302
43.000,47.302,46.230
42.000,46.230,44.815
41.000,44.815,44.735
40.000,44.735,42.394
39.000,42.394,42.570
38.000,42.570,40.379
37.000,40.379,40.316
36.000,40.316,38.991
35.000,38.991,36.329
34.000,36.329,35.735
33.000,35.735,34.143
32.000,34.143,32.986
31.000,32.986,32.361
30.000,32.361,31.312
29.000,31.312,29.949
28.000,29.949,29.009
27.000,29.009,27.769
26.000,27.769,27.113
25.000,27.113,25.926
24.000,25.926,25.401
23.000,25.401,24.207
22.000,24.207,22.193
21.000,22.193,21.232
20.000,21.232,19.979
19.000,19.979,19.017
18.000,19.017,17.229
17.000,17.229,16.065
16.000,16.065,14.743
15.000,14.743,14.513
14.000,14.513,13.233
13.000,13.233,12.711
12.000,12.711,11.715
11.000,11.715,11.535
10.000,11.535,10.053
9.000,10.053,8.543
8.000,8.543,9.029
7.000,9.029,6.279
6.000,6.279,7.494
5.000,7.494,8.056
4.000,8.056,5.688
3.000,5.688,5.720
2.000,5.720,4.373
1.000,4.373,5.852
0.000,5.852,4.329
50.000,4.329,51.331
48.000,51.331,49.761
46.000,49.761,48.369
44.000,48.369,47.325
42.000,47.325,43.644
40.000,43.644,43.162
38.000,43.162,39.511
36.000,39.511,36.889
34.000,36.889,36.533
32.000,36.533,32.611
30.000,32.611,32.178
28.000,32.178,29.168
26.000,29.168,26.708
24.000,26.708,26.138
22.000,26.138,22.807
20.000,22.807,21.357
18.000,21.357,16.591
16.000,16.591,15.532
14.000,15.532,12.698
12.000,12.698,9.847
10.000,9.847,9.001
8.000,9.001,8.321
6.000,8.321,8.142
4.000,8.142,3.931
2.000,3.931,4.515
0.000,4.515,4.544
50.000,4.544,50.385
47.000,50.385,49.423
44.000,49.423,46.238
41.000,46.238,42.151
38.000,42.151,39.987
35.000,39.987,37.262
32.000,37.262,33.818
29.000,33.818,30.268
26.000,30.268,25.160
23.000,25.160,24.024
20.000,24.024,20.576
17.000,20.576,15.779
14.000,15.779,14.368
11.000,14.368,10.285
8.000,10.285,8.717
5.000,8.717,8.283
2.000,8.283,3.809
50.000,3.809,50.320
46.000,50.320,47.493
42.000,47.493,44.283
38.000,44.283,40.363
34.000,40.363,34.254
30.000,34.254,31.264
26.000,31.264,25.376
22.000,25.376,24.594
18.000,24.594,17.426
14.000,17.426,14.031
10.000,14.031,8.203
6.000,8.203,8.674
2.000,8.674,6.006
50.000,6.006,51.367
45.000,51.367,48.333
40.000,48.333,41.404
35.000,41.404,35.990
30.000,35.990,30.580
25.000,30.580,25.751
20.000,25.751,21.045
15.000,21.045,14.567
10.000,14.567,9.866
5.000,9.866,4.322
0.000,4.322,3.682
50.000,3.682,51.627
44.000,51.627,46.952
38.000,46.952,40.345
32.000,40.345,32.446
26.000,32.446,27.254
20.000,27.254,20.778
14.000,20.778,13.880
8.000,13.880,8.875
2.000,8.875,6.615
50.000,6.615,52.449
43.000,52.449,44.901
36.000,44.901,37.006
29.000,37.006,30.414
22.000,30.414,22.357
15.000,22.357,14.456
8.000,14.456,8.159
1.000,8.159,3.930
50.000,3.930,51.828
42.000,51.828,44.540
34.000,44.540,35.015
26.000,35.015,26.527
18.000,26.527,17.602
10.000,17.602,9.609
2.000,9.609,6.511
50.000,6.511,51.773
41.000,51.773,42.672
32.000,42.672,31.641
23.000,31.641,22.298
14.000,22.298,10.978
5.000,10.978,6.754
50.000,6.754,52.795
40.000,52.795,41.585
30.000,41.585,31.451
20.000,31.451,20.972
10.000,20.972,9.263
0.000,9.263,3.263
