# setPoint, prevTorque, Torque
25.000,1.250,17.409
22.000,17.409,14.325
19.000,14.325,11.661
16.000,11.661,9.678
13.000,9.678,7.238
10.000,7.238,5.585
7.000,5.585,2.787
4.000,2.787,0.521
1.000,0.521,-0.078
50.000,-0.078,50.661
47.000,50.661,48.437
44.000,48.437,45.487
41.000,45.487,42.612
38.000,42.612,41.672
35.000,41.672,33.993
32.000,33.993,32.499
29.000,32.499,28.488
26.000,28.488,24.263
23.000,24.263,22.316
20.000,22.316,18.194
75.000,18.194,84.821
72.000,84.821,82.860
69.000,82.860,80.419
66.000,80.419,77.439
63.000,77.439,74.193
60.000,74.193,70.421
57.000,70.421,67.122
54.000,67.122,61.286
51.000,61.286,59.295
48.000,59.295,55.143
45.000,55.143,50.486
42.000,50.486,47.130
