# setPoint, prevTorque, Torque
38.000,1.250,34.455
35.000,34.455,32.286
32.000,32.286,29.625
29.000,29.625,26.471
26.000,26.471,24.328
23.000,24.328,19.330
20.000,19.330,16.407
17.000,16.407,13.280
14.000,13.280,8.983
11.000,8.983,8.464
8.000,8.464,5.931
5.000,5.931,3.109
2.000,3.109,1.836
50.000,1.836,51.274
47.000,51.274,50.163
44.000,50.163,45.951
41.000,45.951,42.027
38.000,42.027,40.990
63.000,40.990,68.937
60.000,68.937,66.274
57.000,66.274,62.642
54.000,62.642,60.492
51.000,60.492,56.938
48.000,56.938,52.997
45.000,52.997,48.953
42.000,48.953,45.567
39.000,45.567,40.981
75.000,40.981,84.871
72.000,84.871,82.155
69.000,82.155,79.423
66.000,79.423,75.869
63.000,75.869,73.484
60.000,73.484,70.392
57.000,70.392,66.150
54.000,66.150,62.188
51.000,62.188,58.357
88.000,58.357,101.196
85.000,101.196,99.480
82.000,99.480,96.464
79.000,96.464,93.468
76.000,93.468,91.327
73.000,91.327,88.253
70.000,88.253,85.192
67.000,85.192,81.410
