# setPoint, prevTorque, Torque
38.000,1.250,33.363
35.000,33.363,32.787
32.000,32.787,28.146
29.000,28.146,26.285
26.000,26.285,22.656
23.000,22.656,20.434
20.000,20.434,17.435
17.000,17.435,13.419
14.000,13.419,9.666
11.000,9.666,7.681
8.000,7.681,6.268
5.000,6.268,3.068
2.000,3.068,2.564
50.000,2.564,50.899
47.000,50.899,48.101
44.000,48.101,46.524
41.000,46.524,43.331
38.000,43.331,39.955
63.000,39.955,68.104
60.000,68.104,66.321
57.000,66.321,62.664
54.000,62.664,58.727
51.000,58.727,56.343
48.000,56.343,53.205
45.000,53.205,48.716
42.000,48.716,45.419
39.000,45.419,41.865
75.000,41.865,85.524
72.000,85.524,82.633
69.000,82.633,80.487
66.000,80.487,77.061
63.000,77.061,75.106
60.000,75.106,69.665
57.000,69.665,65.538
54.000,65.538,62.031
51.000,62.031,58.701
88.000,58.701,101.811
85.000,101.811,99.615
82.000,99.615,97.031
79.000,97.031,94.232
76.000,94.232,91.219
73.000,91.219,88.557
70.000,88.557,84.036
67.000,84.036,80.660
