# setPoint, prevTorque, Torque
100.000,1.250,114.829
88.000,114.829,104.885
91.000,104.885,107.767
94.000,107.767,111.213
97.000,111.213,113.635
100.000,113.635,116.565
100.000,116.565,118.028
75.000,118.028,94.415
78.000,94.415,96.032
81.000,96.032,98.421
84.000,98.421,101.633
87.000,101.633,104.016
90.000,104.016,107.901
93.000,107.901,109.541
96.000,109.541,113.506
99.000,113.506,116.971
100.000,116.971,118.194
63.000,118.194,78.578
66.000,78.578,80.524
69.000,80.524,83.433
72.000,83.433,85.981
75.000,85.981,89.772
78.000,89.772,92.096
81.000,92.096,95.480
84.000,95.480,99.114
87.000,99.114,102.756
90.000,102.756,106.305
93.000,106.305,109.387
96.000,109.387,112.122
99.000,112.122,116.351
100.000,116.351,116.890
50.000,116.890,57.705
53.000,57.705,60.321
56.000,60.321,63.532
59.000,63.532,67.266
62.000,67.266,71.467
65.000,71.467,75.533
68.000,75.533,79.152
71.000,79.152,83.605
74.000,83.605,86.763
100.000,86.763,117.587
25.000,117.587,19.715
28.000,19.715,21.545
31.000,21.545,25.598
34.000,25.598,27.832
37.000,27.832,33.301
40.000,33.301,37.738
43.000,37.738,43.539
46.000,43.539,47.340
49.000,47.340,50.536
