# setPoint, prevTorque, Torque
90.000,1.250,104.038
87.000,104.038,103.645
84.000,103.645,101.133
81.000,101.133,98.544
78.000,98.544,94.664
75.000,94.664,92.297
72.000,92.297,90.552
0.000,90.552,0.060
80.000,0.060,92.841
77.000,92.841,92.060
74.000,92.060,88.669
71.000,88.669,86.668
68.000,86.668,83.259
65.000,83.259,79.199
62.000,79.199,76.482
0.000,76.482,-1.605
70.000,-1.605,80.583
67.000,80.583,78.309
64.000,78.309,75.017
61.000,75.017,72.741
58.000,72.741,68.682
55.000,68.682,65.117
52.000,65.117,62.330
0.000,62.330,-0.158
60.000,-0.158,66.524
57.000,66.524,63.743
54.000,63.743,62.339
51.000,62.339,58.632
48.000,58.632,55.779
45.000,55.779,51.051
42.000,51.051,47.113
0.000,47.113,0.870
50.000,0.870,52.773
47.000,52.773,49.011
44.000,49.011,47.338
41.000,47.338,44.527
38.000,44.527,41.709
35.000,41.709,37.977
32.000,37.977,33.237
0.000,33.237,1.200
40.000,1.200,39.342
37.000,39.342,36.550
34.000,36.550,34.680
31.000,34.680,31.007
28.000,31.007,28.350
25.000,28.350,23.481
22.000,23.481,19.379
0.000,19.379,-0.960
30.000,-0.960,27.995
27.000,27.995,22.449
24.000,22.449,20.198
21.000,20.198,17.350
18.000,17.350,13.317
15.000,13.317,12.175
12.000,12.175,7.660
0.000,7.660,-0.494
20.000,-0.494,13.616
17.000,13.616,10.682
14.000,10.682,7.884
11.000,7.884,6.328
8.000,6.328,3.607
5.000,3.607,2.682
2.000,2.682,3.308
100.000,3.308,117.288
90.000,117.288,109.771
93.000,109.771,112.660
96.000,112.660,114.968
99.000,114.968,117.859
100.000,117.859,118.578
80.000,118.578,101.171
83.000,101.171,102.359
86.000,102.359,107.683
89.000,107.683,109.077
92.000,109.077,111.319
95.000,111.319,114.869
98.000,114.869,116.031
100.000,116.031,117.908
70.000,117.908,88.147
73.000,88.147,90.886
76.000,90.886,93.301
79.000,93.301,96.186
82.000,96.186,99.610
85.000,99.610,102.686
88.000,102.686,105.088
91.000,105.088,109.291
94.000,109.291,112.225
97.000,112.225,114.635
100.000,114.635,117.999
100.000,117.999,118.842
60.000,118.842,76.884
63.000,76.884,78.078
66.000,78.078,81.745
69.000,81.745,84.518
72.000,84.518,87.913
75.000,87.913,91.541
100.000,91.541,118.168
50.000,118.168,60.362
53.000,60.362,62.949
56.000,62.949,66.704
59.000,66.704,71.147
62.000,71.147,73.693
65.000,73.693,78.833
68.000,78.833,82.244
71.000,82.244,85.543
74.000,85.543,89.158
100.000,89.158,118.554
40.000,118.554,46.348
43.000,46.348,47.396
46.000,47.396,51.598
49.000,51.598,54.829
52.000,54.829,58.847
55.000,58.847,64.113
58.000,64.113,66.411
100.000,66.411,117.603
30.000,117.603,28.083
33.000,28.083,31.289
36.000,31.289,36.647
39.000,36.647,40.114
42.000,40.114,42.927
45.000,42.927,47.317
48.000,47.317,52.863
100.000,52.863,117.430
20.000,117.430,14.299
23.000,14.299,16.287
26.000,16.287,20.372
29.000,20.372,23.445
32.000,23.445,26.069
35.000,26.069,31.089
38.000,31.089,36.193
41.000,36.193,40.915
44.000,40.915,46.882
47.000,46.882,49.858
50.000,49.858,54.401
100.000,54.401,118.205
10.000,118.205,6.025
13.000,6.025,5.559
16.000,5.559,8.880
19.000,8.880,11.349
22.000,11.349,13.415
25.000,13.415,17.327
28.000,17.327,21.351
31.000,21.351,24.511
34.000,24.511,31.134
37.000,31.134,34.915
40.000,34.915,40.445
