# setPoint, prevTorque, Torque
100.000,1.250,114.527
90.000,114.527,106.434
92.000,106.434,108.257
94.000,108.257,111.240
96.000,111.240,112.352
98.000,112.352,115.008
100.000,115.008,116.807
100.000,116.807,115.931
80.000,115.931,98.146
82.000,98.146,100.589
84.000,100.589,101.005
86.000,101.005,103.465
88.000,103.465,105.329
90.000,105.329,106.772
92.000,106.772,109.384
94.000,109.384,109.999
96.000,109.999,112.663
98.000,112.663,114.846
100.000,114.846,116.671
100.000,116.671,115.305
70.000,115.305,86.317
72.000,86.317,88.502
74.000,88.502,89.351
76.000,89.351,91.570
78.000,91.570,93.000
80.000,93.000,94.764
82.000,94.764,97.780
84.000,97.780,98.892
86.000,98.892,101.617
88.000,101.617,103.858
90.000,103.858,105.335
92.000,105.335,107.564
94.000,107.564,110.570
96.000,110.570,113.168
98.000,113.168,114.587
100.000,114.587,117.123
100.000,117.123,117.632
60.000,117.632,73.425
61.000,73.425,74.327
62.000,74.327,76.691
63.000,76.691,76.507
64.000,76.507,77.617
65.000,77.617,79.005
66.000,79.005,80.649
67.000,80.649,80.628
68.000,80.628,83.771
69.000,83.771,83.934
70.000,83.934,85.112
71.000,85.112,86.343
72.000,86.343,87.660
73.000,87.660,88.351
74.000,88.351,89.076
75.000,89.076,88.662
76.000,88.662,91.552
77.000,91.552,91.924
78.000,91.924,93.469
79.000,93.469,94.455
80.000,94.455,95.929
81.000,95.929,96.075
82.000,96.075,97.831
83.000,97.831,98.770
84.000,98.770,98.871
85.000,98.871,101.152
86.000,101.152,101.834
87.000,101.834,102.349
88.000,102.349,103.766
89.000,103.766,105.174
90.000,105.174,106.395
91.000,106.395,107.837
92.000,107.837,108.233
93.000,108.233,109.983
94.000,109.983,110.665
95.000,110.665,112.653
96.000,112.653,113.512
97.000,113.512,114.381
98.000,114.381,115.640
99.000,115.640,116.185
100.000,116.185,118.496
100.000,118.496,118.687
50.000,118.687,58.847
51.000,58.847,59.540
52.000,59.540,59.738
53.000,59.738,61.936
54.000,61.936,62.460
55.000,62.460,64.015
56.000,64.015,64.614
57.000,64.614,67.160
58.000,67.160,67.850
59.000,67.850,68.565
60.000,68.565,69.150
61.000,69.150,69.818
62.000,69.818,71.289
63.000,71.289,73.043
64.000,73.043,73.591
65.000,73.591,75.523
66.000,75.523,75.703
67.000,75.703,76.372
68.000,76.372,78.236
69.000,78.236,80.570
70.000,80.570,81.166
71.000,81.166,82.665
72.000,82.665,84.530
73.000,84.530,85.822
74.000,85.822,86.758
75.000,86.758,88.042
76.000,88.042,89.272
77.000,89.272,90.286
78.000,90.286,92.232
79.000,92.232,93.299
80.000,93.299,93.739
81.000,93.739,95.573
82.000,95.573,96.459
83.000,96.459,97.964
84.000,97.964,98.287
85.000,98.287,99.932
86.000,99.932,101.440
87.000,101.440,102.860
88.000,102.860,103.428
89.000,103.428,104.366
90.000,104.366,105.432
91.000,105.432,107.004
92.000,107.004,108.340
93.000,108.340,109.289
94.000,109.289,111.037
95.000,111.037,110.970
96.000,110.970,112.633
97.000,112.633,114.253
98.000,114.253,117.001
99.000,117.001,116.725
100.000,116.725,118.022
100.000,118.022,117.349
40.000,117.349,43.243
41.000,43.243,44.477
42.000,44.477,46.219
43.000,46.219,47.542
44.000,47.542,48.751
45.000,48.751,50.676
46.000,50.676,52.586
47.000,52.586,53.789
48.000,53.789,55.392
49.000,55.392,57.146
50.000,57.146,57.502
51.000,57.502,58.344
52.000,58.344,59.018
53.000,59.018,60.488
54.000,60.488,61.225
55.000,61.225,62.120
56.000,62.120,63.694
57.000,63.694,64.912
58.000,64.912,66.319
59.000,66.319,68.096
60.000,68.096,69.094
61.000,69.094,71.392
62.000,71.392,71.888
63.000,71.888,73.321
64.000,73.321,74.085
65.000,74.085,75.848
66.000,75.848,77.024
67.000,77.024,78.914
68.000,78.914,80.033
69.000,80.033,81.752
70.000,81.752,83.447
71.000,83.447,85.146
72.000,85.146,85.165
73.000,85.165,87.850
74.000,87.850,88.328
75.000,88.328,88.660
76.000,88.660,90.287
77.000,90.287,91.480
78.000,91.480,93.527
79.000,93.527,95.297
80.000,95.297,95.181
81.000,95.181,96.736
82.000,96.736,98.643
83.000,98.643,99.803
84.000,99.803,100.920
85.000,100.920,102.584
86.000,102.584,103.083
87.000,103.083,104.440
88.000,104.440,105.825
89.000,105.825,106.585
90.000,106.585,107.384
100.000,107.384,120.267
30.000,120.267,27.529
31.000,27.529,29.746
32.000,29.746,30.492
33.000,30.492,32.406
34.000,32.406,33.589
35.000,33.589,34.433
36.000,34.433,37.408
37.000,37.408,37.320
38.000,37.320,39.553
39.000,39.553,40.115
40.000,40.115,41.227
41.000,41.227,42.245
42.000,42.245,44.142
43.000,44.142,45.075
44.000,45.075,45.510
45.000,45.510,47.998
46.000,47.998,49.148
47.000,49.148,49.597
48.000,49.597,51.159
49.000,51.159,53.694
50.000,53.694,55.624
51.000,55.624,56.281
52.000,56.281,58.564
53.000,58.564,58.549
54.000,58.549,59.456
55.000,59.456,61.123
56.000,61.123,60.531
57.000,60.531,63.161
58.000,63.161,65.422
59.000,65.422,67.132
60.000,67.132,67.629
61.000,67.629,69.893
62.000,69.893,70.725
63.000,70.725,72.212
64.000,72.212,73.923
65.000,73.923,76.378
