# setPoint, prevsetPoint, Current
38.700,1.250,38.314
36.300,38.314,36.787
33.700,36.787,34.245
47.900,34.245,49.094
95.800,49.094,97.660
22.600,97.660,23.751
73.600,23.751,85.059
41.700,85.059,49.928
85.500,49.928,99.098
47.400,99.098,57.581
96.800,57.581,110.414
77.200,110.414,96.561
12.400,96.561,12.744
5.900,12.744,5.778
77.300,5.778,88.463
90.600,88.463,107.190
8.400,107.190,7.767
91.000,7.767,102.899
31.600,102.899,35.014
58.800,35.014,65.203
52.500,65.203,62.364
29.400,62.364,34.865
72.000,34.865,81.672
77.100,81.672,90.453
58.700,90.453,73.117
100.000,73.117,116.652
27.500,116.652,30.295
98.800,30.295,113.590
92.100,113.590,113.374
42.600,113.374,51.542
70.500,51.542,82.732
37.400,82.732,46.045
66.600,46.045,76.665
36.700,76.665,44.557
93.800,44.557,108.006
60.800,108.006,77.594
13.200,77.594,13.360
96.700,13.360,101.829
39.700,101.829,46.725
26.300,46.725,30.023
57.000,30.023,64.841
73.300,64.841,86.519
51.900,86.519,63.117
34.800,63.117,39.488
31.700,39.488,37.137
61.100,37.137,72.240
87.600,72.240,101.431
63.600,101.431,82.081
55.200,82.081,69.937
21.700,69.937,23.770
25.200,23.770,25.418
51.100,25.418,55.451
35.700,55.451,41.419
87.300,41.419,99.849
62.300,99.849,78.977
44.600,78.977,56.154
96.200,56.154,110.132
78.200,110.132,99.138
77.300,99.138,95.277
17.200,95.277,16.060
21.700,16.060,20.364
13.100,20.364,13.105
98.300,13.105,109.988
63.500,109.988,80.123
38.200,80.123,44.320
35.200,44.320,41.868
36.300,41.868,41.572
44.400,41.572,51.120
68.900,51.120,81.576
89.900,81.576,106.742
71.600,106.742,91.028
15.900,91.028,15.942
59.500,15.942,66.426
0.900,66.426,3.959
96.600,3.959,107.968
69.600,107.968,86.910
3.700,86.910,5.008
42.200,5.008,42.518
85.900,42.518,98.890
3.700,98.890,5.265
8.000,5.265,6.133
51.000,6.133,56.014
91.500,56.014,107.190
45.100,107.190,53.050
45.600,53.050,52.579
64.300,52.579,76.451
58.300,76.451,70.575
35.200,70.575,41.715
61.200,41.715,69.491
12.500,69.491,13.226
47.800,13.226,50.748
32.700,50.748,34.990
9.900,34.990,11.052
47.700,11.052,50.385
75.600,50.385,88.121
7.300,88.121,7.164
91.500,7.164,101.700
4.900,101.700,5.991
64.400,5.991,71.147
10.500,71.147,10.204
0.000,10.204,3.929
2.000,3.929,2.506
1.200,2.506,4.621
5.000,4.621,5.707
2.100,5.707,3.640
7.300,3.640,5.008
5.100,5.008,3.401
8.900,3.401,6.289
7.500,6.289,5.857
8.300,5.857,5.693
7.300,5.693,6.147
9.500,6.147,8.003
6.600,8.003,6.162
10.600,6.162,6.176
9.100,6.176,6.020
9.100,6.020,7.136
6.800,7.136,6.628
8.400,6.628,4.657
7.000,4.657,4.758
13.000,4.758,8.492
11.200,8.492,7.781
12.600,7.781,10.574
10.900,10.574,8.311
12.700,8.311,8.869
9.700,8.869,7.023
15.500,7.023,11.853
14.900,11.853,9.307
15.300,9.307,9.393
14.100,9.393,10.259
19.500,10.259,14.651
19.100,14.651,13.105
25.100,13.105,20.605
23.300,20.605,20.072
27.700,20.072,23.386
24.900,23.386,20.136
30.700,20.136,27.578
28.500,27.578,25.161
32.700,25.161,30.295
31.900,30.295,28.859
32.900,28.859,29.478
31.300,29.478,29.431
33.700,29.431,31.692
30.800,31.692,28.183
36.200,28.183,33.692
35.700,33.692,34.049
40.700,34.049,40.186
40.600,40.186,41.166
42.800,41.166,44.546
42.500,44.546,44.299
46.500,44.299,49.277
43.500,49.277,45.190
46.300,45.190,49.219
43.300,49.219,46.233
48.100,46.233,52.753
46.000,52.753,50.675
48.200,50.675,52.036
47.400,52.036,52.646
53.400,52.646,58.117
53.300,58.117,59.355
55.100,59.355,60.273
52.900,60.273,60.253
55.500,60.253,62.702
53.400,62.702,62.074
56.800,62.074,56.344
55.100,56.344,61.617
55.100,61.617,62.750
54.400,62.750,61.268
57.000,61.268,63.737
54.600,63.737,62.784
58.200,62.784,65.707
55.800,65.707,63.578
56.600,63.578,64.287
54.300,64.287,62.856
55.300,62.856,63.732
52.500,63.732,61.268
54.500,61.268,62.598
52.700,62.598,62.755
56.100,62.755,63.184
55.900,63.184,64.297
58.700,64.297,65.716
57.500,65.716,65.260
57.500,65.260,64.908
56.100,64.908,67.350
56.500,67.350,64.402
53.800,64.402,63.280
55.800,63.280,63.472
55.000,63.472,62.847
61.000,62.847,68.382
59.700,68.382,70.575
63.700,70.575,72.990
62.800,72.990,73.126
63.600,73.126,73.908
63.200,73.908,75.177
69.000,75.177,80.290
67.300,80.290,80.518
73.100,80.518,84.751
70.900,84.751,86.426
71.900,86.426,85.248
70.400,85.248,83.159
73.600,83.159,88.348
71.700,88.348,86.341
74.500,86.341,89.180
73.400,89.180,89.106
78.400,89.106,93.287
77.400,93.287,91.875
79.800,91.875,95.611
79.700,95.611,95.855
84.500,95.855,102.118
83.000,102.118,102.710
87.400,102.710,104.067
